index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
70	d ɪ s ɛ m b ɑː k	d ɪ s ɛ m b ɑː k t	disembark	disembarked	⋊ d ɪ s ɛ m b ɑ k ⋉	⋊ d ɪ s ɛ m b ɑ k t ⋉
71	d iː f ɔ r ɪ s t	d iː f ɔ r ɪ s t ɪ d	deforest	deforested	⋊ d i f ɔ ɹ ɪ s t ⋉	⋊ d i f ɔ ɹ ɪ s t ɪ d ⋉
75	ɔ n ə	ɔ n ə d	honour	honoured	⋊ ɔ n ə ⋉	⋊ ɔ n ə d ⋉
77	k ɔ p ɪ r aɪ t	k ɔ p ɪ r aɪ t ɪ d	copyright	copyrighted	⋊ k ɔ p ɪ ɹ a ɪ t ⋉	⋊ k ɔ p ɪ ɹ a ɪ t ɪ d ⋉
81	s t ɛ r ɪ l aɪ z	s t ɛ r ɪ l aɪ z d	sterilize	sterilized	⋊ s t ɛ ɹ ɪ l a ɪ z ⋉	⋊ s t ɛ ɹ ɪ l a ɪ z d ⋉
83	r ɪ ŋ k l̩ˠ	r ɪ ŋ k l̩ˠ d	wrinkle	wrinkled	⋊ ɹ ɪ ŋ k l ⋉	⋊ ɹ ɪ ŋ k l d ⋉
87	a d h ɪ ə	a d h ɪ ə d	adhere	adhered	⋊ a d h ɪ ə ⋉	⋊ a d h ɪ ə d ⋉
100	ʃ ɔː	ʃ ɔː d	shore	shored	⋊ ʃ ɔ ⋉	⋊ ʃ ɔ d ⋉
101	k ʌ lˠ t ɪ v eɪ t	k ʌ lˠ t ɪ v eɪ t ɪ d	cultivate	cultivated	⋊ k ʌ l t ɪ v e t ⋉	⋊ k ʌ l t ɪ v e t ɪ d ⋉
104	d ɪ s p ɛ lˠ	d ɪ s p ɛ lˠ d	dispel	dispelled	⋊ d ɪ s p ɛ l ⋉	⋊ d ɪ s p ɛ l d ⋉
106	k r ɔ k	k r ɔ k t	crock	crocked	⋊ k ɹ ɔ k ⋉	⋊ k ɹ ɔ k t ⋉
110	g ɪ v	g eɪ v	give	gave	⋊ g ɪ v ⋉	⋊ g e v ⋉
111	p aʊ t	p aʊ t ɪ d	pout	pouted	⋊ p a ʊ t ⋉	⋊ p a ʊ t ɪ d ⋉
119	m ʌ g	m ʌ g d	mug	mugged	⋊ m ʌ g ⋉	⋊ m ʌ g d ⋉
123	v a l ɪ d eɪ t	v a l ɪ d eɪ t ɪ d	validate	validated	⋊ v a l ɪ d e t ⋉	⋊ v a l ɪ d e t ɪ d ⋉
130	iː k ɔ n ə m aɪ z	iː k ɔ n ə m aɪ z d	economize	economized	⋊ i k ɔ n ə m a ɪ z ⋉	⋊ i k ɔ n ə m a ɪ z d ⋉
131	p iː k	p iː k t	peek	peeked	⋊ p i k ⋉	⋊ p i k t ⋉
133	ɛ n d ɔː s	ɛ n d ɔː s t	endorse	endorsed	⋊ ɛ n d ɔ s ⋉	⋊ ɛ n d ɔ s t ⋉
134	h w iː lˠ	h w iː lˠ d	wheel	wheeled	⋊ h w i l ⋉	⋊ h w i l d ⋉
140	f eɪ t	f eɪ t ɪ d	fate	fated	⋊ f e t ⋉	⋊ f e t ɪ d ⋉
144	f ɔː g əʊ	f ɔː w ɛ n t	forgo	forwent	⋊ f ɔ g o ⋉	⋊ f ɔ w ɛ n t ⋉
149	h w ɪ z	h w ɪ z d	whiz	whizzed	⋊ h w ɪ z ⋉	⋊ h w ɪ z d ⋉
151	s t ɑː t ʃ	s t ɑː t ʃ t	starch	starched	⋊ s t ɑ t ʃ ⋉	⋊ s t ɑ t ʃ t ⋉
164	r eɪ z	r eɪ z d	raise	raised	⋊ ɹ e z ⋉	⋊ ɹ e z d ⋉
165	k eɪ s	k eɪ s t	case	cased	⋊ k e s ⋉	⋊ k e s t ⋉
168	d ɪ s ɛ n t	d ɪ s ɛ n t ɪ d	dissent	dissented	⋊ d ɪ s ɛ n t ⋉	⋊ d ɪ s ɛ n t ɪ d ⋉
170	t ɛ m p ə r aɪ z	t ɛ m p ə r aɪ z d	temporize	temporized	⋊ t ɛ m p ə ɹ a ɪ z ⋉	⋊ t ɛ m p ə ɹ a ɪ z d ⋉
175	t r aɪ s ɛ k t	t r aɪ s ɛ k t ɪ d	trisect	trisected	⋊ t ɹ a ɪ s ɛ k t ⋉	⋊ t ɹ a ɪ s ɛ k t ɪ d ⋉
178	b aɪ k	b aɪ k t	bike	biked	⋊ b a ɪ k ⋉	⋊ b a ɪ k t ⋉
179	r ɪ əʊ p m̩	r ɪ əʊ p m̩ d	reopen	reopened	⋊ ɹ ɪ o p m ⋉	⋊ ɹ ɪ o p m d ⋉
180	aʊ t b r eɪ v	aʊ t b r eɪ v d	outbrave	outbraved	⋊ a ʊ t b ɹ e v ⋉	⋊ a ʊ t b ɹ e v d ⋉
187	s ɪ ŋ g j ə l ə r aɪ z	s ɪ ŋ g j ə l ə r aɪ z d	singularize	singularized	⋊ s ɪ ŋ g j ə l ə ɹ a ɪ z ⋉	⋊ s ɪ ŋ g j ə l ə ɹ a ɪ z d ⋉
188	s ɔ lˠ t	s ɔ lˠ t ɪ d	salt	salted	⋊ s ɔ l t ⋉	⋊ s ɔ l t ɪ d ⋉
194	f ʌ d l̩ˠ	f ʌ d l̩ˠ d	fuddle	fuddled	⋊ f ʌ d l ⋉	⋊ f ʌ d l d ⋉
198	k ə m p ɔː t	k ə m p ɔː t ɪ d	comport	comported	⋊ k ə m p ɔ t ⋉	⋊ k ə m p ɔ t ɪ d ⋉
201	t ʃ ɪ ŋ k	t ʃ ɪ ŋ k t	chink	chinked	⋊ t ʃ ɪ ŋ k ⋉	⋊ t ʃ ɪ ŋ k t ⋉
202	p ɔ lˠ z ɪ	p ɔ lˠ z ɪ d	palsy	palsied	⋊ p ɔ l z ɪ ⋉	⋊ p ɔ l z ɪ d ⋉
204	r a k	r a k t	rack	racked	⋊ ɹ a k ⋉	⋊ ɹ a k t ⋉
206	g ɪ f t	g ɪ f t ɪ d	gift	gifted	⋊ g ɪ f t ⋉	⋊ g ɪ f t ɪ d ⋉
207	ɛ m p l ɔɪ	ɛ m p l ɔɪ d	employ	employed	⋊ ɛ m p l ɔ ɪ ⋉	⋊ ɛ m p l ɔ ɪ d ⋉
208	v aʊ t ʃ s eɪ f	v aʊ t ʃ s eɪ f t	vouchsafe	vouchsafed	⋊ v a ʊ t ʃ s e f ⋉	⋊ v a ʊ t ʃ s e f t ⋉
210	ɛ k s ɛ lˠ	ɛ k s ɛ lˠ d	excel	excelled	⋊ ɛ k s ɛ l ⋉	⋊ ɛ k s ɛ l d ⋉
213	ɪ n t ə r ʌ p t	ɪ n t ə r ʌ p t ɪ d	interrupt	interrupted	⋊ ɪ n t ə ɹ ʌ p t ⋉	⋊ ɪ n t ə ɹ ʌ p t ɪ d ⋉
225	n əʊ t ə r aɪ z	n əʊ t ə r aɪ z d	notarize	notarized	⋊ n o t ə ɹ a ɪ z ⋉	⋊ n o t ə ɹ a ɪ z d ⋉
229	p a n t	p a n t ɪ d	pant	panted	⋊ p a n t ⋉	⋊ p a n t ɪ d ⋉
234	b ɜː θ	b ɜː θ t	berth	berthed	⋊ b ə θ ⋉	⋊ b ə θ t ⋉
237	d ʒ ɛ r ɪ m a n d ə	d ʒ ɛ r ɪ m a n d ə d	gerrymander	gerrymandered	⋊ d ʒ ɛ ɹ ɪ m a n d ə ⋉	⋊ d ʒ ɛ ɹ ɪ m a n d ə d ⋉
239	aʊ t g əʊ	aʊ t w ɛ n t	outgo	outwent	⋊ a ʊ t g o ⋉	⋊ a ʊ t w ɛ n t ⋉
240	b ʊ lˠ d əʊ z	b ʊ lˠ d əʊ z d	bulldoze	bulldozed	⋊ b ʊ l d o z ⋉	⋊ b ʊ l d o z d ⋉
242	g r ʌ b	g r ʌ b d	grub	grubbed	⋊ g ɹ ʌ b ⋉	⋊ g ɹ ʌ b d ⋉
251	m ɔ d ə r eɪ t	m ɔ d ə r eɪ t ɪ d	moderate	moderated	⋊ m ɔ d ə ɹ e t ⋉	⋊ m ɔ d ə ɹ e t ɪ d ⋉
270	ɪ m p r ɛ s	ɪ m p r ɛ s t	impress	impressed	⋊ ɪ m p ɹ ɛ s ⋉	⋊ ɪ m p ɹ ɛ s t ⋉
273	d ɪ l ɪ b ə r eɪ t	d ɪ l ɪ b ə r eɪ t ɪ d	deliberate	deliberated	⋊ d ɪ l ɪ b ə ɹ e t ⋉	⋊ d ɪ l ɪ b ə ɹ e t ɪ d ⋉
274	f ɪ l ɪ s ɪ t eɪ t	f ɪ l ɪ s ɪ t eɪ t ɪ d	felicitate	felicitated	⋊ f ɪ l ɪ s ɪ t e t ⋉	⋊ f ɪ l ɪ s ɪ t e t ɪ d ⋉
277	h ʌ v ə	h ʌ v ə d	hover	hovered	⋊ h ʌ v ə ⋉	⋊ h ʌ v ə d ⋉
280	d ɔː n t	d ɔː n t ɪ d	daunt	daunted	⋊ d ɔ n t ⋉	⋊ d ɔ n t ɪ d ⋉
284	ɛ n t r ɑː n s	ɛ n t r ɑː n s t	entrance	entranced	⋊ ɛ n t ɹ ɑ n s ⋉	⋊ ɛ n t ɹ ɑ n s t ⋉
285	d ɪ s k aʊ n t	d ɪ s k aʊ n t ɪ d	discount	discounted	⋊ d ɪ s k a ʊ n t ⋉	⋊ d ɪ s k a ʊ n t ɪ d ⋉
286	s w ɛ lˠ t ə	s w ɛ lˠ t ə d	swelter	sweltered	⋊ s w ɛ l t ə ⋉	⋊ s w ɛ l t ə d ⋉
287	f l eɪ v ə	f l eɪ v ə d	flavour	flavoured	⋊ f l e v ə ⋉	⋊ f l e v ə d ⋉
288	ɪ n h a b ɪ t	ɪ n h a b ɪ t ɪ d	inhabit	inhabited	⋊ ɪ n h a b ɪ t ⋉	⋊ ɪ n h a b ɪ t ɪ d ⋉
291	əʊ v ə ɪ n d ʌ lˠ d ʒ	əʊ v ə ɪ n d ʌ lˠ d ʒ d	over-indulge	over-indulged	⋊ o v ə ɪ n d ʌ l d ʒ ⋉	⋊ o v ə ɪ n d ʌ l d ʒ d ⋉
299	k j ɔː	k j ɔː d	cure	cured	⋊ k j ɔ ⋉	⋊ k j ɔ d ⋉
305	r iː l əʊ k eɪ t	r iː l əʊ k eɪ t ɪ d	relocate	relocated	⋊ ɹ i l o k e t ⋉	⋊ ɹ i l o k e t ɪ d ⋉
314	d ɪ p ɪ k t	d ɪ p ɪ k t ɪ d	depict	depicted	⋊ d ɪ p ɪ k t ⋉	⋊ d ɪ p ɪ k t ɪ d ⋉
315	b r eɪ v	b r eɪ v d	brave	braved	⋊ b ɹ e v ⋉	⋊ b ɹ e v d ⋉
323	ʃ ʌ n t	ʃ ʌ n t ɪ d	shunt	shunted	⋊ ʃ ʌ n t ⋉	⋊ ʃ ʌ n t ɪ d ⋉
329	ə b r eɪ d	ə b r eɪ d ɪ d	abrade	abraded	⋊ ə b ɹ e d ⋉	⋊ ə b ɹ e d ɪ d ⋉
330	h ɜː d	h ɜː d ɪ d	herd	herded	⋊ h ə d ⋉	⋊ h ə d ɪ d ⋉
331	p ʌ n	p ʌ n d	pun	punned	⋊ p ʌ n ⋉	⋊ p ʌ n d ⋉
332	ɛ k s a s ə b eɪ t	ɛ k s a s ə b eɪ t ɪ d	exacerbate	exacerbated	⋊ ɛ k s a s ə b e t ⋉	⋊ ɛ k s a s ə b e t ɪ d ⋉
337	p ɜː lˠ	p ɜː lˠ d	purl	purled	⋊ p ə l ⋉	⋊ p ə l d ⋉
340	w eɪ n	w eɪ n d	wane	waned	⋊ w e n ⋉	⋊ w e n d ⋉
344	ə s ɪ m ə l eɪ t	ə s ɪ m ə l eɪ t ɪ d	assimilate	assimilated	⋊ ə s ɪ m ə l e t ⋉	⋊ ə s ɪ m ə l e t ɪ d ⋉
345	m ɔ l ɪ f aɪ	m ɔ l ɪ f aɪ d	mollify	mollified	⋊ m ɔ l ɪ f a ɪ ⋉	⋊ m ɔ l ɪ f a ɪ d ⋉
346	g ə f ɔː	g ə f ɔː d	guffaw	guffawed	⋊ g ə f ɔ ⋉	⋊ g ə f ɔ d ⋉
347	k r ɔː s b r iː d	k r ɔː s b r ɛ d	crossbreed	crossbred	⋊ k ɹ ɔ s b ɹ i d ⋉	⋊ k ɹ ɔ s b ɹ ɛ d ⋉
349	b r ɑː n ʃ	b r ɑː n ʃ t	branch	branched	⋊ b ɹ ɑ n ʃ ⋉	⋊ b ɹ ɑ n ʃ t ⋉
361	g l ɪ s n̩	g l ɪ s n̩ d	glisten	glistened	⋊ g l ɪ s n ⋉	⋊ g l ɪ s n d ⋉
362	ɔ s ə l eɪ t	ɔ s ə l eɪ t ɪ d	oscillate	oscillated	⋊ ɔ s ə l e t ⋉	⋊ ɔ s ə l e t ɪ d ⋉
363	p ɜː t ɜː b	p ɜː t ɜː b d	perturb	perturbed	⋊ p ə t ə b ⋉	⋊ p ə t ə b d ⋉
365	ə v aʊ	ə v aʊ d	avow	avowed	⋊ ə v a ʊ ⋉	⋊ ə v a ʊ d ⋉
369	s p r eɪ n	s p r eɪ n d	sprain	sprained	⋊ s p ɹ e n ⋉	⋊ s p ɹ e n d ⋉
371	k r ɪ eɪ t	k r ɪ eɪ t ɪ d	create	created	⋊ k ɹ ɪ e t ⋉	⋊ k ɹ ɪ e t ɪ d ⋉
382	s n ɪ k	s n ɪ k t	snick	snicked	⋊ s n ɪ k ⋉	⋊ s n ɪ k t ⋉
383	p ɜː t ʃ ə s	p ɜː t ʃ ə s t	purchase	purchased	⋊ p ə t ʃ ə s ⋉	⋊ p ə t ʃ ə s t ⋉
391	d ɪ s əʊ s j eɪ t	d ɪ s əʊ s j eɪ t ɪ d	dissociate	dissociated	⋊ d ɪ s o s j e t ⋉	⋊ d ɪ s o s j e t ɪ d ⋉
392	t ɛ s ɪ l eɪ t	t ɛ s ɪ l eɪ t ɪ d	tessellate	tessellated	⋊ t ɛ s ɪ l e t ⋉	⋊ t ɛ s ɪ l e t ɪ d ⋉
393	d ɪ v aɪ z	d ɪ v aɪ z d	devise	devised	⋊ d ɪ v a ɪ z ⋉	⋊ d ɪ v a ɪ z d ⋉
396	ɪ k s t ɛ m p ʊ r aɪ z	ɪ k s t ɛ m p ʊ r aɪ z d	extemporize	extemporized	⋊ ɪ k s t ɛ m p ʊ ɹ a ɪ z ⋉	⋊ ɪ k s t ɛ m p ʊ ɹ a ɪ z d ⋉
399	j uː n ɪ ə n aɪ z	j uː n ɪ ə n aɪ z d	unionize	unionized	⋊ j u n ɪ ə n a ɪ z ⋉	⋊ j u n ɪ ə n a ɪ z d ⋉
402	s t aɪ m ɪ	s t aɪ m ɪ d	stymie	stymied	⋊ s t a ɪ m ɪ ⋉	⋊ s t a ɪ m ɪ d ⋉
404	k ɔː s n̩	k ɔː s n̩ d	coarsen	coarsened	⋊ k ɔ s n ⋉	⋊ k ɔ s n d ⋉
405	d ɪ m ɛ n t	d ɪ m ɛ n t ɪ d	dement	demented	⋊ d ɪ m ɛ n t ⋉	⋊ d ɪ m ɛ n t ɪ d ⋉
412	m ʌ f l̩ˠ	m ʌ f l̩ˠ d	muffle	muffled	⋊ m ʌ f l ⋉	⋊ m ʌ f l d ⋉
416	k ə n s k r ɪ p t	k ə n s k r ɪ p t ɪ d	conscript	conscripted	⋊ k ə n s k ɹ ɪ p t ⋉	⋊ k ə n s k ɹ ɪ p t ɪ d ⋉
420	b ʌ d	b ʌ d ɪ d	bud	budded	⋊ b ʌ d ⋉	⋊ b ʌ d ɪ d ⋉
421	d ɑː n s	d ɑː n s t	dance	danced	⋊ d ɑ n s ⋉	⋊ d ɑ n s t ⋉
423	s p lˠ ɪ t	s p lˠ ɪ t	split	split	⋊ s p l ɪ t ⋉	⋊ s p l ɪ t ⋉
424	r iː ɪ m b ɜː s	r iː ɪ m b ɜː s t	reimburse	reimbursed	⋊ ɹ i ɪ m b ə s ⋉	⋊ ɹ i ɪ m b ə s t ⋉
425	b eɪ k	b eɪ k t	bake	baked	⋊ b e k ⋉	⋊ b e k t ⋉
429	d ɪ d l̩ˠ	d ɪ d l̩ˠ d	diddle	diddled	⋊ d ɪ d l ⋉	⋊ d ɪ d l d ⋉
430	m ɪ lˠ k	m ɪ lˠ k t	milk	milked	⋊ m ɪ l k ⋉	⋊ m ɪ l k t ⋉
436	p r eɪ	p r eɪ d	prey	preyed	⋊ p ɹ e ⋉	⋊ p ɹ e d ⋉
438	l ɪ d ʒ ɪ t ə m aɪ z	l ɪ d ʒ ɪ t ə m aɪ z d	legitimize	legitimized	⋊ l ɪ d ʒ ɪ t ə m a ɪ z ⋉	⋊ l ɪ d ʒ ɪ t ə m a ɪ z d ⋉
443	s p uː f	s p uː f t	spoof	spoofed	⋊ s p u f ⋉	⋊ s p u f t ⋉
446	k ʌ d l̩ˠ	k ʌ d l̩ˠ d	cuddle	cuddled	⋊ k ʌ d l ⋉	⋊ k ʌ d l d ⋉
447	t r uː p	t r uː p t	troop	trooped	⋊ t ɹ u p ⋉	⋊ t ɹ u p t ⋉
448	p r aʊ lˠ	p r aʊ lˠ d	prowl	prowled	⋊ p ɹ a ʊ l ⋉	⋊ p ɹ a ʊ l d ⋉
451	h ɔː n t	h ɔː n t ɪ d	haunt	haunted	⋊ h ɔ n t ⋉	⋊ h ɔ n t ɪ d ⋉
453	s ɔː	s ɔː d	saw	sawed	⋊ s ɔ ⋉	⋊ s ɔ d ⋉
456	f ʊ lˠ f ɪ lˠ	f ʊ lˠ f ɪ lˠ d	fulfil	fulfilled	⋊ f ʊ l f ɪ l ⋉	⋊ f ʊ l f ɪ l d ⋉
458	p ʌ b l ɪ ʃ	p ʌ b l ɪ ʃ t	publish	published	⋊ p ʌ b l ɪ ʃ ⋉	⋊ p ʌ b l ɪ ʃ t ⋉
459	k ɜː t ɪ n	k ɜː t ɪ n d	curtain	curtained	⋊ k ə t ɪ n ⋉	⋊ k ə t ɪ n d ⋉
466	p l ɔ ŋ k	p l ɔ ŋ k t	plonk	plonked	⋊ p l ɔ ŋ k ⋉	⋊ p l ɔ ŋ k t ⋉
471	m ɑː k ɪ t	m ɑː k ɪ t ɪ d	market	marketed	⋊ m ɑ k ɪ t ⋉	⋊ m ɑ k ɪ t ɪ d ⋉
473	d ʌ b l̩ˠ	d ʌ b l̩ˠ d	double	doubled	⋊ d ʌ b l ⋉	⋊ d ʌ b l d ⋉
474	t ʃ iː p n̩	t ʃ iː p n̩ d	cheapen	cheapened	⋊ t ʃ i p n ⋉	⋊ t ʃ i p n d ⋉
475	p aɪ n	p aɪ n d	pine	pined	⋊ p a ɪ n ⋉	⋊ p a ɪ n d ⋉
476	a b d ɪ k eɪ t	a b d ɪ k eɪ t ɪ d	abdicate	abdicated	⋊ a b d ɪ k e t ⋉	⋊ a b d ɪ k e t ɪ d ⋉
477	ɔ k s ɪ d aɪ z	ɔ k s ɪ d aɪ z d	oxidize	oxidized	⋊ ɔ k s ɪ d a ɪ z ⋉	⋊ ɔ k s ɪ d a ɪ z d ⋉
479	əʊ v ə s iː	əʊ v ə s ɔː	oversee	oversaw	⋊ o v ə s i ⋉	⋊ o v ə s ɔ ⋉
483	r ə t r a k t	r ə t r a k t ɪ d	retract	retracted	⋊ ɹ ə t ɹ a k t ⋉	⋊ ɹ ə t ɹ a k t ɪ d ⋉
489	m ɪ s h ɪ ə	m ɪ s h ɜː d	mishear	misheard	⋊ m ɪ s h ɪ ə ⋉	⋊ m ɪ s h ə d ⋉
491	k r ɛ p ɪ t eɪ t	k r ɛ p ɪ t eɪ t ɪ d	crepitate	crepitated	⋊ k ɹ ɛ p ɪ t e t ⋉	⋊ k ɹ ɛ p ɪ t e t ɪ d ⋉
493	m ɪ s f aɪ ə	m ɪ s f aɪ ə d	misfire	misfired	⋊ m ɪ s f a ɪ ə ⋉	⋊ m ɪ s f a ɪ ə d ⋉
500	s k uː t	s k uː t ɪ d	scoot	scooted	⋊ s k u t ⋉	⋊ s k u t ɪ d ⋉
503	k ə n d ʒ iː lˠ	k ə n d ʒ iː lˠ d	congeal	congealed	⋊ k ə n d ʒ i l ⋉	⋊ k ə n d ʒ i l d ⋉
509	s t eɪ k	s t eɪ k t	stake	staked	⋊ s t e k ⋉	⋊ s t e k t ⋉
510	ə p a r l̩ˠ	ə p a r l̩ˠ d	apparel	apparelled	⋊ ə p a ɹ l ⋉	⋊ ə p a ɹ l d ⋉
515	d iː s ɛ n t r ə l aɪ z	d iː s ɛ n t r ə l aɪ z d	decentralize	decentralized	⋊ d i s ɛ n t ɹ ə l a ɪ z ⋉	⋊ d i s ɛ n t ɹ ə l a ɪ z d ⋉
518	d iː b a g	d iː b a g d	debag	debagged	⋊ d i b a g ⋉	⋊ d i b a g d ⋉
522	ɔ s k ʌ lˠ t eɪ t	ɔ s k ʌ lˠ t eɪ t ɪ d	auscultate	auscultated	⋊ ɔ s k ʌ l t e t ⋉	⋊ ɔ s k ʌ l t e t ɪ d ⋉
526	b r aɪ b	b r aɪ b d	bribe	bribed	⋊ b ɹ a ɪ b ⋉	⋊ b ɹ a ɪ b d ⋉
528	t ɛ n ə n t	t ɛ n ə n t ɪ d	tenant	tenanted	⋊ t ɛ n ə n t ⋉	⋊ t ɛ n ə n t ɪ d ⋉
529	d a z l̩ˠ	d a z l̩ˠ d	dazzle	dazzled	⋊ d a z l ⋉	⋊ d a z l d ⋉
530	t ɪ t ɪ l eɪ t	t ɪ t ɪ l eɪ t ɪ d	titillate	titillated	⋊ t ɪ t ɪ l e t ⋉	⋊ t ɪ t ɪ l e t ɪ d ⋉
531	ʌ n d j ʊ l eɪ t	ʌ n d j ʊ l eɪ t ɪ d	undulate	undulated	⋊ ʌ n d j ʊ l e t ⋉	⋊ ʌ n d j ʊ l e t ɪ d ⋉
538	p əʊ lˠ	p əʊ lˠ d	poll	polled	⋊ p o l ⋉	⋊ p o l d ⋉
540	r iː d aɪ r ɛ k t	r iː d aɪ r ɛ k t ɪ d	redirect	redirected	⋊ ɹ i d a ɪ ɹ ɛ k t ⋉	⋊ ɹ i d a ɪ ɹ ɛ k t ɪ d ⋉
546	s t ɛ r ɪ əʊ t aɪ p	s t ɛ r ɪ əʊ t aɪ p t	stereotype	stereotyped	⋊ s t ɛ ɹ ɪ o t a ɪ p ⋉	⋊ s t ɛ ɹ ɪ o t a ɪ p t ⋉
551	p l ɛ n ɪ ʃ	p l ɛ n ɪ ʃ t	plenish	plenished	⋊ p l ɛ n ɪ ʃ ⋉	⋊ p l ɛ n ɪ ʃ t ⋉
553	d ɪ s k r aɪ	d ɪ s k r aɪ d	descry	descried	⋊ d ɪ s k ɹ a ɪ ⋉	⋊ d ɪ s k ɹ a ɪ d ⋉
562	r iː v a m p	r iː v a m p t	revamp	revamped	⋊ ɹ i v a m p ⋉	⋊ ɹ i v a m p t ⋉
565	əʊ v ə r iː t ʃ	əʊ v ə r iː t ʃ t	overreach	overreached	⋊ o v ə ɹ i t ʃ ⋉	⋊ o v ə ɹ i t ʃ t ⋉
567	ɪ n s t ɪ t j uː ʃ ə n ə l aɪ z	ɪ n s t ɪ t j uː ʃ ə n ə l aɪ z d	institutionalize	institutionalized	⋊ ɪ n s t ɪ t j u ʃ ə n ə l a ɪ z ⋉	⋊ ɪ n s t ɪ t j u ʃ ə n ə l a ɪ z d ⋉
572	s ɪ n ʒ	s ɪ n ʒ d	singe	singed	⋊ s ɪ n ʒ ⋉	⋊ s ɪ n ʒ d ⋉
575	b r ɪ s l̩ˠ	b r ɪ s l̩ˠ d	bristle	bristled	⋊ b ɹ ɪ s l ⋉	⋊ b ɹ ɪ s l d ⋉
578	r eɪ z	r eɪ z d	raze	razed	⋊ ɹ e z ⋉	⋊ ɹ e z d ⋉
584	r ə z ʌ lˠ t	r ə z ʌ lˠ t ɪ d	result	resulted	⋊ ɹ ə z ʌ l t ⋉	⋊ ɹ ə z ʌ l t ɪ d ⋉
586	b ɔː lˠ k	b ɔː lˠ k t	balk	balked	⋊ b ɔ l k ⋉	⋊ b ɔ l k t ⋉
588	h ɪ n ʒ	h ɪ n ʒ d	hinge	hinged	⋊ h ɪ n ʒ ⋉	⋊ h ɪ n ʒ d ⋉
591	b ʊ ʃ h w a k	b ʊ ʃ h w a k t	bushwhack	bushwhacked	⋊ b ʊ ʃ h w a k ⋉	⋊ b ʊ ʃ h w a k t ⋉
593	b ə g ɪ n	b ə g a n	begin	began	⋊ b ə g ɪ n ⋉	⋊ b ə g a n ⋉
599	d ɪ p r ɛ s	d ɪ p r ɛ s t	depress	depressed	⋊ d ɪ p ɹ ɛ s ⋉	⋊ d ɪ p ɹ ɛ s t ⋉
600	k r uː z	k r uː z d	cruise	cruised	⋊ k ɹ u z ⋉	⋊ k ɹ u z d ⋉
601	h ʌ f	h ʌ f t	huff	huffed	⋊ h ʌ f ⋉	⋊ h ʌ f t ⋉
607	d r ɔ p k ɪ k	d r ɔ p k ɪ k t	dropkick	dropkicked	⋊ d ɹ ɔ p k ɪ k ⋉	⋊ d ɹ ɔ p k ɪ k t ⋉
608	h eɪ lˠ	h eɪ lˠ d	hail	hailed	⋊ h e l ⋉	⋊ h e l d ⋉
609	p ɜː d ʒ	p ɜː d ʒ d	purge	purged	⋊ p ə d ʒ ⋉	⋊ p ə d ʒ d ⋉
613	r ə s iː v	r ə s iː v d	receive	received	⋊ ɹ ə s i v ⋉	⋊ ɹ ə s i v d ⋉
614	s lˠ uː	s lˠ uː d	slew	slewed	⋊ s l u ⋉	⋊ s l u d ⋉
