index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
21	m i n	m ɛ n t	mean	meant	⋊ m i n ⋉	⋊ m ɛ n t ⋉
22	k ɔ l	k ɔ l d	call	called	⋊ k ɔ l ⋉	⋊ k ɔ l d ⋉
23	k i p	k ɛ p t	keep	kept	⋊ k i p ⋉	⋊ k ɛ p t ⋉
24	t ɚ n	t ɚ n d	turn	turned	⋊ t ɛ ɹ n ⋉	⋊ t ɛ ɹ n d ⋉
25	n i d	n i d ə d	need	needed	⋊ n i d ⋉	⋊ n i d ɪ d ⋉
26	w ɚ k	w ɚ k t	work	worked	⋊ w ɛ ɹ k ⋉	⋊ w ɛ ɹ k t ⋉
27	l ɪ v	l ɪ v d	live	lived	⋊ l ɪ v ⋉	⋊ l ɪ v d ⋉
28	b ɹ ɪ ŋ	b ɹ ɔ t	bring	brought	⋊ b ɹ ɪ ŋ ⋉	⋊ b ɹ ɔ t ⋉
29	t ɔ k	t ɔ k t	talk	talked	⋊ t ɔ k ⋉	⋊ t ɔ k t ⋉
30	h i ɹ	h ɚ d	hear	heard	⋊ h i ɹ ⋉	⋊ h ɛ ɹ d ⋉
31	s ɪ t	s æ t	sit	sat	⋊ s ɪ t ⋉	⋊ s ɑ t ⋉
32	ʃ oʊ	ʃ oʊ d	show	showed	⋊ ʃ o ⋉	⋊ ʃ o d ⋉
33	s t æ n d	s t ʊ d	stand	stood	⋊ s t ɑ n d ⋉	⋊ s t ʊ d ⋉
34	h oʊ l d	h ɛ l d	hold	held	⋊ h o l d ⋉	⋊ h ɛ l d ⋉
35	ɹ aɪ t	ɹ oʊ t	write	wrote	⋊ ɹ a ɪ t ⋉	⋊ ɹ o t ⋉
36	tʃ eɪ n dʒ	tʃ eɪ n dʒ d	change	changed	⋊ t ʃ e n d ʒ ⋉	⋊ t ʃ e n d ʒ d ⋉
37	s t a ɹ t	s t a ɹ t ə d	start	started	⋊ s t a ɹ t ⋉	⋊ s t a ɹ t ɪ d ⋉
38	ɹ ʌ n	ɹ æ n	run	ran	⋊ ɹ ʌ n ⋉	⋊ ɹ ɑ n ⋉
39	l ɛ t	l ɛ t	let		⋊ l ɛ t ⋉	⋊ l ɛ t ⋉
40	m u v	m u v d	move	moved	⋊ m u v ⋉	⋊ m u v d ⋉
41	b i l i v	b i l i v d	believe	believed	⋊ b i l i v ⋉	⋊ b i l i v d ⋉
42	p l eɪ	p l eɪ d	play	played	⋊ p l e ⋉	⋊ p l e d ⋉
43	h ɛ l p	h ɛ l p t	help	helped	⋊ h ɛ l p ⋉	⋊ h ɛ l p t ⋉
44	ɹ i d	ɹ ɛ d	read		⋊ ɹ i d ⋉	⋊ ɹ ɛ d ⋉
45	s p i k	s p oʊ k	speak	spoke	⋊ s p i k ⋉	⋊ s p o k ⋉
46	ɹ ɪ m ɛ m b ɚ	ɹ ɪ m ɛ m b ɚ d	remember	remembered	⋊ ɹ ɪ m ɛ m b ɛ ɹ ⋉	⋊ ɹ ɪ m ɛ m b ɛ ɹ d ⋉
47	p eɪ	p eɪ d	pay	paid	⋊ p e ⋉	⋊ p e d ⋉
48	g ɹ oʊ	g ɹ u	grow	grew	⋊ g ɹ o ⋉	⋊ g ɹ u ⋉
49	l u z	l ɔ s t	lose	lost	⋊ l u z ⋉	⋊ l ɔ s t ⋉
50	s t a p	s t a p t	stop	stopped	⋊ s t a p ⋉	⋊ s t a p t ⋉
51	l aɪ k	l aɪ k t	like	liked	⋊ l a ɪ k ⋉	⋊ l a ɪ k t ⋉
52	w eɪ t	w eɪ t ə d	wait	waited	⋊ w e t ⋉	⋊ w e t ɪ d ⋉
53	s ɛ t	s ɛ t	set		⋊ s ɛ t ⋉	⋊ s ɛ t ⋉
54	k eɪ ɹ i	k eɪ ɹ i d	carry	carried	⋊ k e ɹ i ⋉	⋊ k e ɹ i d ⋉
55	w ɔ k	w ɔ k t	walk	walked	⋊ w ɔ k ⋉	⋊ w ɔ k t ⋉
56	l ɚ n	l ɚ n d	learn	learned	⋊ l ɛ ɹ n ⋉	⋊ l ɛ ɹ n d ⋉
57	l aɪ	l eɪ	lie	lay	⋊ l a ɪ ⋉	⋊ l e ⋉
58	l i d	l ɛ d	lead	led	⋊ l i d ⋉	⋊ l ɛ d ⋉
59	f ɔ l	f ɛ l	fall	fell	⋊ f ɔ l ⋉	⋊ f ɛ l ⋉
60	ə p i ɹ	ə p i ɹ d	appear	appeared	⋊ ə p i ɹ ⋉	⋊ ə p i ɹ d ⋉
61	i t	eɪ t	eat	ate	⋊ i t ⋉	⋊ e t ⋉
62	ɪ k s p ɛ k t	ɪ k s p ɛ k t ə d	expect	expected	⋊ ɪ k s p ɛ k t ⋉	⋊ ɪ k s p ɛ k t ɪ d ⋉
63	s p ɛ n d	s p ɛ n t	spend	spent	⋊ s p ɛ n d ⋉	⋊ s p ɛ n t ⋉
64	s ɛ n d	s ɛ n t	send	sent	⋊ s ɛ n d ⋉	⋊ s ɛ n t ⋉
65	k ə n t ɪ n j u	k ə n t ɪ n j u d	continue	continued	⋊ k ə n t ɪ n j u ⋉	⋊ k ə n t ɪ n j u d ⋉
66	ɹ ɪ m eɪ n	ɹ ɪ m eɪ n d	remain	remained	⋊ ɹ ɪ m e n ⋉	⋊ ɹ ɪ m e n d ⋉
67	p æ s	p æ s t	pass	passed	⋊ p ɑ s ⋉	⋊ p ɑ s t ⋉
68	b aɪ	b ɔ t	buy	bought	⋊ b a ɪ ⋉	⋊ b ɔ t ⋉
69	ɹ i tʃ	ɹ i tʃ t	reach	reached	⋊ ɹ i t ʃ ⋉	⋊ ɹ i t ʃ t ⋉
70	d ɪ v ɛ l ə p	d ɪ v ɛ l ə p t	develop	developed	⋊ d ɪ v ɛ l ə p ⋉	⋊ d ɪ v ɛ l ə p t ⋉
71	s t eɪ	s t eɪ d	stay	stayed	⋊ s t e ⋉	⋊ s t e d ⋉
72	w a tʃ	w a tʃ t	watch	watched	⋊ w a t ʃ ⋉	⋊ w a t ʃ t ⋉
73	d ɪ s aɪ d	d ɪ s aɪ d ə d	decide	decided	⋊ d ɪ s a ɪ d ⋉	⋊ d ɪ s a ɪ d ɪ d ⋉
74	p ɹ ə d u s	p ɹ ə d u s t	produce	produced	⋊ p ɹ ə d u s ⋉	⋊ p ɹ ə d u s t ⋉
75	w eɪ ɹ	w oʊ ɹ	wear	wore	⋊ w e ɹ ⋉	⋊ w o ɹ ⋉
76	b ɪ l d	b ɪ l t	build	built	⋊ b ɪ l d ⋉	⋊ b ɪ l t ⋉
77	d aɪ	d aɪ d	die	died	⋊ d a ɪ ⋉	⋊ d a ɪ d ⋉
78	l ʌ v	l ʌ v d	love	loved	⋊ l ʌ v ⋉	⋊ l ʌ v d ⋉
79	æ d	æ d ə d	add	added	⋊ ɑ d ⋉	⋊ ɑ d ɪ d ⋉
80	m i t	m ɛ t	meet	met	⋊ m i t ⋉	⋊ m ɛ t ⋉
81	s ə g dʒ ɛ s t	s ə g dʒ ɛ s t ə d	suggest	suggested	⋊ s ə g d ʒ ɛ s t ⋉	⋊ s ə g d ʒ ɛ s t ɪ d ⋉
82	b ɹ eɪ k	b ɹ oʊ k	break	broke	⋊ b ɹ e k ⋉	⋊ b ɹ o k ⋉
83	h oʊ p	h oʊ p t	hope	hoped	⋊ h o p ⋉	⋊ h o p t ⋉
84	d ɹ aɪ v	d ɹ oʊ v	drive	drove	⋊ d ɹ a ɪ v ⋉	⋊ d ɹ o v ⋉
85	d ɹ ɔ	d ɹ u	draw	drew	⋊ d ɹ ɔ ⋉	⋊ d ɹ u ⋉
86	ɪ n v a l v	ɪ n v a l v d	involve	involved	⋊ ɪ n v a l v ⋉	⋊ ɪ n v a l v d ⋉
87	k ɪ l	k ɪ l d	kill	killed	⋊ k ɪ l ⋉	⋊ k ɪ l d ⋉
88	k ə n s ɪ d ɚ	k ə n s ɪ d ɚ d	consider	considered	⋊ k ə n s ɪ d ɛ ɹ ⋉	⋊ k ə n s ɪ d ɛ ɹ d ⋉
89	ə k s ɛ p t	ə k s ɛ p t ə d	accept	accepted	⋊ ə k s ɛ p t ⋉	⋊ ə k s ɛ p t ɪ d ⋉
90	ɔ f ɚ	ɔ f ɚ d	offer	offered	⋊ ɔ f ɛ ɹ ⋉	⋊ ɔ f ɛ ɹ d ⋉
91	ɹ i ə l aɪ z	ɹ i ə l aɪ z d	realize	realized	⋊ ɹ i ə l a ɪ z ⋉	⋊ ɹ i ə l a ɪ z d ⋉
92	ɹ aɪ z	ɹ oʊ z	rise	rose	⋊ ɹ a ɪ z ⋉	⋊ ɹ o z ⋉
93	k æ tʃ	k ɔ t	catch	caught	⋊ k ɑ t ʃ ⋉	⋊ k ɔ t ⋉
94	ə g ɹ i	ə g ɹ i d	agree	agreed	⋊ ə g ɹ i ⋉	⋊ ə g ɹ i d ⋉
95	k ʌ t	k ʌ t	cut		⋊ k ʌ t ⋉	⋊ k ʌ t ⋉
96	ɹ ɪ k w aɪ ɚ	ɹ ɪ k w aɪ ɚ d	require	required	⋊ ɹ ɪ k w a ɪ ɛ ɹ ⋉	⋊ ɹ ɪ k w a ɪ ɛ ɹ d ⋉
97	p ɪ k	p ɪ k t	pick	picked	⋊ p ɪ k ⋉	⋊ p ɪ k t ⋉
98	w ɪ ʃ	w ɪ ʃ t	wish	wished	⋊ w ɪ ʃ ⋉	⋊ w ɪ ʃ t ⋉
99	p ʊ l	p ʊ l d	pull	pulled	⋊ p ʊ l ⋉	⋊ p ʊ l d ⋉
100	k ʌ v ɚ	k ʌ v ɚ d	cover	covered	⋊ k ʌ v ɛ ɹ ⋉	⋊ k ʌ v ɛ ɹ d ⋉
101	tʃ u z	tʃ oʊ z	choose	chose	⋊ t ʃ u z ⋉	⋊ t ʃ o z ⋉
102	l ɪ s ə n	l ɪ s ə n d	listen	listened	⋊ l ɪ s ə n ⋉	⋊ l ɪ s ə n d ⋉
103	ɹ eɪ z	ɹ eɪ z d	raise	raised	⋊ ɹ e z ⋉	⋊ ɹ e z d ⋉
104	w ʌ n d ɚ	w ʌ n d ɚ d	wonder	wondered	⋊ w ʌ n d ɛ ɹ ⋉	⋊ w ʌ n d ɛ ɹ d ⋉
105	l æ f	l æ f t	laugh	laughed	⋊ l ɑ f ⋉	⋊ l ɑ f t ⋉
106	æ n s ɚ	æ n s ɚ d	answer	answered	⋊ ɑ n s ɛ ɹ ⋉	⋊ ɑ n s ɛ ɹ d ⋉
107	p l æ n	p l æ n d	plan	planned	⋊ p l ɑ n ⋉	⋊ p l ɑ n d ⋉
108	s m aɪ l	s m aɪ l d	smile	smiled	⋊ s m a ɪ l ⋉	⋊ s m a ɪ l d ⋉
109	k ɹ i eɪ t	k ɹ i eɪ t ə d	create	created	⋊ k ɹ i e t ⋉	⋊ k ɹ i e t ɪ d ⋉
110	θ ɹ oʊ	θ ɹ u	throw	threw	⋊ θ ɹ o ⋉	⋊ θ ɹ u ⋉
111	ɹ ɪ s i v	ɹ ɪ s i v d	receive	received	⋊ ɹ ɪ s i v ⋉	⋊ ɹ ɪ s i v d ⋉
112	w ɪ n	w ʌ n	win	won	⋊ w ɪ n ⋉	⋊ w ʌ n ⋉
113	p ɹ u v	p ɹ u v d	prove	proved	⋊ p ɹ u v ⋉	⋊ p ɹ u v d ⋉
114	s ɚ v	s ɚ v d	serve	served	⋊ s ɛ ɹ v ⋉	⋊ s ɛ ɹ v d ⋉
115	ɪ n dʒ ɔɪ	ɪ n dʒ ɔɪ d	enjoy	enjoyed	⋊ ɪ n d ʒ ɔ ɪ ⋉	⋊ ɪ n d ʒ ɔ ɪ d ⋉
116	f eɪ l	f eɪ l d	fail	failed	⋊ f e l ⋉	⋊ f e l d ⋉
117	s ɛ l	s oʊ l d	sell	sold	⋊ s ɛ l ⋉	⋊ s o l d ⋉
118	dʒ ɔɪ n	dʒ ɔɪ n d	join	joined	⋊ d ʒ ɔ ɪ n ⋉	⋊ d ʒ ɔ ɪ n d ⋉
119	t i tʃ	t ɔ t	teach	taught	⋊ t i t ʃ ⋉	⋊ t ɔ t ⋉
120	d ɹ a p	d ɹ a p t	drop	dropped	⋊ d ɹ a p ⋉	⋊ d ɹ a p t ⋉
121	f aɪ t	f ɔ t	fight	fought	⋊ f a ɪ t ⋉	⋊ f ɔ t ⋉
122	f oʊ ɹ s	f oʊ ɹ s t	force	forced	⋊ f o ɹ s ⋉	⋊ f o ɹ s t ⋉
123	ɛ n d	ɛ n d ə d	end	ended	⋊ ɛ n d ⋉	⋊ ɛ n d ɪ d ⋉
124	f ɪ l	f ɪ l d	fill	filled	⋊ f ɪ l ⋉	⋊ f ɪ l d ⋉
125	f eɪ s	f eɪ s t	face	faced	⋊ f e s ⋉	⋊ f e s t ⋉
126	f i d	f ɛ d	feed	fed	⋊ f i d ⋉	⋊ f ɛ d ⋉
127	ɪ g z ɪ s t	ɪ g z ɪ s t ə d	exist	existed	⋊ ɪ g z ɪ s t ⋉	⋊ ɪ g z ɪ s t ɪ d ⋉
128	p ɔɪ n t	p ɔɪ n t ə d	point	pointed	⋊ p ɔ ɪ n t ⋉	⋊ p ɔ ɪ n t ɪ d ⋉
129	ʃ eɪ k	ʃ ʊ k	shake	shook	⋊ ʃ e k ⋉	⋊ ʃ ʊ k ⋉
130	t ɛ n d	t ɛ n d ə d	tend	tended	⋊ t ɛ n d ⋉	⋊ t ɛ n d ɪ d ⋉
131	d ɹ ɪ ŋ k	d ɹ æ ŋ k	drink	drank	⋊ d ɹ ɪ ŋ k ⋉	⋊ d ɹ ɑ ŋ k ⋉
132	ɛ n t ɚ	ɛ n t ɚ d	enter	entered	⋊ ɛ n t ɛ ɹ ⋉	⋊ ɛ n t ɛ ɹ d ⋉
133	s l i p	s l ɛ p t	sleep	slept	⋊ s l i p ⋉	⋊ s l ɛ p t ⋉
134	h æ ŋ	h ʌ ŋ	hang	hung	⋊ h ɑ ŋ ⋉	⋊ h ʌ ŋ ⋉
135	ɪ n k l u d	ɪ n k l u d ə d	include	included	⋊ ɪ n k l u d ⋉	⋊ ɪ n k l u d ɪ d ⋉
136	f oʊ ɹ m	f oʊ ɹ m d	form	formed	⋊ f o ɹ m ⋉	⋊ f o ɹ m d ⋉
137	f ɪ n ɪ ʃ	f ɪ n ɪ ʃ t	finish	finished	⋊ f ɪ n ɪ ʃ ⋉	⋊ f ɪ n ɪ ʃ t ⋉
138	s aʊ n d	s aʊ n d ə d	sound	sounded	⋊ s a ʊ n d ⋉	⋊ s a ʊ n d ɪ d ⋉
139	m eɪ ɹ i	m eɪ ɹ i d	marry	married	⋊ m e ɹ i ⋉	⋊ m e ɹ i d ⋉
140	k ə n t eɪ n	k ə n t eɪ n d	contain	contained	⋊ k ə n t e n ⋉	⋊ k ə n t e n d ⋉
141	p ʊ ʃ	p ʊ ʃ t	push	pushed	⋊ p ʊ ʃ ⋉	⋊ p ʊ ʃ t ⋉
142	ə k ɚ	ə k ɚ d	occur	occurred	⋊ ə k ɛ ɹ ⋉	⋊ ə k ɛ ɹ d ⋉
143	ɪ s t æ b l ɪ ʃ	ɪ s t æ b l ɪ ʃ t	establish	established	⋊ ɪ s t ɑ b l ɪ ʃ ⋉	⋊ ɪ s t ɑ b l ɪ ʃ t ⋉
144	ɪ m æ dʒ ə n	ɪ m æ dʒ ə n d	imagine	imagined	⋊ ɪ m ɑ d ʒ ə n ⋉	⋊ ɪ m ɑ d ʒ ə n d ⋉
145	æ k t	æ k t ə d	act	acted	⋊ ɑ k t ⋉	⋊ ɑ k t ɪ d ⋉
146	s eɪ v	s eɪ v d	save	saved	⋊ s e v ⋉	⋊ s e v d ⋉
147	k eɪ ɹ	k eɪ ɹ d	care	cared	⋊ k e ɹ ⋉	⋊ k e ɹ d ⋉
148	s t eɪ ɹ	s t eɪ ɹ d	stare	stared	⋊ s t e ɹ ⋉	⋊ s t e ɹ d ⋉
149	l eɪ	l eɪ d	lay	laid	⋊ l e ⋉	⋊ l e d ⋉
150	k ɹ aɪ	k ɹ aɪ d	cry	cried	⋊ k ɹ a ɪ ⋉	⋊ k ɹ a ɪ d ⋉
151	k l oʊ z	k l oʊ z d	close	closed	⋊ k l o z ⋉	⋊ k l o z d ⋉
152	s ʌ f ɚ	s ʌ f ɚ d	suffer	suffered	⋊ s ʌ f ɛ ɹ ⋉	⋊ s ʌ f ɛ ɹ d ⋉
153	s i k	s ɔ t	seek	sought	⋊ s i k ⋉	⋊ s ɔ t ⋉
154	ʃ eɪ ɹ	ʃ eɪ ɹ d	share	shared	⋊ ʃ e ɹ ⋉	⋊ ʃ e ɹ d ⋉
155	a ɹ g j u	a ɹ g j u d	argue	argued	⋊ a ɹ g j u ⋉	⋊ a ɹ g j u d ⋉
156	ɹ ɪ d u s	ɹ ɪ d u s t	reduce	reduced	⋊ ɹ ɪ d u s ⋉	⋊ ɹ ɪ d u s t ⋉
157	ə tʃ i v	ə tʃ i v d	achieve	achieved	⋊ ə t ʃ i v ⋉	⋊ ə t ʃ i v d ⋉
158	s t ʌ d i	s t ʌ d i d	study	studied	⋊ s t ʌ d i ⋉	⋊ s t ʌ d i d ⋉
159	θ æ ŋ k	θ æ ŋ k t	thank	thanked	⋊ θ ɑ ŋ k ⋉	⋊ θ ɑ ŋ k t ⋉
160	m ɛ n tʃ ə n	m ɛ n tʃ ə n d	mention	mentioned	⋊ m ɛ n t ʃ ə n ⋉	⋊ m ɛ n t ʃ ə n d ⋉
161	s t ɹ aɪ k	s t ɹ ʌ k	strike		⋊ s t ɹ a ɪ k ⋉	⋊ s t ɹ ʌ k ⋉
162	ə s u m	ə s u m d	assume	assumed	⋊ ə s u m ⋉	⋊ ə s u m d ⋉
163	t ʌ tʃ	t ʌ tʃ t	touch	touched	⋊ t ʌ t ʃ ⋉	⋊ t ʌ t ʃ t ⋉
164	ɪ n k ɚ ɪ dʒ	ɪ n k ɚ ɪ dʒ d	encourage	encouraged	⋊ ɪ n k ɛ ɹ ɪ d ʒ ⋉	⋊ ɪ n k ɛ ɹ ɪ d ʒ d ⋉
165	b eɪ ɹ	b oʊ ɹ	bear	bore	⋊ b e ɹ ⋉	⋊ b o ɹ ⋉
166	d i l	d ɛ l t	deal	dealt	⋊ d i l ⋉	⋊ d ɛ l t ⋉
167	ɹ ɪ g a ɹ d	ɹ ɪ g a ɹ d ə d	regard	regarded	⋊ ɹ ɪ g a ɹ d ⋉	⋊ ɹ ɪ g a ɹ d ɪ d ⋉
168	d ɪ s t ɹ ɔɪ	d ɪ s t ɹ ɔɪ d	destroy	destroyed	⋊ d ɪ s t ɹ ɔ ɪ ⋉	⋊ d ɪ s t ɹ ɔ ɪ d ⋉
169	h aɪ d	h ɪ d	hide	hid	⋊ h a ɪ d ⋉	⋊ h ɪ d ⋉
170	p l eɪ s	p l eɪ s t	place	placed	⋊ p l e s ⋉	⋊ p l e s t ⋉
171	k l eɪ m	k l eɪ m d	claim	claimed	⋊ k l e m ⋉	⋊ k l e m d ⋉
172	h ɪ t	h ɪ t	hit		⋊ h ɪ t ⋉	⋊ h ɪ t ⋉
173	p ɹ ɪ z ɛ n t	p ɹ ɪ z ɛ n t ə d	present	presented	⋊ p ɹ ɪ z ɛ n t ⋉	⋊ p ɹ ɪ z ɛ n t ɪ d ⋉
174	t ɹ i t	t ɹ i t ə d	treat	treated	⋊ t ɹ i t ⋉	⋊ t ɹ i t ɪ d ⋉
175	ə d m ɪ t	ə d m ɪ t ə d	admit	admitted	⋊ ə d m ɪ t ⋉	⋊ ə d m ɪ t ɪ d ⋉
176	w ɚ i	w ɚ i d	worry	worried	⋊ w ɛ ɹ i ⋉	⋊ w ɛ ɹ i d ⋉
177	f l aɪ	f l u	fly	flew	⋊ f l a ɪ ⋉	⋊ f l u ⋉
178	m eɪ n t eɪ n	m eɪ n t eɪ n d	maintain	maintained	⋊ m e n t e n ⋉	⋊ m e n t e n d ⋉
179	t ɹ æ v ə l	t ɹ æ v ə l d	travel	travelled	⋊ t ɹ ɑ v ə l ⋉	⋊ t ɹ ɑ v ə l d ⋉
180	s t ɪ k	s t ʌ k	stick	stuck	⋊ s t ɪ k ⋉	⋊ s t ʌ k ⋉
181	w ɔ ʃ	w ɔ ʃ t	wash	washed	⋊ w ɔ ʃ ⋉	⋊ w ɔ ʃ t ⋉
182	h eɪ t	h eɪ t ə d	hate	hated	⋊ h e t ⋉	⋊ h e t ɪ d ⋉
183	k l aɪ m	k l aɪ m d	climb	climbed	⋊ k l a ɪ m ⋉	⋊ k l a ɪ m d ⋉
184	ɪ n t ɹ ə d u s	ɪ n t ɹ ə d u s t	introduce	introduced	⋊ ɪ n t ɹ ə d u s ⋉	⋊ ɪ n t ɹ ə d u s t ⋉
185	ɹ ɪ ŋ	ɹ æ ŋ	ring	rang	⋊ ɹ ɪ ŋ ⋉	⋊ ɹ ɑ ŋ ⋉
186	m æ t ɚ	m æ t ɚ d	matter	mattered	⋊ m ɑ t ɛ ɹ ⋉	⋊ m ɑ t ɛ ɹ d ⋉
187	s ɚ v aɪ v	s ɚ v aɪ v d	survive	survived	⋊ s ɛ ɹ v a ɪ v ⋉	⋊ s ɛ ɹ v a ɪ v d ⋉
188	oʊ n	oʊ n d	own	owned	⋊ o n ⋉	⋊ o n d ⋉
189	s p ɹ ɛ d	s p ɹ ɛ d	spread		⋊ s p ɹ ɛ d ⋉	⋊ s p ɹ ɛ d ⋉
190	l ɪ f t	l ɪ f t ə d	lift	lifted	⋊ l ɪ f t ⋉	⋊ l ɪ f t ɪ d ⋉
191	b ɚ n	b ɚ n d	burn	burned	⋊ b ɛ ɹ n ⋉	⋊ b ɛ ɹ n d ⋉
192	g eɪ n	g eɪ n d	gain	gained	⋊ g e n ⋉	⋊ g e n d ⋉
193	p ɹ ɛ s	p ɹ ɛ s t	press	pressed	⋊ p ɹ ɛ s ⋉	⋊ p ɹ ɛ s t ⋉
194	k ə n t ɹ oʊ l	k ə n t ɹ oʊ l d	control	controlled	⋊ k ə n t ɹ o l ⋉	⋊ k ə n t ɹ o l d ⋉
195	p ʌ b l ɪ ʃ	p ʌ b l ɪ ʃ t	publish	published	⋊ p ʌ b l ɪ ʃ ⋉	⋊ p ʌ b l ɪ ʃ t ⋉
196	b i t	b i t	beat		⋊ b i t ⋉	⋊ b i t ⋉
197	oʊ ɹ d ɚ	oʊ ɹ d ɚ d	order	ordered	⋊ o ɹ d ɛ ɹ ⋉	⋊ o ɹ d ɛ ɹ d ⋉
198	p ɹ ə t ɛ k t	p ɹ ə t ɛ k t ə d	protect	protected	⋊ p ɹ ə t ɛ k t ⋉	⋊ p ɹ ə t ɛ k t ɪ d ⋉
199	m ɪ s	m ɪ s t	miss	missed	⋊ m ɪ s ⋉	⋊ m ɪ s t ⋉
200	b l oʊ	b l u	blow	blew	⋊ b l o ⋉	⋊ b l u ⋉
201	ʃ aʊ t	ʃ aʊ t ə d	shout	shouted	⋊ ʃ a ʊ t ⋉	⋊ ʃ a ʊ t ɪ d ⋉
202	tʃ ɛ k	tʃ ɛ k t	check	checked	⋊ t ʃ ɛ k ⋉	⋊ t ʃ ɛ k t ⋉
203	p ɹ ɪ f ɚ	p ɹ ɪ f ɚ d	prefer	preferred	⋊ p ɹ ɪ f ɛ ɹ ⋉	⋊ p ɹ ɪ f ɛ ɹ d ⋉
204	d ɹ ɛ s	d ɹ ɛ s t	dress	dressed	⋊ d ɹ ɛ s ⋉	⋊ d ɹ ɛ s t ⋉
205	ɪ m ɚ dʒ	ɪ m ɚ dʒ d	emerge	emerged	⋊ ɪ m ɛ ɹ d ʒ ⋉	⋊ ɪ m ɛ ɹ d ʒ d ⋉
206	d ɪ m æ n d	d ɪ m æ n d ə d	demand	demanded	⋊ d ɪ m ɑ n d ⋉	⋊ d ɪ m ɑ n d ɪ d ⋉
207	s ɛ t ə l	s ɛ t ə l d	settle	settled	⋊ s ɛ t ə l ⋉	⋊ s ɛ t ə l d ⋉
208	ə p ɹ oʊ tʃ	ə p ɹ oʊ tʃ t	approach	approached	⋊ ə p ɹ o t ʃ ⋉	⋊ ə p ɹ o t ʃ t ⋉
209	p oʊ ɹ	p oʊ ɹ d	pour	poured	⋊ p o ɹ ⋉	⋊ p o ɹ d ⋉
210	n a d	n a d ə d	nod	nodded	⋊ n a d ⋉	⋊ n a d ɪ d ⋉
211	ɹ ɪ v i l	ɹ ɪ v i l d	reveal	revealed	⋊ ɹ ɪ v i l ⋉	⋊ ɹ ɪ v i l d ⋉
212	f i ɹ	f i ɹ d	fear	feared	⋊ f i ɹ ⋉	⋊ f i ɹ d ⋉
213	s ɪ ŋ	s æ ŋ	sing	sang	⋊ s ɪ ŋ ⋉	⋊ s ɑ ŋ ⋉
214	ɹ ɪ f l ɛ k t	ɹ ɪ f l ɛ k t ə d	reflect	reflected	⋊ ɹ ɪ f l ɛ k t ⋉	⋊ ɹ ɪ f l ɛ k t ɪ d ⋉
215	ɪ n s ɪ s t	ɪ n s ɪ s t ə d	insist	insisted	⋊ ɪ n s ɪ s t ⋉	⋊ ɪ n s ɪ s t ɪ d ⋉
216	ɪ g z æ m ɪ n	ɪ g z æ m ɪ n d	examine	examined	⋊ ɪ g z ɑ m ɪ n ⋉	⋊ ɪ g z ɑ m ɪ n d ⋉
217	g ɛ s	g ɛ s t	guess	guessed	⋊ g ɛ s ⋉	⋊ g ɛ s t ⋉
218	g æ ð ɚ	g æ ð ɚ d	gather	gathered	⋊ g ɑ ð ɛ ɹ ⋉	⋊ g ɑ ð ɛ ɹ d ⋉
219	p ɹ a m ɪ s	p ɹ a m ɪ s t	promise	promised	⋊ p ɹ a m ɪ s ⋉	⋊ p ɹ a m ɪ s t ⋉
