rule_idx	rule	rule_regex	rule_len	hits	scope	confidence
14143	∅ -> d / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +distributed, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ʒ|ð) __ (⋉)	225	78.0	78.0	0.9925387997564398
2375	∅ -> t / X [+sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -anterior, +distributed, +strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|l|w|j) (ʃ) __ (⋉)	337	71.0	71.0	0.9918126054366276
2624	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ|ɨ) (k) __ (⋉)	382	67.0	67.0	0.9913304298189468
18081	∅ -> d / X [+C/V, -syllabic, +continuant, -nasal, -round, -lateral, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] __ [-begin/end]	∅ -> d / (ʒ|z|v|ʃ|s|f|θ|ð|ɹ|h) (a) (ɪ) __ (⋉)	490	61.0	61.0	0.9904903572092018
2945	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ|ɨ) (p) __ (⋉)	369	60.0	60.0	0.9903342565284032
12600	∅ -> d / X [+C/V, -syllabic, -sonorant, -approximant, -nasal, -voice, -round, -lateral, -rhotic] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, +low, -front, -back] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, -tense] __ [-begin/end]	∅ -> d / (k|t|ʃ|s|p|f|θ|h) (a) (ɪ) __ (⋉)	510	59.0	59.0	0.9901729453514886
566	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (p) __ (⋉)	368	57.0	57.0	0.9898336119025448
149	∅ -> t / X [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -round, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ʃ|s|f|θ) __ (⋉)	178	353.0	356.0	0.9895394073331264
10348	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ʌ|ɔ|ə|ɛ|ʊ|ɪ) (z) __ (⋉)	411	149.0	150.0	0.989046963772558
10080	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (n) __ (⋉)	386	147.0	148.0	0.9888999425410164
12461	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -front] [+C/V, -syllabic, +consonantal, +sonorant, -continuant, -approximant, +nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ|ɨ) (n) __ (⋉)	387	133.0	134.0	0.9877488200603196
8965	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ʌ|ə|ɛ|ɪ) (l) __ (⋉)	410	289.0	292.0	0.9872549942715148
5187	∅ -> ɨ d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (n|l|ɹ) (t) __ (⋉)	359	127.0	128.0	0.987178994844546
1377	∅ -> t / X [+sonorant, +voice, -spread.gl, +LABIAL, -labiodental, -CORONAL, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ɔ|o|u|ʊ|m|w) (p) __ (⋉)	295	45.0	45.0	0.9871768375651708
17608	∅ -> d / X [+C/V, -syllabic, +continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +distributed, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ʒ|ð|ɹ) __ (⋉)	159	438.0	443.0	0.9869518696525408
13007	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ) (l) __ (⋉)	403	274.0	277.0	0.9865674712156466
834	∅ -> t / X [+C/V, -syllabic, -spread.gl, -round, -labiodental, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (n|m|l|ʒ|z|t|ʃ|s|p|d|b|θ|ð|ɹ) (p) __ (⋉)	272	42.0	42.0	0.9862804951352464
3984	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, +front, -back, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (e|i) (t) __ (⋉)	445	267.0	270.0	0.98622058688602
11556	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, -tense] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ʊ|ɪ) (l) __ (⋉)	400	41.0	41.0	0.985953201381148
6256	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -front] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ɑ|a|ʌ|ɔ|o|ə|u|ʊ|ɨ) (d) __ (⋉)	407	41.0	41.0	0.985953201381148
12656	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ʌ|ɔ|ə|ɛ|ʊ|ɪ) (l) __ (⋉)	393	311.0	315.0	0.9849199450052188
13914	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, +lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (l) __ (⋉)	386	305.0	309.0	0.984628152852414
12970	∅ -> d / X [+sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental, -lateral, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|ŋ|n|j) (z) __ (⋉)	329	171.0	173.0	0.9844935799023236
6719	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (o|e|u|ɨ|i) (t) __ (⋉)	413	302.0	306.0	0.9844779808829384
11153	∅ -> d / X [+C/V, -syllabic, +continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (ʒ|z|ð|ɹ) __ (⋉)	145	626.0	635.0	0.9844577556330452
16910	∅ -> d / X [+C/V, -syllabic, +voice, -spread.gl, -round, -lateral, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, +tense] __ [-begin/end]	∅ -> d / (n|m|ʒ|z|v|d|b|ð|ɹ) (i) __ (⋉)	294	35.0	35.0	0.9836066845888513
15453	∅ -> d / X [-consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -lateral] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ|u|ʊ|ɨ|i|ɪ|w|j|ɹ) (b) __ (⋉)	316	35.0	35.0	0.9836066845888513
16102	∅ -> d / X [+C/V, -syllabic, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -lateral, -DORSAL] [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low, +front, -back, +tense] __ [-begin/end]	∅ -> d / (n|t|d|θ|ð|ɹ) (i) __ (⋉)	330	34.0	34.0	0.9831371874608724
12300	∅ -> d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ɔ|o|ə|e|ɛ) (g) __ (⋉)	381	34.0	34.0	0.9831371874608724
12163	∅ -> d / X [+C/V, -syllabic, +continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -DORSAL] __ [-begin/end]	∅ -> d / (l|ʒ|z|ð|ɹ) __ (⋉)	135	999.0	1016.0	0.9822797211727248
10206	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (n|ɹ) __ (⋉)	146	589.0	599.0	0.9818264683119492
1477	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, +LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> t / (ʌ|ə|ɛ|ɪ) (p) __ (⋉)	392	31.0	31.0	0.9815521515551252
9834	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -strident, -DORSAL] __ [-begin/end]	∅ -> d / (n|l|ɹ) __ (⋉)	136	962.0	980.0	0.9805955338322564
6210	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -low, -back] [+C/V, -syllabic, +consonantal, -sonorant, +continuant, +delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, +strident, -lateral, -rhotic, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ə|e|ɛ|ɨ|i|ɪ) (s) (t) __ (⋉)	650	29.0	29.0	0.9803188254645931
16833	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -round, -labiodental, -lateral, -DORSAL] __ [-begin/end]	∅ -> d / (n|m|ɹ) __ (⋉)	116	683.0	696.0	0.979974588802609
7560	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -back] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (a|ə|e|ɛ) (t) __ (⋉)	430	283.0	288.0	0.9799562304693278
7549	∅ -> ɨ d / X [+C/V, -syllabic, +consonantal, -spread.gl, -round, -rhotic] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð) (t) __ (⋉)	310	229.0	233.0	0.9796374015911664
12471	∅ -> d / X [+C/V, -syllabic, +sonorant, +voice, -spread.gl, -round, -labiodental, -DORSAL] __ [-begin/end]	∅ -> d / (n|m|l|ɹ) __ (⋉)	106	1056.0	1077.0	0.9795201930251276
7390	∅ -> ɨ d / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, +tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (o|e) (d) __ (⋉)	420	27.0	27.0	0.9789087453215534
17566	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental, -lateral] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|ʒ|z|ð|j|ɹ) __ (⋉)	109	785.0	801.0	0.9787959645165704
10385	∅ -> d / X [+continuant, -nasal, +voice, -spread.gl, -LABIAL, -round, -labiodental] __ [-begin/end]	∅ -> d / (ɑ|a|ʌ|ə|e|ɛ|ɨ|i|ɪ|l|ʒ|z|ð|j|ɹ) __ (⋉)	99	1158.0	1182.0	0.9787693066508388
6079	∅ -> ɨ d / X [+C/V, -syllabic, -spread.gl, -round] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, +anterior, -distributed, -strident, -lateral, -rhotic, -DORSAL] __ [-begin/end]	∅ -> ɨ d / (ŋ|n|m|l|k|g|ʒ|z|v|t|ʃ|s|p|f|d|b|θ|ð|j|ɹ) (t) __ (⋉)	287	264.0	269.0	0.9785462827899708
17984	∅ -> d / X [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, +voice, -spread.gl, -round, -labiodental, -CORONAL, -lateral, -rhotic] __ [-begin/end]	∅ -> d / (g|b) __ (⋉)	193	74.0	75.0	0.978237940177724
11415	∅ -> d / X [+C/V, -syllabic, +continuant, -nasal, +voice, -spread.gl, -round, -DORSAL] __ [-begin/end]	∅ -> d / (l|ʒ|z|v|ð|ɹ) __ (⋉)	102	1053.0	1076.0	0.97762032899508
331	∅ -> t / X [+C/V, -syllabic, +continuant, -nasal, -spread.gl, -LABIAL, -round, -labiodental, +CORONAL, -DORSAL] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (l|ʒ|z|ʃ|s|θ|ð|ɹ) (k) __ (⋉)	325	24.0	24.0	0.9763690594737284
3613	∅ -> t / X [-C/V, +syllabic, -consonantal, +sonorant, +continuant, +approximant, -nasal, +voice, -spread.gl, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, -high, -low, -tense] [+C/V, -syllabic, +consonantal, -sonorant, -continuant, -delayed.release, -approximant, -nasal, -voice, -spread.gl, -LABIAL, -round, -labiodental, -CORONAL, -lateral, -rhotic, +DORSAL, +high, -low] __ [-begin/end]	∅ -> t / (ʌ|ɔ|ə|ɛ) (k) __ (⋉)	395	24.0	24.0	0.9763690594737284
