index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
685	ɛ n t l au̯ b ə n	ɛ n t l au̯ p t	entlauben	entlaubt	⋊ ɛ n t l a u b ə n ⋉	⋊ ɛ n t l a u p t ⋉
754	f ɛ r a l t ə n	f ɛ r a l t ə t	veralten	veraltet	⋊ f ɛ r a l t ə n ⋉	⋊ f ɛ r a l t ə t ⋉
778	f ɛ r k ɔ n z uː m iː r ə n	f ɛ r k ɔ n z uː m iː r t	verkonsumieren	verkonsumiert	⋊ f ɛ r k ɔ n z uː m iː r ə n ⋉	⋊ f ɛ r k ɔ n z uː m iː r t ⋉
788	a p z uː x ə n	a p g ə z uː x t	absuchen	abgesucht	⋊ a p z uː x ə n ⋉	⋊ a p g ə z uː x t ⋉
804	a n t a l j iː r ə n	a n t a l j iː r t	antaillieren	antailliert	⋊ a n t a l j iː r ə n ⋉	⋊ a n t a l j iː r t ⋉
807	ɛ r k l ɪ ŋ ə n	ɛ r k l ʊ ŋ ə n	erklingen	erklungen	⋊ ɛ r k l ɪ ŋ ə n ⋉	⋊ ɛ r k l ʊ ŋ ə n ⋉
814	p r oː b iː r ə n	p r oː b iː r t	probieren	probiert	⋊ p r oː b iː r ə n ⋉	⋊ p r oː b iː r t ⋉
817	au̯ s h ɛ r t ə n	au̯ s g ə h ɛ r t ə t	aushärten	ausgehärtet	⋊ a u s h ɛ r t ə n ⋉	⋊ a u s g ə h ɛ r t ə t ⋉
820	m ɛ ts ə l n	g ə m ɛ ts ə l t	metzeln	gemetzelt	⋊ m ɛ ts ə l n ⋉	⋊ g ə m ɛ ts ə l t ⋉
824	t r eː m uː l iː r ə n	t r eː m uː l iː r t	tremulieren	tremuliert	⋊ t r eː m uː l iː r ə n ⋉	⋊ t r eː m uː l iː r t ⋉
834	f ɛ s t h ɛ f t ə n	f ɛ s t g ə h ɛ f t ə t	festheften	festgeheftet	⋊ f ɛ s t h ɛ f t ə n ⋉	⋊ f ɛ s t g ə h ɛ f t ə t ⋉
849	ts ɛ r m a l m ə n	ts ɛ r m a l m t	zermalmen	zermalmt	⋊ ts ɛ r m a l m ə n ⋉	⋊ ts ɛ r m a l m t ⋉
892	ʊ ŋ k ə n	g ə ʊ ŋ k t	unken	geunkt	⋊ ʊ ŋ k ə n ⋉	⋊ g ə ʊ ŋ k t ⋉
904	a p l ai̯ ə r n	a p g ə l ai̯ ə r t	ableiern	abgeleiert	⋊ a p l a i ə r n ⋉	⋊ a p g ə l a i ə r t ⋉
913	k l a k ə n	g ə k l a k t	klacken	geklackt	⋊ k l a k ə n ⋉	⋊ g ə k l a k t ⋉
1045	au̯ f ʃ oi̯ x ə n	au̯ f g ə ʃ oi̯ x t	aufscheuchen	aufgescheucht	⋊ a u f ʃ o i x ə n ⋉	⋊ a u f g ə ʃ o i x t ⋉
1067	k a t eː g oː r iː z iː r ə n	k a t eː g oː r iː z iː r t	kategorisieren	kategorisiert	⋊ k a t eː g oː r iː z iː r ə n ⋉	⋊ k a t eː g oː r iː z iː r t ⋉
1071	h iː n ai̯ n r ɛ n ə n	h iː n ai̯ n g ə r a n t	hineinrennen	hineingerannt	⋊ h iː n a i n r ɛ n ə n ⋉	⋊ h iː n a i n g ə r a n t ⋉
1131	l a k iː r ə n	l a k iː r t	lackieren	lackiert	⋊ l a k iː r ə n ⋉	⋊ l a k iː r t ⋉
1154	f ɛ r ʃ l iː s ə n	f ɛ r ʃ l ɔ s ə n	verschliessen	verschlossen	⋊ f ɛ r ʃ l iː s ə n ⋉	⋊ f ɛ r ʃ l ɔ s ə n ⋉
1159	b ə h au̯ ə n	b ə h au̯ n	behauen	behaun	⋊ b ə h a u ə n ⋉	⋊ b ə h a u n ⋉
1160	yː b ə r ai̯ l ə n	yː b ə r ai̯ l t	übereilen	übereilt	⋊ yː b ə r a i l ə n ⋉	⋊ yː b ə r a i l t ⋉
1219	au̯ s k r aː g ə n	au̯ s g ə k r aː k t	auskragen	ausgekragt	⋊ a u s k r aː g ə n ⋉	⋊ a u s g ə k r aː k t ⋉
1229	f ɛ r ʃ t r oi̯ ə n	f ɛ r ʃ t r oi̯ t	verstreuen	verstreut	⋊ f ɛ r ʃ t r o i ə n ⋉	⋊ f ɛ r ʃ t r o i t ⋉
1269	a n k r ai̯ d ə n	a n g ə k r ai̯ d ə t	ankreiden	angekreidet	⋊ a n k r a i d ə n ⋉	⋊ a n g ə k r a i d ə t ⋉
1297	h oː x h a l t ə n	h oː x g ə h a l t ə n	hochhalten	hochgehalten	⋊ h oː x h a l t ə n ⋉	⋊ h oː x g ə h a l t ə n ⋉
1330	f r ai̯ m a x ə n	f r ai̯ g ə m a x t	freimachen	freigemacht	⋊ f r a i m a x ə n ⋉	⋊ f r a i g ə m a x t ⋉
1384	yː b ə r g eː ə n	yː b ə r g a ŋ ə n	übergehen	übergangen	⋊ yː b ə r g eː ə n ⋉	⋊ yː b ə r g a ŋ ə n ⋉
1398	ts uː r ʏ k l eː n ə n	ts uː r ʏ k g ə l eː n t	zurücklehnen	zurückgelehnt	⋊ ts uː r ʏ k l eː n ə n ⋉	⋊ ts uː r ʏ k g ə l eː n t ⋉
1422	au̯ f b a k ə n	au̯ f g ə b a k ə n	aufbacken	aufgebacken	⋊ a u f b a k ə n ⋉	⋊ a u f g ə b a k ə n ⋉
1453	b l yː ə n	g ə b l yː t	blühen	geblüht	⋊ b l yː ə n ⋉	⋊ g ə b l yː t ⋉
1482	ai̯ n ʃ p a n ə n	ai̯ n g ə ʃ p a n t	einspannen	eingespannt	⋊ a i n ʃ p a n ə n ⋉	⋊ a i n g ə ʃ p a n t ⋉
1494	a n ʃ r ai̯ ə n	a n g ə ʃ r iː n	anschreien	angeschrien	⋊ a n ʃ r a i ə n ⋉	⋊ a n g ə ʃ r iː n ⋉
1498	au̯ s v ɛː g ə n	au̯ s g ə v ɛː k t	auswägen	ausgewägt	⋊ a u s v ɛː g ə n ⋉	⋊ a u s g ə v ɛː k t ⋉
1534	r ʊ n t ə r ʃ l ʊ k ə n	r ʊ n t ə r g ə ʃ l ʊ k t	runterschlucken	runtergeschluckt	⋊ r ʊ n t ə r ʃ l ʊ k ə n ⋉	⋊ r ʊ n t ə r g ə ʃ l ʊ k t ⋉
1547	l eː g iː r ə n	l eː g iː r t	legieren	legiert	⋊ l eː g iː r ə n ⋉	⋊ l eː g iː r t ⋉
1550	z ɪ g n iː r ə n	z ɪ g n iː r t	signieren	signiert	⋊ z ɪ g n iː r ə n ⋉	⋊ z ɪ g n iː r t ⋉
1575	p a r d oː n iː r ə n	p a r d oː n iː r t	pardonieren	pardoniert	⋊ p a r d oː n iː r ə n ⋉	⋊ p a r d oː n iː r t ⋉
1597	h ɛ r ʊ n t ə r ʃ p iː l ə n	h ɛ r ʊ n t ə r g ə ʃ p iː l t	herunterspielen	heruntergespielt	⋊ h ɛ r ʊ n t ə r ʃ p iː l ə n ⋉	⋊ h ɛ r ʊ n t ə r g ə ʃ p iː l t ⋉
1598	f ɛ s ə l n	g ə f ɛ s ə l t	fesseln	gefesselt	⋊ f ɛ s ə l n ⋉	⋊ g ə f ɛ s ə l t ⋉
1611	f ɛ r v ai̯ z ə n	f ɛ r v iː z ə n	verweisen	verwiesen	⋊ f ɛ r v a i z ə n ⋉	⋊ f ɛ r v iː z ə n ⋉
1622	m ɪ s g l ʏ k ə n	m ɪ s g l ʏ k t	missglücken	missglückt	⋊ m ɪ s g l ʏ k ə n ⋉	⋊ m ɪ s g l ʏ k t ⋉
1641	b ʏ ʃ ə l n	g ə b ʏ ʃ ə l t	büscheln	gebüschelt	⋊ b ʏ ʃ ə l n ⋉	⋊ g ə b ʏ ʃ ə l t ⋉
1672	f ɛ r v ɪ k ə l n	f ɛ r v ɪ k ə l t	verwickeln	verwickelt	⋊ f ɛ r v ɪ k ə l n ⋉	⋊ f ɛ r v ɪ k ə l t ⋉
1707	d aː h ɪ n ʃ t eː ə n	d aː h ɪ n g ə ʃ t a n d ə n	dahinstehen	dahingestanden	⋊ d aː h ɪ n ʃ t eː ə n ⋉	⋊ d aː h ɪ n g ə ʃ t a n d ə n ⋉
1726	f ɪ ʃ ə n	g ə f ɪ ʃ t	fischen	gefischt	⋊ f ɪ ʃ ə n ⋉	⋊ g ə f ɪ ʃ t ⋉
1769	l iː f ə r n	g ə l iː f ə r t	liefern	geliefert	⋊ l iː f ə r n ⋉	⋊ g ə l iː f ə r t ⋉
1853	h ɛ r a n t a s t ə n	h ɛ r a n g ə t a s t ə t	herantasten	herangetastet	⋊ h ɛ r a n t a s t ə n ⋉	⋊ h ɛ r a n g ə t a s t ə t ⋉
1886	ɪ n t ə r n a l iː z iː r ə n	ɪ n t ə r n a l iː z iː r t	internalisieren	internalisiert	⋊ ɪ n t ə r n a l iː z iː r ə n ⋉	⋊ ɪ n t ə r n a l iː z iː r t ⋉
1909	r a ŋ ʒ iː r ə n	r a ŋ ʒ iː r t	rangieren	rangiert	⋊ r a ŋ ʒ iː r ə n ⋉	⋊ r a ŋ ʒ iː r t ⋉
1923	f ɛ r v ɪ ʃ ə n	f ɛ r v ɪ ʃ t	verwischen	verwischt	⋊ f ɛ r v ɪ ʃ ə n ⋉	⋊ f ɛ r v ɪ ʃ t ⋉
1944	a p aː r t ə n	a p g ə aː r t ə t	abarten	abgeartet	⋊ a p aː r t ə n ⋉	⋊ a p g ə aː r t ə t ⋉
1982	v ai̯ t ə r ʃ p iː l ə n	v ai̯ t ə r g ə ʃ p iː l t	weiterspielen	weitergespielt	⋊ v a i t ə r ʃ p iː l ə n ⋉	⋊ v a i t ə r g ə ʃ p iː l t ⋉
1984	z iː d ə l n	g ə z iː d ə l t	siedeln	gesiedelt	⋊ z iː d ə l n ⋉	⋊ g ə z iː d ə l t ⋉
2064	au̯ f h ɛ ts ə n	au̯ f g ə h ɛ ts t	aufhetzen	aufgehetzt	⋊ a u f h ɛ ts ə n ⋉	⋊ a u f g ə h ɛ ts t ⋉
2077	ɛ r t r ɔ ts ə n	ɛ r t r ɔ ts t	ertrotzen	ertrotzt	⋊ ɛ r t r ɔ ts ə n ⋉	⋊ ɛ r t r ɔ ts t ⋉
2096	ʊ n t ə r ʃ ɛ ts ə n	ʊ n t ə r ʃ ɛ ts t	unterschätzen	unterschätzt	⋊ ʊ n t ə r ʃ ɛ ts ə n ⋉	⋊ ʊ n t ə r ʃ ɛ ts t ⋉
2115	ts uː v a k s ə n	ts uː g ə v a k s ə n	zuwachsen	zugewachsen	⋊ ts uː v a k s ə n ⋉	⋊ ts uː g ə v a k s ə n ⋉
2117	ʊ n t ə r ʃ t eː ə n	ʊ n t ə r ʃ t a n d ə n	unterstehen	unterstanden	⋊ ʊ n t ə r ʃ t eː ə n ⋉	⋊ ʊ n t ə r ʃ t a n d ə n ⋉
2192	ts uː ts iː ə n	ts uː g ə ts oː g ə n	zuziehen	zugezogen	⋊ ts uː ts iː ə n ⋉	⋊ ts uː g ə ts oː g ə n ⋉
2244	au̯ s ʃ aː l ə n	au̯ s g ə ʃ aː l t	ausschalen	ausgeschalt	⋊ a u s ʃ aː l ə n ⋉	⋊ a u s g ə ʃ aː l t ⋉
2246	r eː ts iː p iː r ə n	r eː ts iː p iː r t	rezipieren	rezipiert	⋊ r eː ts iː p iː r ə n ⋉	⋊ r eː ts iː p iː r t ⋉
2272	h ɛ r f oː r g eː ə n	h ɛ r f oː r g ə g a ŋ ə n	hervorgehen	hervorgegangen	⋊ h ɛ r f oː r g eː ə n ⋉	⋊ h ɛ r f oː r g ə g a ŋ ə n ⋉
2283	b ə ʃ t r ɪ k ə n	b ə ʃ t r ɪ k t	bestricken	bestrickt	⋊ b ə ʃ t r ɪ k ə n ⋉	⋊ b ə ʃ t r ɪ k t ⋉
2285	f ɛ r ʃ ai̯ d ə n	f ɛ r ʃ iː d ə n	verscheiden	verschieden	⋊ f ɛ r ʃ a i d ə n ⋉	⋊ f ɛ r ʃ iː d ə n ⋉
2290	g ɛː n ə n	g ə g ɛː n t	gaehnen	gegaehnt	⋊ g ɛː n ə n ⋉	⋊ g ə g ɛː n t ⋉
2302	ɛ r v a x ə n	ɛ r v a x t	erwachen	erwacht	⋊ ɛ r v a x ə n ⋉	⋊ ɛ r v a x t ⋉
2316	ɛ n t ʃ ɛː d ɪ g ə n	ɛ n t ʃ ɛː d ɪ ç t	entschädigen	entschädigt	⋊ ɛ n t ʃ ɛː d ɪ g ə n ⋉	⋊ ɛ n t ʃ ɛː d ɪ ç t ⋉
2325	k n a p s ə n	g ə k n a p s t	knapsen	geknapst	⋊ k n a p s ə n ⋉	⋊ g ə k n a p s t ⋉
2369	f ɛ r ʃ r ai̯ ə n	f ɛ r ʃ r iː n	verschreien	verschrien	⋊ f ɛ r ʃ r a i ə n ⋉	⋊ f ɛ r ʃ r iː n ⋉
2392	au̯ s b a l a n s iː r ə n	au̯ s b a l a n s iː r t	ausbalancieren	ausbalanciert	⋊ a u s b a l a n s iː r ə n ⋉	⋊ a u s b a l a n s iː r t ⋉
2434	ai̯ n h ai̯ ts ə n	ai̯ n g ə h ai̯ ts t	einheizen	eingeheizt	⋊ a i n h a i ts ə n ⋉	⋊ a i n g ə h a i ts t ⋉
2455	d ʊ r ç m ʏ s ə n	d ʊ r ç g ə m ʊ s t	durchmüssen	durchgemusst	⋊ d ʊ r ç m ʏ s ə n ⋉	⋊ d ʊ r ç g ə m ʊ s t ⋉
2468	au̯ f b r au̯ x ə n	au̯ f g ə b r au̯ x t	aufbrauchen	aufgebraucht	⋊ a u f b r a u x ə n ⋉	⋊ a u f g ə b r a u x t ⋉
2480	b ə b r yː t ə n	b ə b r yː t ə t	bebrüten	bebrütet	⋊ b ə b r yː t ə n ⋉	⋊ b ə b r yː t ə t ⋉
2498	yː b ə r r ʊ n d ə n	yː b ə r r ʊ n d ə t	überrunden	überrundet	⋊ yː b ə r r ʊ n d ə n ⋉	⋊ yː b ə r r ʊ n d ə t ⋉
2515	a n r ai̯ z ə n	a n g ə r ai̯ s t	anreisen	angereist	⋊ a n r a i z ə n ⋉	⋊ a n g ə r a i s t ⋉
2528	ʃ t ɛ m p ə l n	g ə ʃ t ɛ m p ə l t	stempeln	gestempelt	⋊ ʃ t ɛ m p ə l n ⋉	⋊ g ə ʃ t ɛ m p ə l t ⋉
2556	f ɛ r ʃ øː n ə n	f ɛ r ʃ øː n t	verschönen	verschönt	⋊ f ɛ r ʃ øː n ə n ⋉	⋊ f ɛ r ʃ øː n t ⋉
2560	f ɔ l g ə n	g ə f ɔ l k t	folgen	gefolgt	⋊ f ɔ l g ə n ⋉	⋊ g ə f ɔ l k t ⋉
2565	a s iː m iː l iː r ə n	a s iː m iː l iː r t	assimilieren	assimiliert	⋊ a s iː m iː l iː r ə n ⋉	⋊ a s iː m iː l iː r t ⋉
2566	d oi̯ t ə n	g ə d oi̯ t ə t	deuten	gedeutet	⋊ d o i t ə n ⋉	⋊ g ə d o i t ə t ⋉
2618	f ai̯ k s ə n	g ə f ai̯ k s t	feixen	gefeixt	⋊ f a i k s ə n ⋉	⋊ g ə f a i k s t ⋉
2631	g ə r aː d ə ʃ t eː ə n	g ə r aː d ə g ə ʃ t a n d ə n	geradestehen	geradegestanden	⋊ g ə r aː d ə ʃ t eː ə n ⋉	⋊ g ə r aː d ə g ə ʃ t a n d ə n ⋉
2643	v ɪ r tʃ a f t ə n	g ə v ɪ r tʃ a f t ə t	wirtschaften	gewirtschaftet	⋊ v ɪ r tʃ a f t ə n ⋉	⋊ g ə v ɪ r tʃ a f t ə t ⋉
2702	n aː x k au̯ f ə n	n aː x g ə k au̯ f t	nachkaufen	nachgekauft	⋊ n aː x k a u f ə n ⋉	⋊ n aː x g ə k a u f t ⋉
2711	au̯ s r a s t ə n	au̯ s g ə r a s t ə t	ausrasten	ausgerastet	⋊ a u s r a s t ə n ⋉	⋊ a u s g ə r a s t ə t ⋉
2719	a p l ɔ x ə n	a p g ə l ɔ x t	ablochen	abgelocht	⋊ a p l ɔ x ə n ⋉	⋊ a p g ə l ɔ x t ⋉
2767	k ɔ n d iː ts iː oː n iː r ə n	k ɔ n d iː ts iː oː n iː r t	konditionieren	konditioniert	⋊ k ɔ n d iː ts iː oː n iː r ə n ⋉	⋊ k ɔ n d iː ts iː oː n iː r t ⋉
2789	f ɔ l t a ŋ k ə n	f ɔ l g ə t a ŋ k t	volltanken	vollgetankt	⋊ f ɔ l t a ŋ k ə n ⋉	⋊ f ɔ l g ə t a ŋ k t ⋉
2821	d eː l oː ʒ iː r ə n	d eː l oː ʒ iː r t	delogieren	delogiert	⋊ d eː l oː ʒ iː r ə n ⋉	⋊ d eː l oː ʒ iː r t ⋉
2836	f ɛ r h øː n ə n	f ɛ r h øː n t	verhöhnen	verhöhnt	⋊ f ɛ r h øː n ə n ⋉	⋊ f ɛ r h øː n t ⋉
2869	uː r b aː r iː z iː r ə n	uː r b aː r iː z iː r t	urbarisieren	urbarisiert	⋊ uː r b aː r iː z iː r ə n ⋉	⋊ uː r b aː r iː z iː r t ⋉
2875	v ai̯ t ə r f ɛ r v ɛ n d ə n	v ai̯ t ə r f ɛ r v a n t	weiterverwenden	weiterverwandt	⋊ v a i t ə r f ɛ r v ɛ n d ə n ⋉	⋊ v a i t ə r f ɛ r v a n t ⋉
2899	a n h ɛ r ʃ ə n	a n g ə h ɛ r ʃ t	anherrschen	angeherrscht	⋊ a n h ɛ r ʃ ə n ⋉	⋊ a n g ə h ɛ r ʃ t ⋉
2946	au̯ f f a s ə n	au̯ f g ə f a s t	auffassen	aufgefasst	⋊ a u f f a s ə n ⋉	⋊ a u f g ə f a s t ⋉
2956	ɪ m a t r iː k uː l iː r ə n	ɪ m a t r iː k uː l iː r t	immatrikulieren	immatrikuliert	⋊ ɪ m a t r iː k uː l iː r ə n ⋉	⋊ ɪ m a t r iː k uː l iː r t ⋉
2964	a n r uː d ə r n	a n g ə r uː d ə r t	anrudern	angerudert	⋊ a n r uː d ə r n ⋉	⋊ a n g ə r uː d ə r t ⋉
3042	a p r ʏ k ə n	a p g ə r ʏ k t	abrücken	abgerückt	⋊ a p r ʏ k ə n ⋉	⋊ a p g ə r ʏ k t ⋉
3089	p r oː p a g iː r ə n	p r oː p a g iː r t	propagieren	propagiert	⋊ p r oː p a g iː r ə n ⋉	⋊ p r oː p a g iː r t ⋉
3095	f ɛ r l ai̯ ə n	f ɛ r l iː n	verleihen	verliehn	⋊ f ɛ r l a i ə n ⋉	⋊ f ɛ r l iː n ⋉
3147	ʃ œ pf ə n	g ə ʃ œ pf t	schöpfen	geschöpft	⋊ ʃ œ pf ə n ⋉	⋊ g ə ʃ œ pf t ⋉
3174	ai̯ n øː l ə n	ai̯ n g ə øː l t	einölen	eingeölt	⋊ a i n øː l ə n ⋉	⋊ a i n g ə øː l t ⋉
3187	b l ɛ t ə r n	g ə b l ɛ t ə r t	blättern	geblättert	⋊ b l ɛ t ə r n ⋉	⋊ g ə b l ɛ t ə r t ⋉
3209	r a l iː iː r ə n	r a l iː iː r t	ralliieren	ralliiert	⋊ r a l iː iː r ə n ⋉	⋊ r a l iː iː r t ⋉
3213	eː l ɔ k s iː r ə n	eː l ɔ k s iː r t	eloxieren	eloxiert	⋊ eː l ɔ k s iː r ə n ⋉	⋊ eː l ɔ k s iː r t ⋉
3223	ʃ t ai̯ n ɪ g ə n	g ə ʃ t ai̯ n ɪ ç t	steinigen	gesteinigt	⋊ ʃ t a i n ɪ g ə n ⋉	⋊ g ə ʃ t a i n ɪ ç t ⋉
3236	m aː z ə r n	g ə m aː z ə r t	masern	gemasert	⋊ m aː z ə r n ⋉	⋊ g ə m aː z ə r t ⋉
3270	n aː x z ɪ ts ə n	n aː x g ə z ɛ s ə n	nachsitzen	nachgesessen	⋊ n aː x z ɪ ts ə n ⋉	⋊ n aː x g ə z ɛ s ə n ⋉
3273	f ɛ r f ɛ l ʃ ə n	f ɛ r f ɛ l ʃ t	verfälschen	verfälscht	⋊ f ɛ r f ɛ l ʃ ə n ⋉	⋊ f ɛ r f ɛ l ʃ t ⋉
3284	ɔ f ə n l a s ə n	ɔ f ə n g ə l a s ə n	offenlassen	offengelassen	⋊ ɔ f ə n l a s ə n ⋉	⋊ ɔ f ə n g ə l a s ə n ⋉
3325	f oː r f ɪ n d ə n	f oː r g ə f ʊ n d ə n	vorfinden	vorgefunden	⋊ f oː r f ɪ n d ə n ⋉	⋊ f oː r g ə f ʊ n d ə n ⋉
3339	ai̯ n b l aː z ə n	ai̯ n g ə b l aː z ə n	einblasen	eingeblasen	⋊ a i n b l aː z ə n ⋉	⋊ a i n g ə b l aː z ə n ⋉
3343	h ɛ r au̯ s h a l t ə n	h ɛ r au̯ s g ə h a l t ə n	heraushalten	herausgehalten	⋊ h ɛ r a u s h a l t ə n ⋉	⋊ h ɛ r a u s g ə h a l t ə n ⋉
3378	a n ʃ t ɛ k ə n	a n g ə ʃ t ɛ k t	anstecken	angesteckt	⋊ a n ʃ t ɛ k ə n ⋉	⋊ a n g ə ʃ t ɛ k t ⋉
3388	f ɛ r ʃ n ʊ pf ə n	f ɛ r ʃ n ʊ pf t	verschnupfen	verschnupft	⋊ f ɛ r ʃ n ʊ pf ə n ⋉	⋊ f ɛ r ʃ n ʊ pf t ⋉
3391	b ə d r ʏ k ə n	b ə d r ʏ k t	bedrücken	bedrückt	⋊ b ə d r ʏ k ə n ⋉	⋊ b ə d r ʏ k t ⋉
3392	au̯ f ʃ p r eː ə n	au̯ f g ə ʃ p r eː t	aufsprayen	aufgesprayt	⋊ a u f ʃ p r eː ə n ⋉	⋊ a u f g ə ʃ p r eː t ⋉
3402	t ʊ ʃ ə n	g ə t ʊ ʃ t	tuschen	getuscht	⋊ t ʊ ʃ ə n ⋉	⋊ g ə t ʊ ʃ t ⋉
3436	ʊ m r ai̯ s ə n	ʊ m g ə r ɪ s ə n	umreissen	umgerissen	⋊ ʊ m r a i s ə n ⋉	⋊ ʊ m g ə r ɪ s ə n ⋉
3440	v iː d ə r b ə l eː b ə n	v iː d ə r b ə l eː p t	wiederbeleben	wiederbelebt	⋊ v iː d ə r b ə l eː b ə n ⋉	⋊ v iː d ə r b ə l eː p t ⋉
