p ɹ ə v aɪ d	p ɹ ə v aɪ d ɨ d	V;PST;	provide	provided
b aɪ	b ɔ t	V;PST;	buy	bought
ɹ i tʃ	ɹ i tʃ t	V;PST;	reach	reached
d ɪ v ɛ l ə p	d ɪ v ɛ l ə p t	V;PST;	develop	developed
s t eɪ	s t eɪ d	V;PST;	stay	stayed
w a tʃ	w a tʃ t	V;PST;	watch	watched
d ɪ s aɪ d	d ɪ s aɪ d ɨ d	V;PST;	decide	decided
p ɹ ə d u s	p ɹ ə d u s t	V;PST;	produce	produced
w eɪ ɹ	w oʊ ɹ	V;PST;	wear	wore
b ɪ l d	b ɪ l t	V;PST;	build	built
d aɪ	d aɪ d	V;PST;	die	died
l ʌ v	l ʌ v d	V;PST;	love	loved
æ d	æ d ɨ d	V;PST;	add	added
m i t	m ɛ t	V;PST;	meet	met
ɪ n k ɹ i s	ɪ n k ɹ i s t	V;PST;	increase	increased
oʊ p ə n	oʊ p ə n d	V;PST;	open	opened
s ə g dʒ ɛ s t	s ə g dʒ ɛ s t ɨ d	V;PST;	suggest	suggested
b ɹ eɪ k	b ɹ oʊ k	V;PST;	break	broke
h oʊ p	h oʊ p t	V;PST;	hope	hoped
s ə p oʊ z	s ə p oʊ z d	V;PST;	suppose	supposed
ɹ ɪ t ɝ n	ɹ ɪ t ɝ n d	V;PST;	return	returned
d ɹ aɪ v	d ɹ oʊ v	V;PST;	drive	drove
d ɹ ɔ	d ɹ u	V;PST;	draw	drew
ɪ n v a l v	ɪ n v a l v d	V;PST;	involve	involved
k ɪ l	k ɪ l d	V;PST;	kill	killed
k ə n s ɪ d ɚ	k ə n s ɪ d ɚ d	V;PST;	consider	considered
ə k s ɛ p t	ə k s ɛ p t ɨ d	V;PST;	accept	accepted
ɔ f ɚ	ɔ f ɚ d	V;PST;	offer	offered
ɹ i ə l aɪ z	ɹ i ə l aɪ z d	V;PST;	realize	realized
ɪ k s p l eɪ n	ɪ k s p l eɪ n d	V;PST;	explain	explained
ɹ aɪ z	ɹ oʊ z	V;PST;	rise	rose
k æ tʃ	k ɔ t	V;PST;	catch	caught
ə g ɹ i	ə g ɹ i d	V;PST;	agree	agreed
k ʌ t	k ʌ t	V;PST;	cut	cut
ɹ ɪ k w aɪ ɚ	ɹ ɪ k w aɪ ɚ d	V;PST;	require	required
p ɪ k	p ɪ k t	V;PST;	pick	picked
w ɪ ʃ	w ɪ ʃ t	V;PST;	wish	wished
p ʊ l	p ʊ l d	V;PST;	pull	pulled
k ʌ v ɚ	k ʌ v ɚ d	V;PST;	cover	covered
tʃ u z	tʃ oʊ z	V;PST;	choose	chose
l ɪ s ə n	l ɪ s ə n d	V;PST;	listen	listened
ɹ eɪ z	ɹ eɪ z d	V;PST;	raise	raised
w ʌ n d ɚ	w ʌ n d ɚ d	V;PST;	wonder	wondered
k ɔ z	k ɔ z d	V;PST;	cause	caused
ə ɹ aɪ v	ə ɹ aɪ v d	V;PST;	arrive	arrived
l æ f	l æ f t	V;PST;	laugh	laughed
f ɚ g ɛ t	f ɚ g a t	V;PST;	forget	forgot
æ n s ɚ	æ n s ɚ d	V;PST;	answer	answered
p l æ n	p l æ n d	V;PST;	plan	planned
d ɪ s k ɹ aɪ b	d ɪ s k ɹ aɪ b d	V;PST;	describe	described
s m aɪ l	s m aɪ l d	V;PST;	smile	smiled
k ɹ i eɪ t	k ɹ i eɪ t ɨ d	V;PST;	create	created
θ ɹ oʊ	θ ɹ u	V;PST;	throw	threw
ɹ ɪ s i v	ɹ ɪ s i v d	V;PST;	receive	received
w ɪ n	w ʌ n	V;PST;	win	won
p ɹ u v	p ɹ u v d	V;PST;	prove	proved
s ɝ v	s ɝ v d	V;PST;	serve	served
ɪ n dʒ ɔɪ	ɪ n dʒ ɔɪ d	V;PST;	enjoy	enjoyed
f eɪ l	f eɪ l d	V;PST;	fail	failed
s ɛ l	s oʊ l d	V;PST;	sell	sold
dʒ ɔɪ n	dʒ ɔɪ n d	V;PST;	join	joined
t i tʃ	t ɔ t	V;PST;	teach	taught
d ɹ a p	d ɹ a p t	V;PST;	drop	dropped
f aɪ t	f ɔ t	V;PST;	fight	fought
f oʊ ɹ s	f oʊ ɹ s t	V;PST;	force	forced
ɛ n d	ɛ n d ɨ d	V;PST;	end	ended
d ɪ s k ʌ v ɚ	d ɪ s k ʌ v ɚ d	V;PST;	discover	discovered
ɹ ɛ k ə g n aɪ z	ɹ ɛ k ə g n aɪ z d	V;PST;	recognize	recognized
f ɪ l	f ɪ l d	V;PST;	fill	filled
f eɪ s	f eɪ s t	V;PST;	face	faced
f i d	f ɛ d	V;PST;	feed	fed
ɪ g z ɪ s t	ɪ g z ɪ s t ɨ d	V;PST;	exist	existed
p ɔɪ n t	p ɔɪ n t ɨ d	V;PST;	point	pointed
ʃ eɪ k	ʃ ʊ k	V;PST;	shake	shook
t ɛ n d	t ɛ n d ɨ d	V;PST;	tend	tended
n oʊ t ɪ s	n oʊ t ɪ s t	V;PST;	notice	noticed
d ɹ ɪ ŋ k	d ɹ æ ŋ k	V;PST;	drink	drank
ɛ n t ɚ	ɛ n t ɚ d	V;PST;	enter	entered
d ɪ s k ʌ s	d ɪ s k ʌ s t	V;PST;	discuss	discussed
s l i p	s l ɛ p t	V;PST;	sleep	slept
m æ n ɪ dʒ	m æ n ɪ dʒ d	V;PST;	manage	managed
h æ ŋ	h ʌ ŋ	V;PST;	hang	hung
ɪ n k l u d	ɪ n k l u d ɨ d	V;PST;	include	included
f oʊ ɹ m	f oʊ ɹ m d	V;PST;	form	formed
f ɪ n ɪ ʃ	f ɪ n ɪ ʃ t	V;PST;	finish	finished
m eɪ ɹ i	m eɪ ɹ i d	V;PST;	marry	married
s aʊ n d	s aʊ n d ɨ d	V;PST;	sound	sounded
k ə n t eɪ n	k ə n t eɪ n d	V;PST;	contain	contained
p ʊ ʃ	p ʊ ʃ t	V;PST;	push	pushed
ə k ɝ	ə k ɝ d	V;PST;	occur	occurred
ɪ s t æ b l ɪ ʃ	ɪ s t æ b l ɪ ʃ t	V;PST;	establish	established
ɪ m æ dʒ ə n	ɪ m æ dʒ ə n d	V;PST;	imagine	imagined
æ k t	æ k t ɨ d	V;PST;	act	acted
s eɪ v	s eɪ v d	V;PST;	save	saved
k eɪ ɹ	k eɪ ɹ d	V;PST;	care	cared
s t eɪ ɹ	s t eɪ ɹ d	V;PST;	stare	stared
l eɪ	l eɪ d	V;PST;	lay	laid
k ɹ aɪ	k ɹ aɪ d	V;PST;	cry	cried
k l oʊ z	k l oʊ z d	V;PST;	close	closed
s ʌ f ɚ	s ʌ f ɚ d	V;PST;	suffer	suffered
s i k	s ɔ t	V;PST;	seek	sought
ʃ eɪ ɹ	ʃ eɪ ɹ d	V;PST;	share	shared
a ɹ g j u	a ɹ g j u d	V;PST;	argue	argued
ɹ ɪ d u s	ɹ ɪ d u s t	V;PST;	reduce	reduced
ə tʃ i v	ə tʃ i v d	V;PST;	achieve	achieved
s ə p oʊ ɹ t	s ə p oʊ ɹ t ɨ d	V;PST;	support	supported
ə p l aɪ	ə p l aɪ d	V;PST;	apply	applied
s t ʌ d i	s t ʌ d i d	V;PST;	study	studied
θ æ ŋ k	θ æ ŋ k t	V;PST;	thank	thanked
ə v ɔɪ d	ə v ɔɪ d ɨ d	V;PST;	avoid	avoided
ɹ ɪ f j u z	ɹ ɪ f j u z d	V;PST;	refuse	refused
m ɛ n tʃ ə n	m ɛ n tʃ ə n d	V;PST;	mention	mentioned
ə k oʊ ɹ d	ə k oʊ ɹ d ɨ d	V;PST;	accord	accorded
s t ɹ aɪ k	s t ɹ ʌ k	V;PST;	strike	struck
v ɪ z ə t	v ɪ z ə t ɨ d	V;PST;	visit	visited
ə s u m	ə s u m d	V;PST;	assume	assumed
t ʌ tʃ	t ʌ tʃ t	V;PST;	touch	touched
ɪ n k ɝ ɪ dʒ	ɪ n k ɝ ɪ dʒ d	V;PST;	encourage	encouraged
b eɪ ɹ	b oʊ ɹ	V;PST;	bear	bore
ɹ ɪ p oʊ ɹ t	ɹ ɪ p oʊ ɹ t ɨ d	V;PST;	report	reported
ɪ k s p ɹ ɛ s	ɪ k s p ɹ ɛ s t	V;PST;	express	expressed
d i l	d ɛ l t	V;PST;	deal	dealt
ɹ ɪ m u v	ɹ ɪ m u v d	V;PST;	remove	removed
d ɪ s t ɹ ɔɪ	d ɪ s t ɹ ɔɪ d	V;PST;	destroy	destroyed
ɹ ɪ g a ɹ d	ɹ ɪ g a ɹ d ɨ d	V;PST;	regard	regarded
ɹ ɛ p ɹ ɪ z ɛ n t	ɹ ɛ p ɹ ɪ z ɛ n t ɨ d	V;PST;	represent	represented
h aɪ d	h ɪ d	V;PST;	hide	hid
p l eɪ s	p l eɪ s t	V;PST;	place	placed
k l eɪ m	k l eɪ m d	V;PST;	claim	claimed
h ɪ t	h ɪ t	V;PST;	hit	hit
p ɹ ɪ z ɛ n t	p ɹ ɪ z ɛ n t ɨ d	V;PST;	present	presented
t ɹ i t	t ɹ i t ɨ d	V;PST;	treat	treated
ə d m ɪ t	ə d m ɪ t ɨ d	V;PST;	admit	admitted
w ɝ i	w ɝ i d	V;PST;	worry	worried
f l aɪ	f l u	V;PST;	fly	flew
m eɪ n t eɪ n	m eɪ n t eɪ n d	V;PST;	maintain	maintained
t ɹ æ v ə l	t ɹ æ v ə l d	V;PST;	travel	travelled
ɪ m p ɹ u v	ɪ m p ɹ u v d	V;PST;	improve	improved
s t ɪ k	s t ʌ k	V;PST;	stick	stuck
p ɹ ɪ v ɛ n t	p ɹ ɪ v ɛ n t ɨ d	V;PST;	prevent	prevented
w ɔ ʃ	w ɔ ʃ t	V;PST;	wash	washed
h eɪ t	h eɪ t ɨ d	V;PST;	hate	hated
k l aɪ m	k l aɪ m d	V;PST;	climb	climbed
ɪ n t ɹ ə d u s	ɪ n t ɹ ə d u s t	V;PST;	introduce	introduced
ɹ ɪ ŋ	ɹ æ ŋ	V;PST;	ring	rang
m æ t ɚ	m æ t ɚ d	V;PST;	matter	mattered
s ɚ v aɪ v	s ɚ v aɪ v d	V;PST;	survive	survived
oʊ n	oʊ n d	V;PST;	own	owned
ə ɹ eɪ n dʒ	ə ɹ eɪ n dʒ d	V;PST;	arrange	arranged
l ɪ f t	l ɪ f t ɨ d	V;PST;	lift	lifted
s p ɹ ɛ d	s p ɹ ɛ d	V;PST;	spread	spread
b ɝ n	b ɝ n d	V;PST;	burn	burned
b ɝ n	b ɝ n t	V;PST;	burn	burnt
g eɪ n	g eɪ n d	V;PST;	gain	gained
p ɹ ɛ s	p ɹ ɛ s t	V;PST;	press	pressed
d ɪ z aɪ n	d ɪ z aɪ n d	V;PST;	design	designed
k ə n t ɹ oʊ l	k ə n t ɹ oʊ l d	V;PST;	control	controlled
p ʌ b l ɪ ʃ	p ʌ b l ɪ ʃ t	V;PST;	publish	published
b i t	b i t	V;PST;	beat	beat
oʊ ɹ d ɚ	oʊ ɹ d ɚ d	V;PST;	order	ordered
p ɹ ə t ɛ k t	p ɹ ə t ɛ k t ɨ d	V;PST;	protect	protected
m ɪ s	m ɪ s t	V;PST;	miss	missed
ɹ ɪ p l aɪ	ɹ ɪ p l aɪ d	V;PST;	reply	replied
k ə m p eɪ ɹ	k ə m p eɪ ɹ d	V;PST;	compare	compared
b l oʊ	b l u	V;PST;	blow	blew
ʃ aʊ t	ʃ aʊ t ɨ d	V;PST;	shout	shouted
tʃ ɛ k	tʃ ɛ k t	V;PST;	check	checked
b ə l ɔ ŋ	b ə l ɔ ŋ d	V;PST;	belong	belonged
a p ə ɹ eɪ t	a p ə ɹ eɪ t ɨ d	V;PST;	operate	operated
p ɹ ɪ f ɝ	p ɹ ɪ f ɝ d	V;PST;	prefer	preferred
d ɹ ɛ s	d ɹ ɛ s t	V;PST;	dress	dressed
d ɪ m æ n d	d ɪ m æ n d ɨ d	V;PST;	demand	demanded
ɪ m ɝ dʒ	ɪ m ɝ dʒ d	V;PST;	emerge	emerged
s ɛ t ə l	s ɛ t ə l d	V;PST;	settle	settled
ə p ɹ oʊ tʃ	ə p ɹ oʊ tʃ t	V;PST;	approach	approached
ɪ n t ɛ n d	ɪ n t ɛ n d ɨ d	V;PST;	intend	intended
p ɹ ɪ p eɪ ɹ	p ɹ ɪ p eɪ ɹ d	V;PST;	prepare	prepared
n a d	n a d ɨ d	V;PST;	nod	nodded
p oʊ ɹ	p oʊ ɹ d	V;PST;	pour	poured
ɹ ɪ v i l	ɹ ɪ v i l d	V;PST;	reveal	revealed
f i ɹ	f i ɹ d	V;PST;	fear	feared
s ɪ ŋ	s æ ŋ	V;PST;	sing	sang
ə t ɛ m p t	ə t ɛ m p t ɨ d	V;PST;	attempt	attempted
p ɚ f oʊ ɹ m	p ɚ f oʊ ɹ m d	V;PST;	perform	performed
ɹ ɪ f l ɛ k t	ɹ ɪ f l ɛ k t ɨ d	V;PST;	reflect	reflected
ɪ n s ɪ s t	ɪ n s ɪ s t ɨ d	V;PST;	insist	insisted
ɪ g z æ m ɪ n	ɪ g z æ m ɪ n d	V;PST;	examine	examined
g ɛ s	g ɛ s t	V;PST;	guess	guessed
g æ ð ɚ	g æ ð ɚ d	V;PST;	gather	gathered
p ɹ a m ɪ s	p ɹ a m ɪ s t	V;PST;	promise	promised
k ɹ ɔ s	k ɹ ɔ s t	V;PST;	cross	crossed
ɹ ɪ p l eɪ s	ɹ ɪ p l eɪ s t	V;PST;	replace	replaced
ɪ n d ə k eɪ t	ɪ n d ə k eɪ t ɨ d	V;PST;	indicate	indicated
f ɪ t	f ɪ t	V;PST;	fit	fitted
ə t ɛ n d	ə t ɛ n d ɨ d	V;PST;	attend	attended
ʃ u t	ʃ a t	V;PST;	shoot	shot
ə n aʊ n s	ə n aʊ n s t	V;PST;	announce	announced
ɪ k s t ɛ n d	ɪ k s t ɛ n d ɨ d	V;PST;	extend	extended
ə f ɛ k t	ə f ɛ k t ɨ d	V;PST;	affect	affected
l i n	l i n d	V;PST;	lean	leaned
ɹ oʊ l	ɹ oʊ l d	V;PST;	roll	rolled
p eɪ n t	p eɪ n t ɨ d	V;PST;	paint	painted
k ʊ k	k ʊ k t	V;PST;	cook	cooked
ʃ ʌ t	ʃ ʌ t	V;PST;	shut	shut
l æ s t	l æ s t ɨ d	V;PST;	last	lasted
ɪ g n oʊ ɹ	ɪ g n oʊ ɹ d	V;PST;	ignore	ignored
h æ n d	h æ n d ɨ d	V;PST;	hand	handed
ə t æ k	ə t æ k t	V;PST;	attack	attacked
k ə l ɛ k t	k ə l ɛ k t ɨ d	V;PST;	collect	collected
ə b z ɝ v	ə b z ɝ v d	V;PST;	observe	observed
d ɪ s ə p i ɹ	d ɪ s ə p i ɹ d	V;PST;	disappear	disappeared
aɪ d ɛ n t ə f aɪ	aɪ d ɛ n t ə f aɪ d	V;PST;	identify	identified
s t ɹ ɛ tʃ	s t ɹ ɛ tʃ t	V;PST;	stretch	stretched
ə b t eɪ n	ə b t eɪ n d	V;PST;	obtain	obtained
h ɝ t	h ɝ t	V;PST;	hurt	hurt
dʒ ʌ m p	dʒ ʌ m p t	V;PST;	jump	jumped
h æ n d ə l	h æ n d ə l d	V;PST;	handle	handled
k ə m b aɪ n	k ə m b aɪ n d	V;PST;	combine	combined
s ə k s i d	s ə k s i d ɨ d	V;PST;	succeed	succeeded
ɹ ɪ p i t	ɹ ɪ p i t ɨ d	V;PST;	repeat	repeated
w eɪ k	w oʊ k	V;PST;	wake	woke
b ɛ n d	b ɛ n t	V;PST;	bend	bent
d æ n s	d æ n s t	V;PST;	dance	danced
d ɪ n aɪ	d ɪ n aɪ d	V;PST;	deny	denied
ɪ n v aɪ t	ɪ n v aɪ t ɨ d	V;PST;	invite	invited
d ɪ v aɪ d	d ɪ v aɪ d ɨ d	V;PST;	divide	divided
p ɹ ə p oʊ z	p ɹ ə p oʊ z d	V;PST;	propose	proposed
s ə s p ɛ k t	s ə s p ɛ k t ɨ d	V;PST;	suspect	suspected
θ ɹ ɛ t ə n	θ ɹ ɛ t ə n d	V;PST;	threaten	threatened
m aɪ n d	m aɪ n d ɨ d	V;PST;	mind	minded
k aʊ n t	k aʊ n t ɨ d	V;PST;	count	counted
ə f oʊ ɹ d	ə f oʊ ɹ d ɨ d	V;PST;	afford	afforded
oʊ ɹ g ə n aɪ z	oʊ ɹ g ə n aɪ z d	V;PST;	organize	organized
ɪ m p l ɔɪ	ɪ m p l ɔɪ d	V;PST;	employ	employed
l a k	l a k t	V;PST;	lock	locked
t eɪ ɹ	t oʊ ɹ	V;PST;	tear	tore
s l ɪ p	s l ɪ p t	V;PST;	slip	slipped
t aɪ	t aɪ d	V;PST;	tie	tied
ɹ ɪ m aɪ n d	ɹ ɪ m aɪ n d ɨ d	V;PST;	remind	reminded
ə ɹ aɪ z	ə ɹ oʊ z	V;PST;	arise	arose
k a n s ə n t ɹ eɪ t	k a n s ə n t ɹ eɪ t ɨ d	V;PST;	concentrate	concentrated
k l i n	k l i n d	V;PST;	clean	cleaned
ə p oʊ z	ə p oʊ z d	V;PST;	oppose	opposed
ɪ s k eɪ p	ɪ s k eɪ p t	V;PST;	escape	escaped
ɹ ɪ dʒ ɛ k t	ɹ ɪ dʒ ɛ k t ɨ d	V;PST;	reject	rejected
n oʊ t	n oʊ t ɨ d	V;PST;	note	noted
t ɹ eɪ n	t ɹ eɪ n d	V;PST;	train	trained
k ɪ s	k ɪ s t	V;PST;	kiss	kissed
ɪ n ʃ u ɹ	ɪ n ʃ u ɹ d	V;PST;	ensure	ensured
ə d a p t	ə d a p t ɨ d	V;PST;	adopt	adopted
b a ð ɚ	b a ð ɚ d	V;PST;	bother	bothered
n eɪ m	n eɪ m d	V;PST;	name	named
ɹ ɪ l i s	ɹ ɪ l i s t	V;PST;	release	released
ə k w aɪ ɚ	ə k w aɪ ɚ d	V;PST;	acquire	acquired
ɹ ɪ z ʌ l t	ɹ ɪ z ʌ l t ɨ d	V;PST;	result	resulted
v oʊ t	v oʊ t ɨ d	V;PST;	vote	voted
s t ɛ p	s t ɛ p t	V;PST;	step	stepped
ɹ aɪ d	ɹ oʊ d	V;PST;	ride	rode
s æ t ɪ s f aɪ	s æ t ɪ s f aɪ d	V;PST;	satisfy	satisfied
v eɪ ɹ i	v eɪ ɹ i d	V;PST;	vary	varied
s w ɪ ŋ	s w ʌ ŋ	V;PST;	swing	swung
d ɪ f aɪ n	d ɪ f aɪ n d	V;PST;	define	defined
d ɪ k l eɪ ɹ	d ɪ k l eɪ ɹ d	V;PST;	declare	declared
k ɔ s t	k ɔ s t	V;PST;	cost	cost
p ɚ s w eɪ d	p ɚ s w eɪ d ɨ d	V;PST;	persuade	persuaded
ə b æ n d ə n	ə b æ n d ə n d	V;PST;	abandon	abandoned
t ɛ s t	t ɛ s t ɨ d	V;PST;	test	tested
ɝ n	ɝ n d	V;PST;	earn	earned
ə t ɹ æ k t	ə t ɹ æ k t ɨ d	V;PST;	attract	attracted
ɪ n eɪ b ə l	ɪ n eɪ b ə l d	V;PST;	enable	enabled
l aɪ t	l ɪ t	V;PST;	light	light
n a k	n a k t	V;PST;	knock	knocked
k ə m ɪ t	k ə m ɪ t ɨ d	V;PST;	commit	committed
ɹ ɪ l æ k s	ɹ ɪ l æ k s t	V;PST;	relax	relaxed
d aɪ ɹ ɛ k t	d aɪ ɹ ɛ k t ɨ d	V;PST;	direct	directed
ɹ ɪ k ɔ l	ɹ ɪ k ɔ l d	V;PST;	recall	recalled
s t i l	s t oʊ l	V;PST;	steal	stole
ɹ ɛ s t	ɹ ɛ s t ɨ d	V;PST;	rest	rested
ɪ k s p i ɹ i ə n s	ɪ k s p i ɹ i ə n s t	V;PST;	experience	experienced
s a l v	s a l v d	V;PST;	solve	solved
ɹ ɪ k oʊ ɹ d	ɹ ɪ k oʊ ɹ d ɨ d	V;PST;	record	recorded
ə s oʊ s i eɪ t	ə s oʊ s i eɪ t ɨ d	V;PST;	associate	associated
p ɹ ɪ t ɛ n d	p ɹ ɪ t ɛ n d ɨ d	V;PST;	pretend	pretended
d ɪ t ɝ m ɪ n	d ɪ t ɝ m ɪ n d	V;PST;	determine	determined
k ə m p l eɪ n	k ə m p l eɪ n d	V;PST;	complain	complained
ɹ ɪ s p a n d	ɹ ɪ s p a n d ɨ d	V;PST;	respond	responded
s ə p l aɪ	s ə p l aɪ d	V;PST;	supply	supplied
s w i p	s w ɛ p t	V;PST;	sweep	swept
a k j ə p aɪ	a k j ə p aɪ d	V;PST;	occupy	occupied
ɹ ʌ ʃ	ɹ ʌ ʃ t	V;PST;	rush	rushed
m ɪ k s	m ɪ k s t	V;PST;	mix	mixed
s ɛ p ə ɹ eɪ t	s ɛ p ə ɹ eɪ t ɨ d	V;PST;	separate	separated
s t eɪ t	s t eɪ t ɨ d	V;PST;	state	stated
b eɪ ɹ i	b eɪ ɹ i d	V;PST;	bury	buried
s ɪ ŋ k	s æ ŋ k	V;PST;	sink	sank
w oʊ ɹ n	w oʊ ɹ n d	V;PST;	warn	warned
k l i ɹ	k l i ɹ d	V;PST;	clear	cleared
m a ɹ k	m a ɹ k t	V;PST;	mark	marked
ə t æ tʃ	ə t æ tʃ t	V;PST;	attach	attached
s aɪ n	s aɪ n d	V;PST;	sign	signed
ɪ k s p oʊ z	ɪ k s p oʊ z d	V;PST;	expose	exposed
s ə ɹ aʊ n d	s ə ɹ aʊ n d ɨ d	V;PST;	surround	surrounded
p ɹ æ k t ɪ s	p ɹ æ k t ɪ s t	V;PST;	practise	practised
s k ɹ i m	s k ɹ i m d	V;PST;	scream	screamed
d ɹ æ g	d ɹ æ g d	V;PST;	drag	dragged
k ə m p l i t	k ə m p l i t ɨ d	V;PST;	complete	completed
d eɪ ɹ	d eɪ ɹ d	V;PST;	dare	dared
f aɪ ɚ	f aɪ ɚ d	V;PST;	fire	fired
ə k ʌ m p ə n i	ə k ʌ m p ə n i d	V;PST;	accompany	accompanied
t ɹ ʌ s t	t ɹ ʌ s t ɨ d	V;PST;	trust	trusted
l oʊ ɚ	l oʊ ɚ d	V;PST;	lower	lowered
d ɹ aɪ	d ɹ aɪ d	V;PST;	dry	dried
g l æ n s	g l æ n s t	V;PST;	glance	glanced
p ə z ɛ s	p ə z ɛ s t	V;PST;	possess	possessed
s m ɛ l	s m ɛ l d	V;PST;	smell	smelled
s m ɛ l	s m ɛ l t	V;PST;	smell	smelt
s u t	s u t ɨ d	V;PST;	suit	suited
d ɪ f ɛ n d	d ɪ f ɛ n d ɨ d	V;PST;	defend	defended
h ɛ d	h ɛ d ɨ d	V;PST;	head	headed
s w ɪ m	s w æ m	V;PST;	swim	swam
b l eɪ m	b l eɪ m d	V;PST;	blame	blamed
d ɪ l ɪ v ɚ	d ɪ l ɪ v ɚ d	V;PST;	deliver	delivered
ɪ k s p æ n d	ɪ k s p æ n d ɨ d	V;PST;	expand	expanded
ɪ m p l aɪ	ɪ m p l aɪ d	V;PST;	imply	implied
b ɪ h eɪ v	b ɪ h eɪ v d	V;PST;	behave	behaved
d ɛ m ə n s t ɹ eɪ t	d ɛ m ə n s t ɹ eɪ t ɨ d	V;PST;	demonstrate	demonstrated
ʃ ɪ f t	ʃ ɪ f t ɨ d	V;PST;	shift	shifted
w eɪ v	w eɪ v d	V;PST;	wave	waved
s ɝ tʃ	s ɝ tʃ t	V;PST;	search	searched
tʃ a ɹ dʒ	tʃ a ɹ dʒ d	V;PST;	charge	charged
ə p ɹ u v	ə p ɹ u v d	V;PST;	approve	approved
f ɹ i z	f ɹ oʊ z	V;PST;	freeze	froze
s m oʊ k	s m oʊ k t	V;PST;	smoke	smoked
