lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_unicode	past_unicode
s t ˈa ɹ t	s t ˈa ɹ t ɨ d	8092	start	started	∅ -> ɨ d	regular	NA	stˈaɹt	stˈaɹtɨd
ɹ ˈʌ n	ɹ ˈæ n	7903	run	ran	ʌ -> æ	irregular	NA	ɹˈʌn	ɹˈæn
l ˈɛ t	l ˈɛ t	7728	let	let	no_change	irregular	NA	lˈɛt	lˈɛt
m ˈu v	m ˈu v d	7653	move	moved	∅ -> d	regular	NA	mˈuv	mˈuvd
b i l ˈi v	b i l ˈi v d	7649	believe	believed	∅ -> d	regular	NA	bilˈiv	bilˈivd
p l ˈeɪ	p l ˈeɪ d	7245	play	played	∅ -> d	regular	NA	plˈe	plˈed
h ˈɛ l p	h ˈɛ l p t	6956	help	helped	∅ -> t	regular	NA	hˈɛlp	hˈɛlpt
ɹ ˈi d	ɹ ˈɛ d	6689	read	read	i -> ɛ	irregular	NA	ɹˈid	ɹˈɛd
s p ˈi k	s p ˈoʊ k	6655	speak	spoke	i -> oʊ	irregular	NA	spˈik	spˈok
ɹ ɪ m ˈɛ m b ɚ	ɹ ɪ m ˈɛ m b ɚ d	6538	remember	remembered	∅ -> d	regular	NA	ɹɪmˈɛmbɚ	ɹɪmˈɛmbɚd
p ˈeɪ	p ˈeɪ d	6268	pay	paid	∅ -> d	regular	NA	pˈe	pˈed
g ɹ ˈoʊ	g ɹ ˈu	6112	grow	grew	oʊ -> u	irregular	NA	gɹˈo	gɹˈu
l ˈu z	l ˈɔ s t	6086	lose	lost	u z -> ɔ s t	irregular	NA	lˈuz	lˈɔst
s t ˈa p	s t ˈa p t	5955	stop	stopped	∅ -> t	regular	NA	stˈap	stˈapt
l ˈaɪ k	l ˈaɪ k t	5855	like	liked	∅ -> t	regular	NA	lˈYk	lˈYkt
w ˈeɪ t	w ˈeɪ t ɨ d	5720	wait	waited	∅ -> ɨ d	regular	NA	wˈet	wˈetɨd
s ˈɛ t	s ˈɛ t	5630	set	set	no_change	irregular	NA	sˈɛt	sˈɛt
k ˈeɪ ɹ i	k ˈeɪ ɹ i d	5582	carry	carried	∅ -> d	regular	NA	kˈeɹi	kˈeɹid
w ˈɔ k	w ˈɔ k t	5552	walk	walked	∅ -> t	regular	NA	wˈɔk	wˈɔkt
l ˈɝ n	l ˈɝ n d	5524	learn	learned	∅ -> d	regular	NA	lˈɝn	lˈɝnd
l ˈaɪ	l ˈeɪ	5362	lie	lay	aɪ -> eɪ	irregular	NA	lˈY	lˈe
l ˈi d	l ˈɛ d	5292	lead	led	i -> ɛ	irregular	NA	lˈid	lˈɛd
f ˈɔ l	f ˈɛ l	5276	fall	fell	ɔ -> ɛ	irregular	NA	fˈɔl	fˈɛl
ə p ˈi ɹ	ə p ˈi ɹ d	5226	appear	appeared	∅ -> d	regular	NA	əpˈiɹ	əpˈiɹd
ˈi t	ˈeɪ t	5183	eat	ate	i -> eɪ	irregular	NA	ˈit	ˈet
ɪ k s p ˈɛ k t	ɪ k s p ˈɛ k t ɨ d	5095	expect	expected	∅ -> ɨ d	regular	NA	ɪkspˈɛkt	ɪkspˈɛktɨd
s p ˈɛ n d	s p ˈɛ n t	5036	spend	spent	d -> t	irregular	NA	spˈɛnd	spˈɛnt
s ˈɛ n d	s ˈɛ n t	4822	send	sent	d -> t	irregular	NA	sˈɛnd	sˈɛnt
k ə n t ˈɪ n j u	k ə n t ˈɪ n j u d	4702	continue	continued	∅ -> d	regular	NA	kəntˈɪnju	kəntˈɪnjud
ɹ ɪ m ˈeɪ n	ɹ ɪ m ˈeɪ n d	4696	remain	remained	∅ -> d	regular	NA	ɹɪmˈen	ɹɪmˈend
p ˈæ s	p ˈæ s t	4687	pass	passed	∅ -> t	regular	NA	pˈæs	pˈæst
b ˈaɪ	b ˈɔ t	4594	buy	bought	aɪ -> ɔ t	irregular	NA	bˈY	bˈɔt
ɹ ˈi tʃ	ɹ ˈi tʃ t	4577	reach	reached	∅ -> t	regular	NA	ɹˈiC	ɹˈiCt
d ɪ v ˈɛ l ə p	d ɪ v ˈɛ l ə p t	4492	develop	developed	∅ -> t	regular	NA	dɪvˈɛləp	dɪvˈɛləpt
s t ˈeɪ	s t ˈeɪ d	4487	stay	stayed	∅ -> d	regular	NA	stˈe	stˈed
w ˈa tʃ	w ˈa tʃ t	4483	watch	watched	∅ -> t	regular	NA	wˈaC	wˈaCt
d ɪ s ˈaɪ d	d ɪ s ˈaɪ d ɨ d	4479	decide	decided	∅ -> ɨ d	regular	NA	dɪsˈYd	dɪsˈYdɨd
p ɹ ə d ˈu s	p ɹ ə d ˈu s t	4397	produce	produced	∅ -> t	regular	NA	pɹədˈus	pɹədˈust
w ˈeɪ ɹ	w ˈoʊ ɹ	4339	wear	wore	eɪ -> oʊ	irregular	NA	wˈeɹ	wˈoɹ
b ˈɪ l d	b ˈɪ l t	4336	build	built	d -> t	irregular	NA	bˈɪld	bˈɪlt
d ˈaɪ	d ˈaɪ d	4279	die	died	∅ -> d	regular	NA	dˈY	dˈYd
l ˈʌ v	l ˈʌ v d	4277	love	loved	∅ -> d	regular	NA	lˈʌv	lˈʌvd
ˈæ d	ˈæ d ɨ d	4190	add	added	∅ -> ɨ d	regular	NA	ˈæd	ˈædɨd
m ˈi t	m ˈɛ t	4182	meet	met	i -> ɛ	irregular	NA	mˈit	mˈɛt
s ə g dʒ ˈɛ s t	s ə g dʒ ˈɛ s t ɨ d	4108	suggest	suggested	∅ -> ɨ d	regular	NA	səgJˈɛst	səgJˈɛstɨd
b ɹ ˈeɪ k	b ɹ ˈoʊ k	4102	break	broke	eɪ -> oʊ	irregular	NA	bɹˈek	bɹˈok
h ˈoʊ p	h ˈoʊ p t	4080	hope	hoped	∅ -> t	regular	NA	hˈop	hˈopt
d ɹ ˈaɪ v	d ɹ ˈoʊ v	3907	drive	drove	aɪ -> oʊ	irregular	NA	dɹˈYv	dɹˈov
d ɹ ˈɔ	d ɹ ˈu	3853	draw	drew	ɔ -> u	irregular	NA	dɹˈɔ	dɹˈu
ɪ n v ˈa l v	ɪ n v ˈa l v d	3779	involve	involved	∅ -> d	regular	NA	ɪnvˈalv	ɪnvˈalvd
k ˈɪ l	k ˈɪ l d	3756	kill	killed	∅ -> d	regular	NA	kˈɪl	kˈɪld
k ə n s ˈɪ d ɚ	k ə n s ˈɪ d ɚ d	3730	consider	considered	∅ -> d	regular	NA	kənsˈɪdɚ	kənsˈɪdɚd
ə k s ˈɛ p t	ə k s ˈɛ p t ɨ d	3712	accept	accepted	∅ -> ɨ d	regular	NA	əksˈɛpt	əksˈɛptɨd
ˈɔ f ɚ	ˈɔ f ɚ d	3672	offer	offered	∅ -> d	regular	NA	ˈɔfɚ	ˈɔfɚd
ɹ ˈi ə l aɪ z	ɹ ˈi ə l aɪ z d	3628	realize	realized	∅ -> d	regular	NA	ɹˈiəlYz	ɹˈiəlYzd
ɹ ˈaɪ z	ɹ ˈoʊ z	3486	rise	rose	aɪ -> oʊ	irregular	NA	ɹˈYz	ɹˈoz
k ˈæ tʃ	k ˈɔ t	3459	catch	caught	æ t ʃ -> ɔ t	irregular	NA	kˈæC	kˈɔt
ə g ɹ ˈi	ə g ɹ ˈi d	3424	agree	agreed	∅ -> d	regular	NA	əgɹˈi	əgɹˈid
k ˈʌ t	k ˈʌ t	3415	cut	cut	no_change	irregular	NA	kˈʌt	kˈʌt
ɹ ɪ k w ˈaɪ ɚ	ɹ ɪ k w ˈaɪ ɚ d	3391	require	required	∅ -> d	regular	NA	ɹɪkwˈYɚ	ɹɪkwˈYɚd
p ˈɪ k	p ˈɪ k t	3386	pick	picked	∅ -> t	regular	NA	pˈɪk	pˈɪkt
w ˈɪ ʃ	w ˈɪ ʃ t	3373	wish	wished	∅ -> t	regular	NA	wˈɪʃ	wˈɪʃt
p ˈʊ l	p ˈʊ l d	3330	pull	pulled	∅ -> d	regular	NA	pˈʊl	pˈʊld
k ˈʌ v ɚ	k ˈʌ v ɚ d	3263	cover	covered	∅ -> d	regular	NA	kˈʌvɚ	kˈʌvɚd
tʃ ˈu z	tʃ ˈoʊ z	3211	choose	chose	u -> oʊ	irregular	NA	Cˈuz	Cˈoz
l ˈɪ s ə n	l ˈɪ s ə n d	3175	listen	listened	∅ -> d	regular	NA	lˈɪsən	lˈɪsənd
ɹ ˈeɪ z	ɹ ˈeɪ z d	3147	raise	raised	∅ -> d	regular	NA	ɹˈez	ɹˈezd
w ˈʌ n d ɚ	w ˈʌ n d ɚ d	3083	wonder	wondered	∅ -> d	regular	NA	wˈʌndɚ	wˈʌndɚd
l ˈæ f	l ˈæ f t	3058	laugh	laughed	∅ -> t	regular	NA	lˈæf	lˈæft
ˈæ n s ɚ	ˈæ n s ɚ d	3048	answer	answered	∅ -> d	regular	NA	ˈænsɚ	ˈænsɚd
p l ˈæ n	p l ˈæ n d	3013	plan	planned	∅ -> d	regular	NA	plˈæn	plˈænd
s m ˈaɪ l	s m ˈaɪ l d	2892	smile	smiled	∅ -> d	regular	NA	smˈYl	smˈYld
k ɹ i ˈeɪ t	k ɹ i ˈeɪ t ɨ d	2870	create	created	∅ -> ɨ d	regular	NA	kɹiˈet	kɹiˈetɨd
θ ɹ ˈoʊ	θ ɹ ˈu	2858	throw	threw	oʊ -> u	irregular	NA	θɹˈo	θɹˈu
ɹ ɪ s ˈi v	ɹ ɪ s ˈi v d	2835	receive	received	∅ -> d	regular	NA	ɹɪsˈiv	ɹɪsˈivd
w ˈɪ n	w ˈʌ n	2762	win	won	ɪ -> ʌ	irregular	NA	wˈɪn	wˈʌn
p ɹ ˈu v	p ɹ ˈu v d	2674	prove	proved	∅ -> d	regular	NA	pɹˈuv	pɹˈuvd
s ˈɝ v	s ˈɝ v d	2669	serve	served	∅ -> d	regular	NA	sˈɝv	sˈɝvd
ɪ n dʒ ˈɔɪ	ɪ n dʒ ˈɔɪ d	2656	enjoy	enjoyed	∅ -> d	regular	NA	ɪnJˈO	ɪnJˈOd
f ˈeɪ l	f ˈeɪ l d	2608	fail	failed	∅ -> d	regular	NA	fˈel	fˈeld
s ˈɛ l	s ˈoʊ l d	2596	sell	sold	ɛ l -> o l d	irregular	NA	sˈɛl	sˈold
dʒ ˈɔɪ n	dʒ ˈɔɪ n d	2594	join	joined	∅ -> d	regular	NA	JˈOn	JˈOnd
t ˈi tʃ	t ˈɔ t	2558	teach	taught	i tʃ -> ɔ t	irregular	NA	tˈiC	tˈɔt
d ɹ ˈa p	d ɹ ˈa p t	2551	drop	dropped	∅ -> t	regular	NA	dɹˈap	dɹˈapt
f ˈaɪ t	f ˈɔ t	2549	fight	fought	aɪ -> ɔ	irregular	NA	fˈYt	fˈɔt
f ˈoʊ ɹ s	f ˈoʊ ɹ s t	2535	force	forced	∅ -> t	regular	NA	fˈoɹs	fˈoɹst
ˈɛ n d	ˈɛ n d ɨ d	2524	end	ended	∅ -> ɨ d	regular	NA	ˈɛnd	ˈɛndɨd
f ˈɪ l	f ˈɪ l d	2463	fill	filled	∅ -> d	regular	NA	fˈɪl	fˈɪld
f ˈeɪ s	f ˈeɪ s t	2438	face	faced	∅ -> t	regular	NA	fˈes	fˈest
f ˈi d	f ˈɛ d	2379	feed	fed	i -> ɛ	irregular	NA	fˈid	fˈɛd
ɪ g z ˈɪ s t	ɪ g z ˈɪ s t ɨ d	2361	exist	existed	∅ -> ɨ d	regular	NA	ɪgzˈɪst	ɪgzˈɪstɨd
p ˈɔɪ n t	p ˈɔɪ n t ɨ d	2360	point	pointed	∅ -> ɨ d	regular	NA	pˈOnt	pˈOntɨd
ʃ ˈeɪ k	ʃ ˈʊ k	2359	shake	shook	eɪ -> ʊ	irregular	NA	ʃˈek	ʃˈʊk
t ˈɛ n d	t ˈɛ n d ɨ d	2336	tend	tended	∅ -> ɨ d	regular	NA	tˈɛnd	tˈɛndɨd
d ɹ ˈɪ ŋ k	d ɹ ˈæ ŋ k	2321	drink	drank	ɪ -> æ	irregular	NA	dɹˈɪŋk	dɹˈæŋk
ˈɛ n t ɚ	ˈɛ n t ɚ d	2309	enter	entered	∅ -> d	regular	NA	ˈɛntɚ	ˈɛntɚd
s l ˈi p	s l ˈɛ p t	2306	sleep	slept	i p -> ɛ p t	irregular	NA	slˈip	slˈɛpt
h ˈæ ŋ	h ˈʌ ŋ	2275	hang	hung	æ -> ʌ	irregular	NA	hˈæŋ	hˈʌŋ
ɪ n k l ˈu d	ɪ n k l ˈu d ɨ d	2274	include	included	∅ -> ɨ d	regular	NA	ɪnklˈud	ɪnklˈudɨd
f ˈoʊ ɹ m	f ˈoʊ ɹ m d	2256	form	formed	∅ -> d	regular	NA	fˈoɹm	fˈoɹmd
f ˈɪ n ɪ ʃ	f ˈɪ n ɪ ʃ t	2248	finish	finished	∅ -> t	regular	NA	fˈɪnɪʃ	fˈɪnɪʃt
m ˈeɪ ɹ i	m ˈeɪ ɹ i d	2245	marry	married	∅ -> d	regular	NA	mˈeɹi	mˈeɹid
s ˈaʊ n d	s ˈaʊ n d ɨ d	2245	sound	sounded	∅ -> ɨ d	regular	NA	sˈWnd	sˈWndɨd
k ə n t ˈeɪ n	k ə n t ˈeɪ n d	2244	contain	contained	∅ -> d	regular	NA	kəntˈen	kəntˈend
p ˈʊ ʃ	p ˈʊ ʃ t	2235	push	pushed	∅ -> t	regular	NA	pˈʊʃ	pˈʊʃt
ə k ˈɝ	ə k ˈɝ d	2232	occur	occurred	∅ -> d	regular	NA	əkˈɝ	əkˈɝd
ɪ s t ˈæ b l ɪ ʃ	ɪ s t ˈæ b l ɪ ʃ t	2227	establish	established	∅ -> t	regular	NA	ɪstˈæblɪʃ	ɪstˈæblɪʃt
ɪ m ˈæ dʒ ə n	ɪ m ˈæ dʒ ə n d	2221	imagine	imagined	∅ -> d	regular	NA	ɪmˈæJən	ɪmˈæJənd
ˈæ k t	ˈæ k t ɨ d	2212	act	acted	∅ -> ɨ d	regular	NA	ˈækt	ˈæktɨd
s ˈeɪ v	s ˈeɪ v d	2188	save	saved	∅ -> d	regular	NA	sˈev	sˈevd
k ˈeɪ ɹ	k ˈeɪ ɹ d	2175	care	cared	∅ -> d	regular	NA	kˈeɹ	kˈeɹd
s t ˈeɪ ɹ	s t ˈeɪ ɹ d	2175	stare	stared	∅ -> d	regular	NA	stˈeɹ	stˈeɹd
l ˈeɪ	l ˈeɪ d	2167	lay	laid	∅ -> d	regular	NA	lˈe	lˈed
k ɹ ˈaɪ	k ɹ ˈaɪ d	2158	cry	cried	∅ -> d	regular	NA	kɹˈY	kɹˈYd
k l ˈoʊ z	k l ˈoʊ z d	2157	close	closed	∅ -> d	regular	NA	klˈoz	klˈozd
s ˈʌ f ɚ	s ˈʌ f ɚ d	2156	suffer	suffered	∅ -> d	regular	NA	sˈʌfɚ	sˈʌfɚd
s ˈi k	s ˈɔ t	2147	seek	sought	i k -> ɔ t	irregular	NA	sˈik	sˈɔt
ʃ ˈeɪ ɹ	ʃ ˈeɪ ɹ d	2137	share	shared	∅ -> d	regular	NA	ʃˈeɹ	ʃˈeɹd
ˈa ɹ g j u	ˈa ɹ g j u d	2130	argue	argued	∅ -> d	regular	NA	ˈaɹgju	ˈaɹgjud
ɹ ɪ d ˈu s	ɹ ɪ d ˈu s t	2127	reduce	reduced	∅ -> t	regular	NA	ɹɪdˈus	ɹɪdˈust
ə tʃ ˈi v	ə tʃ ˈi v d	2121	achieve	achieved	∅ -> d	regular	NA	əCˈiv	əCˈivd
s t ˈʌ d i	s t ˈʌ d i d	2103	study	studied	∅ -> d	regular	NA	stˈʌdi	stˈʌdid
θ ˈæ ŋ k	θ ˈæ ŋ k t	2063	thank	thanked	∅ -> t	regular	NA	θˈæŋk	θˈæŋkt
m ˈɛ n tʃ ə n	m ˈɛ n tʃ ə n d	2023	mention	mentioned	∅ -> d	regular	NA	mˈɛnCən	mˈɛnCənd
s t ɹ ˈaɪ k	s t ɹ ˈʌ k	1999	strike	struck	aɪ -> ʌ	irregular	NA	stɹˈYk	stɹˈʌk
ə s ˈu m	ə s ˈu m d	1968	assume	assumed	∅ -> d	regular	NA	əsˈum	əsˈumd
t ˈʌ tʃ	t ˈʌ tʃ t	1967	touch	touched	∅ -> t	regular	NA	tˈʌC	tˈʌCt
ɪ n k ˈɝ ɪ dʒ	ɪ n k ˈɝ ɪ dʒ d	1925	encourage	encouraged	∅ -> d	regular	NA	ɪnkˈɝɪJ	ɪnkˈɝɪJd
b ˈeɪ ɹ	b ˈoʊ ɹ	1917	bear	bore	eɪ -> oʊ	irregular	NA	bˈeɹ	bˈoɹ
d ˈi l	d ˈɛ l t	1871	deal	dealt	i l -> ɛ l t	irregular	NA	dˈil	dˈɛlt
d ɪ s t ɹ ˈɔɪ	d ɪ s t ɹ ˈɔɪ d	1860	destroy	destroyed	∅ -> d	regular	NA	dɪstɹˈO	dɪstɹˈOd
ɹ ɪ g ˈa ɹ d	ɹ ɪ g ˈa ɹ d ɨ d	1860	regard	regarded	∅ -> ɨ d	regular	NA	ɹɪgˈaɹd	ɹɪgˈaɹdɨd
h ˈaɪ d	h ˈɪ d	1804	hide	hid	aɪ -> ɪ	irregular	NA	hˈYd	hˈɪd
p l ˈeɪ s	p l ˈeɪ s t	1802	place	placed	∅ -> t	regular	NA	plˈes	plˈest
k l ˈeɪ m	k l ˈeɪ m d	1794	claim	claimed	∅ -> d	regular	NA	klˈem	klˈemd
h ˈɪ t	h ˈɪ t	1792	hit	hit	no_change	irregular	NA	hˈɪt	hˈɪt
p ɹ ɪ z ˈɛ n t	p ɹ ɪ z ˈɛ n t ɨ d	1773	present	presented	∅ -> ɨ d	regular	NA	pɹɪzˈɛnt	pɹɪzˈɛntɨd
t ɹ ˈi t	t ɹ ˈi t ɨ d	1764	treat	treated	∅ -> ɨ d	regular	NA	tɹˈit	tɹˈitɨd
ə d m ˈɪ t	ə d m ˈɪ t ɨ d	1747	admit	admitted	∅ -> ɨ d	regular	NA	ədmˈɪt	ədmˈɪtɨd
w ˈɝ i	w ˈɝ i d	1727	worry	worried	∅ -> d	regular	NA	wˈɝi	wˈɝid
f l ˈaɪ	f l ˈu	1715	fly	flew	aɪ -> u	irregular	NA	flˈY	flˈu
m eɪ n t ˈeɪ n	m eɪ n t ˈeɪ n d	1713	maintain	maintained	∅ -> d	regular	NA	mentˈen	mentˈend
t ɹ ˈæ v ə l	t ɹ ˈæ v ə l d	1702	travel	travelled	∅ -> d	regular	NA	tɹˈævəl	tɹˈævəld
s t ˈɪ k	s t ˈʌ k	1683	stick	stuck	ɪ -> ʌ	irregular	NA	stˈɪk	stˈʌk
w ˈɔ ʃ	w ˈɔ ʃ t	1663	wash	washed	∅ -> t	regular	NA	wˈɔʃ	wˈɔʃt
k l ˈaɪ m	k l ˈaɪ m d	1643	climb	climbed	∅ -> d	regular	NA	klˈYm	klˈYmd
h ˈeɪ t	h ˈeɪ t ɨ d	1643	hate	hated	∅ -> ɨ d	regular	NA	hˈet	hˈetɨd
ɪ n t ɹ ə d ˈu s	ɪ n t ɹ ə d ˈu s t	1626	introduce	introduced	∅ -> t	regular	NA	ɪntɹədˈus	ɪntɹədˈust
ɹ ˈɪ ŋ	ɹ ˈæ ŋ	1625	ring	rang	ɪ -> æ	irregular	NA	ɹˈɪŋ	ɹˈæŋ
m ˈæ t ɚ	m ˈæ t ɚ d	1622	matter	mattered	∅ -> d	regular	NA	mˈætɚ	mˈætɚd
s ɚ v ˈaɪ v	s ɚ v ˈaɪ v d	1603	survive	survived	∅ -> d	regular	NA	sɚvˈYv	sɚvˈYvd
ˈoʊ n	ˈoʊ n d	1599	own	owned	∅ -> d	regular	NA	ˈon	ˈond
l ˈɪ f t	l ˈɪ f t ɨ d	1578	lift	lifted	∅ -> ɨ d	regular	NA	lˈɪft	lˈɪftɨd
s p ɹ ˈɛ d	s p ɹ ˈɛ d	1578	spread	spread	no_change	irregular	NA	spɹˈɛd	spɹˈɛd
b ˈɝ n	b ˈɝ n d	1577	burn	burned	∅ -> d	regular	NA	bˈɝn	bˈɝnd
g ˈeɪ n	g ˈeɪ n d	1567	gain	gained	∅ -> d	regular	NA	gˈen	gˈend
p ɹ ˈɛ s	p ɹ ˈɛ s t	1567	press	pressed	∅ -> t	regular	NA	pɹˈɛs	pɹˈɛst
k ə n t ɹ ˈoʊ l	k ə n t ɹ ˈoʊ l d	1549	control	controlled	∅ -> d	regular	NA	kəntɹˈol	kəntɹˈold
p ˈʌ b l ɪ ʃ	p ˈʌ b l ɪ ʃ t	1545	publish	published	∅ -> t	regular	NA	pˈʌblɪʃ	pˈʌblɪʃt
b ˈi t	b ˈi t	1544	beat	beat	no_change	irregular	NA	bˈit	bˈit
ˈoʊ ɹ d ɚ	ˈoʊ ɹ d ɚ d	1541	order	ordered	∅ -> d	regular	NA	ˈoɹdɚ	ˈoɹdɚd
p ɹ ə t ˈɛ k t	p ɹ ə t ˈɛ k t ɨ d	1534	protect	protected	∅ -> ɨ d	regular	NA	pɹətˈɛkt	pɹətˈɛktɨd
m ˈɪ s	m ˈɪ s t	1527	miss	missed	∅ -> t	regular	NA	mˈɪs	mˈɪst
b l ˈoʊ	b l ˈu	1507	blow	blew	oʊ -> u	irregular	NA	blˈo	blˈu
ʃ ˈaʊ t	ʃ ˈaʊ t ɨ d	1504	shout	shouted	∅ -> ɨ d	regular	NA	ʃˈWt	ʃˈWtɨd
tʃ ˈɛ k	tʃ ˈɛ k t	1488	check	checked	∅ -> t	regular	NA	Cˈɛk	Cˈɛkt
p ɹ ɪ f ˈɝ	p ɹ ɪ f ˈɝ d	1472	prefer	preferred	∅ -> d	regular	NA	pɹɪfˈɝ	pɹɪfˈɝd
d ɹ ˈɛ s	d ɹ ˈɛ s t	1467	dress	dressed	∅ -> t	regular	NA	dɹˈɛs	dɹˈɛst
d ɪ m ˈæ n d	d ɪ m ˈæ n d ɨ d	1433	demand	demanded	∅ -> ɨ d	regular	NA	dɪmˈænd	dɪmˈændɨd
ɪ m ˈɝ dʒ	ɪ m ˈɝ dʒ d	1433	emerge	emerged	∅ -> d	regular	NA	ɪmˈɝJ	ɪmˈɝJd
s ˈɛ t ə l	s ˈɛ t ə l d	1428	settle	settled	∅ -> d	regular	NA	sˈɛtəl	sˈɛtəld
ə p ɹ ˈoʊ tʃ	ə p ɹ ˈoʊ tʃ t	1427	approach	approached	∅ -> t	regular	NA	əpɹˈoC	əpɹˈoCt
n ˈa d	n ˈa d ɨ d	1413	nod	nodded	∅ -> ɨ d	regular	NA	nˈad	nˈadɨd
p ˈoʊ ɹ	p ˈoʊ ɹ d	1413	pour	poured	∅ -> d	regular	NA	pˈoɹ	pˈoɹd
ɹ ɪ v ˈi l	ɹ ɪ v ˈi l d	1412	reveal	revealed	∅ -> d	regular	NA	ɹɪvˈil	ɹɪvˈild
f ˈi ɹ	f ˈi ɹ d	1410	fear	feared	∅ -> d	regular	NA	fˈiɹ	fˈiɹd
s ˈɪ ŋ	s ˈæ ŋ	1407	sing	sang	ɪ -> æ	irregular	NA	sˈɪŋ	sˈæŋ
ɹ ɪ f l ˈɛ k t	ɹ ɪ f l ˈɛ k t ɨ d	1396	reflect	reflected	∅ -> ɨ d	regular	NA	ɹɪflˈɛkt	ɹɪflˈɛktɨd
