# Google doc
lemma_ipa	past_ipa	celex_freq	lemma_orth	past_orth	past_type	past_type2	notes	lemma_orig	past_orig
s ə p ˈoʊ z	s ə p ˈoʊ z d	4071	suppose	supposed	∅ -> d	regular	NA	sŤpČoz	sŤpČozd
ɹ ɪ t ˈɚ n	ɹ ɪ t ˈɚ n d	3973	return	returned	∅ -> d	regular	NA	rItČŐn	rItČŐnd
d ɹ ˈaɪ v	d ɹ ˈoʊ v	3907	drive	drove	a ɪ -> o	irregular	NA	drČYv	drČov
d ɹ ˈɔ	d ɹ ˈu	3853	draw	drew	ɔ -> u	irregular	NA	drČ	drČu
ɪ n v ˈa l v	ɪ n v ˈa l v d	3779	involve	involved	∅ -> d	regular	NA	InvČalv	InvČalvd
k ˈɪ l	k ˈɪ l d	3756	kill	killed	∅ -> d	regular	NA	kČIl	kČIld
k ə n s ˈɪ d ɚ	k ə n s ˈɪ d ɚ d	3730	consider	considered	∅ -> d	regular	NA	kŤnsČIdŐ	kŤnsČIdŐd
ə k s ˈɛ p t	ə k s ˈɛ p t ə d	3712	accept	accepted	∅ -> ɪ d	regular	NA	ŤksČEpt	ŤksČEptŤd
ˈɔ f ɚ	ˈɔ f ɚ d	3672	offer	offered	∅ -> d	regular	NA	ČfŐ	ČfŐd
ɹ ˈi ə l aɪ z	ɹ ˈi ə l aɪ z d	3628	realize	realized	∅ -> d	regular	NA	rČiŤlYz	rČiŤlYzd
ɪ k s p l ˈeɪ n	ɪ k s p l ˈeɪ n d	3606	explain	explained	∅ -> d	regular	NA	IksplČen	IksplČend
ɹ ˈaɪ z	ɹ ˈoʊ z	3486	rise	rose	a ɪ -> o	irregular	NA	rČYz	rČoz
k ˈæ tʃ	k ˈɔ t	3459	catch	caught	ɑ t ʃ -> ɔ t	irregular	NA	kČQC	kČt
ə g ɹ ˈi	ə g ɹ ˈi d	3424	agree	agreed	∅ -> d	regular	NA	ŤgrČi	ŤgrČid
k ˈʌ t	k ˈʌ t	3415	cut	cut	no_change	irregular	NA	kČĂt	kČĂt
ɹ ɪ k w ˈaɪ ɚ	ɹ ɪ k w ˈaɪ ɚ d	3391	require	required	∅ -> d	regular	NA	rIkwČYŐ	rIkwČYŐd
p ˈɪ k	p ˈɪ k t	3386	pick	picked	∅ -> t	regular	NA	pČIk	pČIkt
w ˈɪ ʃ	w ˈɪ ʃ t	3373	wish	wished	∅ -> t	regular	NA	wČIS	wČISt
p ˈʊ l	p ˈʊ l d	3330	pull	pulled	∅ -> d	regular	NA	pČUl	pČUld
k ˈʌ v ɚ	k ˈʌ v ɚ d	3263	cover	covered	∅ -> d	regular	NA	kČĂvŐ	kČĂvŐd
tʃ ˈu z	tʃ ˈoʊ z	3211	choose	chose	u -> o	irregular	NA	CČuz	CČoz
l ˈɪ s ə n	l ˈɪ s ə n d	3175	listen	listened	∅ -> d	regular	NA	lČIsŤn	lČIsŤnd
ɹ ˈeɪ z	ɹ ˈeɪ z d	3147	raise	raised	∅ -> d	regular	NA	rČez	rČezd
w ˈʌ n d ɚ	w ˈʌ n d ɚ d	3083	wonder	wondered	∅ -> d	regular	NA	wČĂndŐ	wČĂndŐd
k ˈɔ z	k ˈɔ z d	3074	cause	caused	∅ -> d	regular	NA	kČz	kČzd
ə ɹ ˈaɪ v	ə ɹ ˈaɪ v d	3073	arrive	arrived	∅ -> d	regular	NA	ŤrČYv	ŤrČYvd
l ˈæ f	l ˈæ f t	3058	laugh	laughed	∅ -> t	regular	NA	lČQf	lČQft
f ɚ g ˈɛ t	f ɚ g ˈa t	3056	forget	forgot	ɛ -> a	irregular	NA	fŐgČEt	fŐgČat
ˈæ n s ɚ	ˈæ n s ɚ d	3048	answer	answered	∅ -> d	regular	NA	ČQnsŐ	ČQnsŐd
p l ˈæ n	p l ˈæ n d	3013	plan	planned	∅ -> d	regular	NA	plČQn	plČQnd
d ɪ s k ɹ ˈaɪ b	d ɪ s k ɹ ˈaɪ b d	2950	describe	described	∅ -> d	regular	NA	dIskrČYb	dIskrČYbd
s m ˈaɪ l	s m ˈaɪ l d	2892	smile	smiled	∅ -> d	regular	NA	smČYl	smČYld
k ɹ i ˈeɪ t	k ɹ i ˈeɪ t ə d	2870	create	created	∅ -> ɪ d	regular	NA	kriČet	kriČetŤd
θ ɹ ˈoʊ	θ ɹ ˈu	2858	throw	threw	o -> u	irregular	NA	TrČo	TrČu
ɹ ɪ s ˈi v	ɹ ɪ s ˈi v d	2835	receive	received	∅ -> d	regular	NA	rIsČiv	rIsČivd
w ˈɪ n	w ˈʌ n	2762	win	won	ɪ -> ʌ	irregular	NA	wČIn	wČĂn
p ɹ ˈu v	p ɹ ˈu v d	2674	prove	proved	∅ -> d	regular	NA	prČuv	prČuvd
s ˈɚ v	s ˈɚ v d	2669	serve	served	∅ -> d	regular	NA	sČŐv	sČŐvd
ɪ n dʒ ˈɔɪ	ɪ n dʒ ˈɔɪ d	2656	enjoy	enjoyed	∅ -> d	regular	NA	InJČO	InJČOd
f ˈeɪ l	f ˈeɪ l d	2608	fail	failed	∅ -> d	regular	NA	fČel	fČeld
s ˈɛ l	s ˈoʊ l d	2596	sell	sold	ɛ l -> o l d	irregular	NA	sČEl	sČold
dʒ ˈɔɪ n	dʒ ˈɔɪ n d	2594	join	joined	∅ -> d	regular	NA	JČOn	JČOnd
t ˈi tʃ	t ˈɔ t	2558	teach	taught	i t ʃ -> ɔ t	irregular	NA	tČiC	tČt
d ɹ ˈa p	d ɹ ˈa p t	2551	drop	dropped	∅ -> t	regular	NA	drČap	drČapt
f ˈaɪ t	f ˈɔ t	2549	fight	fought	a ɪ -> ɔ	irregular	NA	fČYt	fČt
f ˈoʊ ɹ s	f ˈoʊ ɹ s t	2535	force	forced	∅ -> t	regular	NA	fČors	fČorst
ˈɛ n d	ˈɛ n d ə d	2524	end	ended	∅ -> ɪ d	regular	NA	ČEnd	ČEndŤd
d ɪ s k ˈʌ v ɚ	d ɪ s k ˈʌ v ɚ d	2499	discover	discovered	∅ -> d	regular	NA	dIskČĂvŐ	dIskČĂvŐd
ɹ ˈɛ k ə g n aɪ z	ɹ ˈɛ k ə g n aɪ z d	2467	recognize	recognized	∅ -> d	regular	NA	rČEkŤgnYz	rČEkŤgnYzd
f ˈɪ l	f ˈɪ l d	2463	fill	filled	∅ -> d	regular	NA	fČIl	fČIld
f ˈeɪ s	f ˈeɪ s t	2438	face	faced	∅ -> t	regular	NA	fČes	fČest
f ˈi d	f ˈɛ d	2379	feed	fed	i -> ɛ	irregular	NA	fČid	fČEd
ɪ g z ˈɪ s t	ɪ g z ˈɪ s t ə d	2361	exist	existed	∅ -> ɪ d	regular	NA	IgzČIst	IgzČIstŤd
p ˈɔɪ n t	p ˈɔɪ n t ə d	2360	point	pointed	∅ -> ɪ d	regular	NA	pČOnt	pČOntŤd
ʃ ˈeɪ k	ʃ ˈʊ k	2359	shake	shook	e -> ʊ	irregular	NA	SČek	SČUk
t ˈɛ n d	t ˈɛ n d ə d	2336	tend	tended	∅ -> ɪ d	regular	NA	tČEnd	tČEndŤd
n ˈoʊ t ɪ s	n ˈoʊ t ɪ s t	2323	notice	noticed	∅ -> t	regular	NA	nČotIs	nČotIst
d ɹ ˈɪ ŋ k	d ɹ ˈæ ŋ k	2321	drink	drank	ɪ -> ɑ	irregular	NA	drČINk	drČQNk
ˈɛ n t ɚ	ˈɛ n t ɚ d	2309	enter	entered	∅ -> d	regular	NA	ČEntŐ	ČEntŐd
d ɪ s k ˈʌ s	d ɪ s k ˈʌ s t	2306	discuss	discussed	∅ -> t	regular	NA	dIskČĂs	dIskČĂst
s l ˈi p	s l ˈɛ p t	2306	sleep	slept	i p -> ɛ p t	irregular	NA	slČip	slČEpt
m ˈæ n ɪ dʒ	m ˈæ n ɪ dʒ d	2289	manage	managed	∅ -> d	regular	NA	mČQnIJ	mČQnIJd
h ˈæ ŋ	h ˈʌ ŋ	2275	hang	hung	ɑ -> ʌ	irregular	NA	hČQN	hČĂN
ɪ n k l ˈu d	ɪ n k l ˈu d ə d	2274	include	included	∅ -> ɪ d	regular	NA	InklČud	InklČudŤd
f ˈoʊ ɹ m	f ˈoʊ ɹ m d	2256	form	formed	∅ -> d	regular	NA	fČorm	fČormd
f ˈɪ n ɪ ʃ	f ˈɪ n ɪ ʃ t	2248	finish	finished	∅ -> t	regular	NA	fČInIS	fČInISt
m ˈeɪ ɹ i	m ˈeɪ ɹ i d	2245	marry	married	∅ -> d	regular	NA	mČeri	mČerid
s ˈaʊ n d	s ˈaʊ n d ə d	2245	sound	sounded	∅ -> ɪ d	regular	NA	sČWnd	sČWndŤd
k ə n t ˈeɪ n	k ə n t ˈeɪ n d	2244	contain	contained	∅ -> d	regular	NA	kŤntČen	kŤntČend
p ˈʊ ʃ	p ˈʊ ʃ t	2235	push	pushed	∅ -> t	regular	NA	pČUS	pČUSt
ə k ˈɚ	ə k ˈɚ d	2232	occur	occurred	∅ -> d	regular	NA	ŤkČŐ	ŤkČŐd
ɪ s t ˈæ b l ɪ ʃ	ɪ s t ˈæ b l ɪ ʃ t	2227	establish	established	∅ -> t	regular	NA	IstČQblIS	IstČQblISt
ɪ m ˈæ dʒ ə n	ɪ m ˈæ dʒ ə n d	2221	imagine	imagined	∅ -> d	regular	NA	ImČQJŤn	ImČQJŤnd
ˈæ k t	ˈæ k t ə d	2212	act	acted	∅ -> ɪ d	regular	NA	ČQkt	ČQktŤd
s ˈeɪ v	s ˈeɪ v d	2188	save	saved	∅ -> d	regular	NA	sČev	sČevd
k ˈeɪ ɹ	k ˈeɪ ɹ d	2175	care	cared	∅ -> d	regular	NA	kČer	kČerd
s t ˈeɪ ɹ	s t ˈeɪ ɹ d	2175	stare	stared	∅ -> d	regular	NA	stČer	stČerd
l ˈeɪ	l ˈeɪ d	2167	lay	laid	∅ -> d	regular	NA	lČe	lČed
k ɹ ˈaɪ	k ɹ ˈaɪ d	2158	cry	cried	∅ -> d	regular	NA	krČY	krČYd
k l ˈoʊ z	k l ˈoʊ z d	2157	close	closed	∅ -> d	regular	NA	klČoz	klČozd
s ˈʌ f ɚ	s ˈʌ f ɚ d	2156	suffer	suffered	∅ -> d	regular	NA	sČĂfŐ	sČĂfŐd
s ˈi k	s ˈɔ t	2147	seek	sought	i k -> ɔ t	irregular	NA	sČik	sČt
ʃ ˈeɪ ɹ	ʃ ˈeɪ ɹ d	2137	share	shared	∅ -> d	regular	NA	SČer	SČerd
ˈa ɹ g j u	ˈa ɹ g j u d	2130	argue	argued	∅ -> d	regular	NA	Čargju	Čargjud
ɹ ɪ d ˈu s	ɹ ɪ d ˈu s t	2127	reduce	reduced	∅ -> t	regular	NA	rIdČus	rIdČust
ə tʃ ˈi v	ə tʃ ˈi v d	2121	achieve	achieved	∅ -> d	regular	NA	ŤCČiv	ŤCČivd
s ə p ˈoʊ ɹ t	s ə p ˈoʊ ɹ t ə d	2114	support	supported	∅ -> ɪ d	regular	NA	sŤpČort	sŤpČortŤd
ə p l ˈaɪ	ə p l ˈaɪ d	2111	apply	applied	∅ -> d	regular	NA	ŤplČY	ŤplČYd
s t ˈʌ d i	s t ˈʌ d i d	2103	study	studied	∅ -> d	regular	NA	stČĂdi	stČĂdid
θ ˈæ ŋ k	θ ˈæ ŋ k t	2063	thank	thanked	∅ -> t	regular	NA	TČQNk	TČQNkt
ə v ˈɔɪ d	ə v ˈɔɪ d ə d	2057	avoid	avoided	∅ -> ɪ d	regular	NA	ŤvČOd	ŤvČOdŤd
ɹ ɪ f j ˈu z	ɹ ɪ f j ˈu z d	2043	refuse	refused	∅ -> d	regular	NA	rIfjČuz	rIfjČuzd
m ˈɛ n tʃ ə n	m ˈɛ n tʃ ə n d	2023	mention	mentioned	∅ -> d	regular	NA	mČEnCŤn	mČEnCŤnd
ə k ˈoʊ ɹ d	ə k ˈoʊ ɹ d ə d	2010	accord	accorded	∅ -> ɪ d	regular	NA	ŤkČord	ŤkČordŤd
s t ɹ ˈaɪ k	s t ɹ ˈʌ k	1999	strike	struck	a ɪ -> ʌ	irregular	NA	strČYk	strČĂk
v ˈɪ z ə t	v ˈɪ z ə t ə d	1975	visit	visited	∅ -> ɪ d	regular	NA	vČIzŤt	vČIzŤtŤd
ə s ˈu m	ə s ˈu m d	1968	assume	assumed	∅ -> d	regular	NA	ŤsČum	ŤsČumd
t ˈʌ tʃ	t ˈʌ tʃ t	1967	touch	touched	∅ -> t	regular	NA	tČĂC	tČĂCt
ɪ n k ˈɚ ɪ dʒ	ɪ n k ˈɚ ɪ dʒ d	1925	encourage	encouraged	∅ -> d	regular	NA	InkČŐIJ	InkČŐIJd
b ˈeɪ ɹ	b ˈoʊ ɹ	1917	bear	bore	e -> o	irregular	NA	bČer	bČor
ɹ ɪ p ˈoʊ ɹ t	ɹ ɪ p ˈoʊ ɹ t ə d	1882	report	reported	∅ -> ɪ d	regular	NA	rIpČort	rIpČortŤd
ɪ k s p ɹ ˈɛ s	ɪ k s p ɹ ˈɛ s t	1874	express	expressed	∅ -> t	regular	NA	IksprČEs	IksprČEst
d ˈi l	d ˈɛ l t	1871	deal	dealt	i l -> ɛ l t	irregular	NA	dČil	dČElt
ɹ ɪ m ˈu v	ɹ ɪ m ˈu v d	1865	remove	removed	∅ -> d	regular	NA	rImČuv	rImČuvd
d ɪ s t ɹ ˈɔɪ	d ɪ s t ɹ ˈɔɪ d	1860	destroy	destroyed	∅ -> d	regular	NA	dIstrČO	dIstrČOd
ɹ ɪ g ˈa ɹ d	ɹ ɪ g ˈa ɹ d ə d	1860	regard	regarded	∅ -> ɪ d	regular	NA	rIgČard	rIgČardŤd
ɹ ɛ p ɹ ɪ z ˈɛ n t	ɹ ɛ p ɹ ɪ z ˈɛ n t ə d	1829	represent	represented	∅ -> ɪ d	regular	NA	rEprIzČEnt	rEprIzČEntŤd
h ˈaɪ d	h ˈɪ d	1804	hide	hid	a -> ∅	irregular	NA	hČYd	hČId
p l ˈeɪ s	p l ˈeɪ s t	1802	place	placed	∅ -> t	regular	NA	plČes	plČest
k l ˈeɪ m	k l ˈeɪ m d	1794	claim	claimed	∅ -> d	regular	NA	klČem	klČemd
h ˈɪ t	h ˈɪ t	1792	hit	hit	no_change	irregular	NA	hČIt	hČIt
p ɹ ɪ z ˈɛ n t	p ɹ ɪ z ˈɛ n t ə d	1773	present	presented	∅ -> ɪ d	regular	NA	prIzČEnt	prIzČEntŤd
t ɹ ˈi t	t ɹ ˈi t ə d	1764	treat	treated	∅ -> ɪ d	regular	NA	trČit	trČitŤd
ə d m ˈɪ t	ə d m ˈɪ t ə d	1747	admit	admitted	∅ -> ɪ d	regular	NA	ŤdmČIt	ŤdmČItŤd
w ˈɚ i	w ˈɚ i d	1727	worry	worried	∅ -> d	regular	NA	wČŐi	wČŐid
f l ˈaɪ	f l ˈu	1715	fly	flew	a ɪ -> u	irregular	NA	flČY	flČu
m eɪ n t ˈeɪ n	m eɪ n t ˈeɪ n d	1713	maintain	maintained	∅ -> d	regular	NA	mentČen	mentČend
t ɹ ˈæ v ə l	t ɹ ˈæ v ə l d	1702	travel	travelled	∅ -> d	regular	NA	trČQvŤl	trČQvŤld
ɪ m p ɹ ˈu v	ɪ m p ɹ ˈu v d	1685	improve	improved	∅ -> d	regular	NA	ImprČuv	ImprČuvd
s t ˈɪ k	s t ˈʌ k	1683	stick	stuck	ɪ -> ʌ	irregular	NA	stČIk	stČĂk
p ɹ ɪ v ˈɛ n t	p ɹ ɪ v ˈɛ n t ə d	1676	prevent	prevented	∅ -> ɪ d	regular	NA	prIvČEnt	prIvČEntŤd
w ˈɔ ʃ	w ˈɔ ʃ t	1663	wash	washed	∅ -> t	regular	NA	wČS	wČSt
k l ˈaɪ m	k l ˈaɪ m d	1643	climb	climbed	∅ -> d	regular	NA	klČYm	klČYmd
h ˈeɪ t	h ˈeɪ t ə d	1643	hate	hated	∅ -> ɪ d	regular	NA	hČet	hČetŤd
ɪ n t ɹ ə d ˈu s	ɪ n t ɹ ə d ˈu s t	1626	introduce	introduced	∅ -> t	regular	NA	IntrŤdČus	IntrŤdČust
ɹ ˈɪ ŋ	ɹ ˈæ ŋ	1625	ring	rang	ɪ -> ɑ	irregular	NA	rČIN	rČQN
m ˈæ t ɚ	m ˈæ t ɚ d	1622	matter	mattered	∅ -> d	regular	NA	mČQtŐ	mČQtŐd
s ɚ v ˈaɪ v	s ɚ v ˈaɪ v d	1603	survive	survived	∅ -> d	regular	NA	sŐvČYv	sŐvČYvd
ˈoʊ n	ˈoʊ n d	1599	own	owned	∅ -> d	regular	NA	Čon	Čond
ə ɹ ˈeɪ n dʒ	ə ɹ ˈeɪ n dʒ d	1587	arrange	arranged	∅ -> d	regular	NA	ŤrČenJ	ŤrČenJd
l ˈɪ f t	l ˈɪ f t ə d	1578	lift	lifted	∅ -> ɪ d	regular	NA	lČIft	lČIftŤd
s p ɹ ˈɛ d	s p ɹ ˈɛ d	1578	spread	spread	no_change	irregular	NA	sprČEd	sprČEd
b ˈɚ n	b ˈɚ n d	1577	burn	burned	∅ -> d	regular	NA	bČŐn	bČŐnd
