lemma	form	tag	model_rating
d r eː k ə	d r aː k ə	V.PTCP;PST	0.75
f ɪ n ə	f ɪ n d ə	V.PTCP;PST	0.969593147751606
f ɪ n ə	f ɔ n ə	V.PTCP;PST	0.631578947368421
f l ɛɪ p ə	f l ɛɪ p t ə	V.PTCP;PST	0.7956989247311828
f l ɛɪ p ə	f l eː p ə	V.PTCP;PST	0.8021978021978022
f l ɪ m ə	f l ɪ m d ə	V.PTCP;PST	0.9546079779917469
f l ɪ m ə	f l ɔ m ə	V.PTCP;PST	0.6792452830188679
ɣ eː z ə	ɣ aː r ə	V.PTCP;PST	0
ɣ eː z ə	ɣ aː z ə	V.PTCP;PST	0.6333333333333333
h ɑ l ə	h ɑ l d ə	V.PTCP;PST	0.9727868852459016
h ɑ l ə	h iː l ə	V.PTCP;PST	0
j ɪ n ə	j ɪ n d ə	V.PTCP;PST	0.969593147751606
j ɪ n ə	j ɔ n ə	V.PTCP;PST	0.631578947368421
k ɛɪ ɣ ə	k ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
k ɛɪ ɣ ə	k eː ɣ ə	V.PTCP;PST	0.7735849056603774
k ɛ r ɣ ə	k ɛ r ɣ d ə	V.PTCP;PST	0.9185694635488308
k ɛ r ɣ ə	k ɔ r ɣ ə	V.PTCP;PST	0.45454545454545453
k ɪ n ə	k ɪ n d ə	V.PTCP;PST	0.969593147751606
k ɪ n ə	k ɔ n ə	V.PTCP;PST	0.5555555555555556
k l ɛɪ ɣ ə	k l ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
k l ɛɪ ɣ ə	k l eː ɣ ə	V.PTCP;PST	0.8235294117647058
k l ɛɪ p ə	k l ɛɪ p t ə	V.PTCP;PST	0.7956989247311828
k l ɛɪ p ə	k l eː p ə	V.PTCP;PST	0.8021978021978022
k n eː k ə	k n eː k t ə	V.PTCP;PST	0.8085419734904271
k n eː k ə	k n aː k ə	V.PTCP;PST	0.39603960396039606
k n ɪ m ə	k n ɪ m d ə	V.PTCP;PST	0.9546079779917469
k n ɪ m ə	k n ɔ m ə	V.PTCP;PST	0
k n ɪ ŋ ə	k n ɪ ŋ d ə	V.PTCP;PST	0.9444765760555234
k n ɪ ŋ ə	k n ɔ ŋ ə	V.PTCP;PST	0
k r aː ɣ ə	k r aː ɣ d ə	V.PTCP;PST	0.9185694635488308
k r aː ɣ ə	k r uː ɣ ə	V.PTCP;PST	0.627906976744186
k r eː k ə	k r eː k t ə	V.PTCP;PST	0.8085419734904271
k r eː k ə	k r aː k ə	V.PTCP;PST	0.75
k r ɛɪ n ə	k r ɛɪ n d ə	V.PTCP;PST	0.969593147751606
k r ɛɪ n ə	k r eː n ə	V.PTCP;PST	0.6089385474860335
k r iː z ə	k r iː z d ə	V.PTCP;PST	0.9536178107606679
k r iː z ə	k r oː z ə	V.PTCP;PST	0.5833333333333334
k r ɪ m ə	k r ɪ m d ə	V.PTCP;PST	0.9546079779917469
k r ɪ m ə	k r ɔ m ə	V.PTCP;PST	0.72
k r ɪ ŋ ə	k r ɪ ŋ d ə	V.PTCP;PST	0.9444765760555234
k r ɪ ŋ ə	k r ɔ ŋ ə	V.PTCP;PST	0.7692307692307693
k w ɑ s ə	k w ɑ s t ə	V.PTCP;PST	0.9367088607594937
k w ɑ s ə	k w iː s ə	V.PTCP;PST	0.3557692307692308
n eː z ə	n aː r ə	V.PTCP;PST	0
n eː z ə	n aː z ə	V.PTCP;PST	0.32558139534883723
n ɛɪ v ə	n ɛɪ v d ə	V.PTCP;PST	0.9210151126318791
n ɛɪ v ə	n eː v ə	V.PTCP;PST	0.8021978021978022
n ʊɪ k ə	n ʊɪ k t ə	V.PTCP;PST	0.8357894736842105
n ʊɪ k ə	n oː k ə	V.PTCP;PST	0.6590909090909091
ɔ n t r aː r ə	ɔ n t r aː r d ə	V.PTCP;PST	0.9784419402253797
ɔ n t r aː r ə	ɔ n t r iː r ə	V.PTCP;PST	0
ɔ n t r ʊɪ k ə	ɔ n t r ʊɪ k t ə	V.PTCP;PST	0.8357894736842105
ɔ n t r ʊɪ k ə	ɔ n t r oː k ə	V.PTCP;PST	0.6461538461538462
p l ɛɪ z ə	p l ɛɪ z d ə	V.PTCP;PST	0.9536178107606679
p l ɛɪ z ə	p l eː z ə	V.PTCP;PST	0.7222222222222222
p r ɪ n ə	p r ɪ n d ə	V.PTCP;PST	0.969593147751606
p r ɪ n ə	p r ɔ n ə	V.PTCP;PST	0.5789473684210527
s n ɛɪ k ə	s n ɛɪ k t ə	V.PTCP;PST	0.8357894736842105
s n ɛɪ k ə	s n eː k ə	V.PTCP;PST	0.7117117117117117
s n ʊɪ p ə	s n ʊɪ p t ə	V.PTCP;PST	0.7956989247311828
s n ʊɪ p ə	s n oː p ə	V.PTCP;PST	0.6825396825396826
ʃ ɛɪ ɣ ə	ʃ ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
ʃ ɛɪ ɣ ə	ʃ eː ɣ ə	V.PTCP;PST	0.8222222222222222
ʃ ɪ n ə	ʃ ɪ n d ə	V.PTCP;PST	0.969593147751606
ʃ ɪ n ə	ʃ ɔ n ə	V.PTCP;PST	0.5555555555555556
ʃ ɪ ŋ k ə	ʃ ɪ ŋ k t ə	V.PTCP;PST	0.76895943562610225
ʃ ɪ ŋ k ə	ʃ ɔ ŋ k ə	V.PTCP;PST	0.6336633663366337
t ɛ r v ə	t ɛ r v d ə	V.PTCP;PST	0.9210151126318791
t ɛ r v ə	t iː r v ə	V.PTCP;PST	0.42105263157894735
t r eː m ə	t r eː m d ə	V.PTCP;PST	0.9546079779917469
t r eː m ə	t r aː m ə	V.PTCP;PST	0.34545454545454546
t r eː z ə	t r aː r ə	V.PTCP;PST	0
t r eː z ə	t r aː z ə	V.PTCP;PST	0.3333333333333333
t r iː z ə	t r iː z d ə	V.PTCP;PST	0.9536178107606679
t r iː z ə	t r oː z ə	V.PTCP;PST	0.5833333333333334
t r ɪ ŋ ə	t r ɪ ŋ d ə	V.PTCP;PST	0.9444765760555234
t r ɪ ŋ ə	t r ɔ ŋ ə	V.PTCP;PST	0.7692307692307693
t r ʊɪ k ə	t r ʊɪ k t ə	V.PTCP;PST	0.8357894736842105
t r ʊɪ k ə	t r oː k ə	V.PTCP;PST	0.6461538461538462
v eː z ə	v eː z d ə	V.PTCP;PST	0.9536178107606679
v eː z ə	v aː z ə	V.PTCP;PST	0.5106382978723404
v ə r aː ɣ ə	v ə r aː ɣ d ə	V.PTCP;PST	0.9185694635488308
v ə r aː ɣ ə	v ə r iː ɣ ə	V.PTCP;PST	0
v ə r aː v ə	v ə r aː v d ə	V.PTCP;PST	0.9210151126318791
v ə r aː v ə	v ə r iː v ə	V.PTCP;PST	0
v ə r d r ɪ k ə	v ə r d r ɪ k t ə	V.PTCP;PST	0.86
v ə r d r ɪ k ə	v ə r d r ɔ k ə	V.PTCP;PST	0.5733333333333334
v ə r h ɑ f ə	v ə r h ɑ f t ə	V.PTCP;PST	0.9272237196765498
v ə r h ɑ f ə	v ə r h iː v ə	V.PTCP;PST	0
v ə r h eː k ə	v ə r h eː k t ə	V.PTCP;PST	0.8085419734904271
v ə r h eː k ə	v ə r h aː k ə	V.PTCP;PST	0.3163265306122449
v ə r z ɛɪ k ə	v ə r z ɛɪ k t ə	V.PTCP;PST	0.8357894736842105
v ə r z ɛɪ k ə	v ə r z eː k ə	V.PTCP;PST	0.696078431372549
v ɛɪ ɣ ə	v ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
v ɛɪ ɣ ə	v eː ɣ ə	V.PTCP;PST	0.7222222222222222
v ɛɪ k ə	v ɛɪ k t ə	V.PTCP;PST	0.8357894736842105
v ɛɪ k ə	v eː k ə	V.PTCP;PST	0.656084656084656
v ɛɪ s ə	v ɛɪ s t ə	V.PTCP;PST	0.9367088607594937
v ɛɪ s ə	v eː s ə	V.PTCP;PST	0.656084656084656
v ɪ n ə	v ɪ n d ə	V.PTCP;PST	0.969593147751606
v ɪ n ə	v ɔ n ə	V.PTCP;PST	0.631578947368421
v l aː z ə	v l aː z d ə	V.PTCP;PST	0.9536178107606679
v l aː z ə	v l iː z ə	V.PTCP;PST	0.41935483870967744
w ɛɪ ɣ ə	w ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
w ɛɪ ɣ ə	w eː ɣ ə	V.PTCP;PST	0.8222222222222222
w ɛ r ɣ ə	w ɛ r ɣ d ə	V.PTCP;PST	0.9185694635488308
w ɛ r ɣ ə	w iː r ɣ ə	V.PTCP;PST	0.22
w ʊɪ k ə	w ʊɪ k t ə	V.PTCP;PST	0.8357894736842105
w ʊɪ k ə	w oː k ə	V.PTCP;PST	0
x eː m ə	x eː m d ə	V.PTCP;PST	0.9546079779917469
x eː m ə	x aː m ə	V.PTCP;PST	0.4318181818181818
x eː z ə	x aː z ə	V.PTCP;PST	0.5652173913043478
x eː z ə	x aː r ə	V.PTCP;PST	0
x ɛɪ ɣ ə	x ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
x ɛɪ ɣ ə	x eː ɣ ə	V.PTCP;PST	0.8222222222222222
x ɛ l ə	x ɛ l d ə	V.PTCP;PST	0.9815340909090909
x ɛ l ə	x ɔ l ə	V.PTCP;PST	0.6071428571428571
x ɛ l p ə	x ɛ l p t ə	V.PTCP;PST	0.7857142857142857
x ɛ l p ə	x ɔ l p ə	V.PTCP;PST	0.6071428571428571
x r ɛɪ ɣ ə	x r ɛɪ ɣ d ə	V.PTCP;PST	0.9185694635488308
x r ɛɪ ɣ ə	x r eː ɣ ə	V.PTCP;PST	0.8235294117647058
x r ɛɪ k ə	x r ɛɪ k t ə	V.PTCP;PST	0.8357894736842105
x r ɛɪ k ə	x r eː k ə	V.PTCP;PST	0.8227848101265823
z iː z ə	z iː z d ə	V.PTCP;PST	0.9536178107606679
z iː z ə	z iː s t ə	V.PTCP;PST	0.05405405405405406
z ɪ m ə	z ɪ m d ə	V.PTCP;PST	0.9546079779917469
z ɪ m ə	z ɔ m ə	V.PTCP;PST	0.6792452830188679
z ʊɪ k ə	z ʊɪ k t ə	V.PTCP;PST	0.8357894736842105
z ʊɪ k ə	z oː k ə	V.PTCP;PST	0.6923076923076923
z ʊɪ v ə	z ʊɪ v d ə	V.PTCP;PST	0.9210151126318791
z ʊɪ v ə	z oː v ə	V.PTCP;PST	0.6825396825396826
z w ɑ ŋ ə	z w ɑ ŋ d ə	V.PTCP;PST	0.9444765760555234
z w ɑ ŋ ə	z w ɪ ŋ d ə	V.PTCP;PST	0
z w ɑ s ə	z w ɑ s t ə	V.PTCP;PST	0.9367088607594937
z w ɑ s ə	z w iː s ə	V.PTCP;PST	0.3557692307692308
z w ɛ ŋ ə	z w ɛ ŋ d ə	V.PTCP;PST	0.9444765760555234
z w ɛ ŋ ə	z w ɔ ŋ ə	V.PTCP;PST	0.41379310344827586
z w ɪ ŋ ə	z w ɪ ŋ d ə	V.PTCP;PST	0.9444765760555234
z w ɪ ŋ ə	z w ɔ ŋ ə	V.PTCP;PST	0.7678571428571429
z w ɪ ŋ k ə	z w ɪ ŋ k t ə	V.PTCP;PST	0.76895943562610225
z w ɪ ŋ k ə	z w ɔ ŋ k ə	V.PTCP;PST	0.7142857142857143
