level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
164	220	ɑ x t ə r ʊɪ t x aː n	ɑ x t ə r ʊɪ t x ɪ ŋ ə	achteruitgaan	achteruitgingen	⋊ ɑ x t ə r ʊ ɪ t x aː n ⋉	⋊ ɑ x t ə r ʊ ɪ t x ɪ ŋ ə ⋉
173	231	k eː ɣ ə l ə	k eː ɣ ə l d ə	kegelen	kegelden	⋊ k eː ɣ ə l ə ⋉	⋊ k eː ɣ ə l d ə ⋉
180	240	m ɛ n s t r yː w eː r ə	m ɛ n s t r yː w eː r d ə	menstrueren	menstrueerden	⋊ m ɛ n s t r yː w eː r ə ⋉	⋊ m ɛ n s t r yː w eː r d ə ⋉
186	246	f ɛɪ n m aː l ə	f ɛɪ n m aː l d ə	fijnmalen	fijnmaalden	⋊ f ɛ ɪ n m aː l ə ⋉	⋊ f ɛ ɪ n m aː l d ə ⋉
193	255	s n ʊɪ s t ə r ə	s n ʊɪ s t ə r d ə	snuisteren	snuisterden	⋊ s n ʊ ɪ s t ə r ə ⋉	⋊ s n ʊ ɪ s t ə r d ə ⋉
202	264	s x ɛ r m ə	s x ɛ r m d ə	schermen	schermden	⋊ s x ɛ r m ə ⋉	⋊ s x ɛ r m d ə ⋉
213	278	oː v ə r s p eː l ə	oː v ə r s p eː l d ə	overspelen	overspeelden	⋊ oː v ə r s p eː l ə ⋉	⋊ oː v ə r s p eː l d ə ⋉
215	281	d eː v ɛ s t eː r ə	d eː v ɛ s t eː r d ə	devesteren	devesteerden	⋊ d eː v ɛ s t eː r ə ⋉	⋊ d eː v ɛ s t eː r d ə ⋉
238	312	s p ʊ t ə r ə	s p ʊ t ə r d ə	sputteren	sputterden	⋊ s p ʊ t ə r ə ⋉	⋊ s p ʊ t ə r d ə ⋉
248	327	v ə r s oː b ə r ə	v ə r s oː b ə r d ə	versoberen	versoberden	⋊ v ə r s oː b ə r ə ⋉	⋊ v ə r s oː b ə r d ə ⋉
249	331	t ɛ k t iː l eː r ə	t ɛ k t iː l eː r d ə	tectyleren	tectyleerden	⋊ t ɛ k t iː l eː r ə ⋉	⋊ t ɛ k t iː l eː r d ə ⋉
266	356	ɔ n t f l ʊ x t ə	ɔ n t f l ʊ x t ə	ontvluchten	ontvluchtten	⋊ ɔ n t f l ʊ x t ə ⋉	⋊ ɔ n t f l ʊ x t ə ⋉
267	357	k l ɛ m ə	k l ɛ m d ə	klemmen	klemden	⋊ k l ɛ m ə ⋉	⋊ k l ɛ m d ə ⋉
281	377	ɑ f s t ɛ l ə	ɑ f s t ɛ l d ə	afstellen	afstelden	⋊ ɑ f s t ɛ l ə ⋉	⋊ ɑ f s t ɛ l d ə ⋉
298	396	ʊɪ t s iː k ə	ʊɪ t s iː k t ə	uitzieken	uitziekten	⋊ ʊ ɪ t s iː k ə ⋉	⋊ ʊ ɪ t s iː k t ə ⋉
299	397	k iː s k ɑʊ w ə	k iː s k ɑʊ w d ə	kieskauwen	kieskauwden	⋊ k iː s k ɑ ʊ w ə ⋉	⋊ k iː s k ɑ ʊ w d ə ⋉
302	400	s t iː r ə	s t iː r d ə	stieren	stierden	⋊ s t iː r ə ⋉	⋊ s t iː r d ə ⋉
306	405	m oː n oː p oː l iː z eː r ə	m oː n oː p oː l iː z eː r d ə	monopoliseren	monopoliseerden	⋊ m oː n oː p oː l iː z eː r ə ⋉	⋊ m oː n oː p oː l iː z eː r d ə ⋉
326	436	f r aː t ɛ r n iː z eː r ə	f r aː t ɛ r n iː z eː r d ə	fraterniseren	fraterniseerden	⋊ f r aː t ɛ r n iː z eː r ə ⋉	⋊ f r aː t ɛ r n iː z eː r d ə ⋉
334	451	r uː p ə	r iː p ə	roepen	riepen	⋊ r uː p ə ⋉	⋊ r iː p ə ⋉
348	473	r ɔ n t s x ɛ ŋ k ə	r ɔ n t s x ɔ ŋ k ə	rondschenken	rondschonken	⋊ r ɔ n t s x ɛ ŋ k ə ⋉	⋊ r ɔ n t s x ɔ ŋ k ə ⋉
353	480	d ɔ l d r aː j ə	d ɔ l d r aː j d ə	doldraaien	doldraaiden	⋊ d ɔ l d r aː j ə ⋉	⋊ d ɔ l d r aː j d ə ⋉
371	505	s l oː j ə	s l oː j d ə	slooien	slooiden	⋊ s l oː j ə ⋉	⋊ s l oː j d ə ⋉
379	516	ɪ ŋ k ɑ s ə	ɪ ŋ k ɑ s t ə	inkassen	inkasten	⋊ ɪ ŋ k ɑ s ə ⋉	⋊ ɪ ŋ k ɑ s t ə ⋉
390	530	n oː t yː l eː r ə	n oː t yː l eː r d ə	notuleren	notuleerden	⋊ n oː t yː l eː r ə ⋉	⋊ n oː t yː l eː r d ə ⋉
394	538	w ɑ f ə l ə	w ɑ f ə l d ə	waffelen	waffelden	⋊ w ɑ f ə l ə ⋉	⋊ w ɑ f ə l d ə ⋉
411	563	d ʊ n ə	d ʊ n d ə	dunnen	dunden	⋊ d ʊ n ə ⋉	⋊ d ʊ n d ə ⋉
417	571	v ʊɪ l m aː k ə	v ʊɪ l m aː k t ə	vuilmaken	vuilmaakten	⋊ v ʊ ɪ l m aː k ə ⋉	⋊ v ʊ ɪ l m aː k t ə ⋉
423	579	s t ɪ ŋ k ə	s t ɔ ŋ k ə	stinken	stonken	⋊ s t ɪ ŋ k ə ⋉	⋊ s t ɔ ŋ k ə ⋉
426	583	ɔ n d b r eː k ə	ɔ n d b r aː k ə	ontbreken	ontbraken	⋊ ɔ n d b r eː k ə ⋉	⋊ ɔ n d b r aː k ə ⋉
438	602	r eː m iː l iː t aː r iː z eː r ə	r eː m iː l iː t aː r iː z eː r d ə	remilitariseren	remilitariseerden	⋊ r eː m iː l iː t aː r iː z eː r ə ⋉	⋊ r eː m iː l iː t aː r iː z eː r d ə ⋉
444	612	d ɪ x t k n ɛɪ p ə	d ɪ x t k n eː p ə	dichtknijpen	dichtknepen	⋊ d ɪ x t k n ɛ ɪ p ə ⋉	⋊ d ɪ x t k n eː p ə ⋉
448	616	w ʊ r ɣ ə	w ʊ r ɣ d ə	wurgen	wurgden	⋊ w ʊ r ɣ ə ⋉	⋊ w ʊ r ɣ d ə ⋉
453	622	k aː v ə l ə	k aː v ə l d ə	keuvelen	keuvelden	⋊ k aː v ə l ə ⋉	⋊ k aː v ə l d ə ⋉
465	639	k w aː l iː f iː s eː r ə	k w aː l iː f iː s eː r d ə	kwalificeren	kwalificeerden	⋊ k w aː l iː f iː s eː r ə ⋉	⋊ k w aː l iː f iː s eː r d ə ⋉
478	653	s t ɔ r t ə	s t ɔ r t ə	storten	stortten	⋊ s t ɔ r t ə ⋉	⋊ s t ɔ r t ə ⋉
490	671	ʊ n d yː l eː r ə	ʊ n d yː l eː r d ə	unduleren	unduleerden	⋊ ʊ n d yː l eː r ə ⋉	⋊ ʊ n d yː l eː r d ə ⋉
491	674	b ə ɣ l yː r ə	b ə ɣ l yː r d ə	begluren	begluurden	⋊ b ə ɣ l yː r ə ⋉	⋊ b ə ɣ l yː r d ə ⋉
496	682	ɔ n d ə r d ɛ k ə	ɔ n d ə r d ɛ k t ə	onderdekken	onderdekten	⋊ ɔ n d ə r d ɛ k ə ⋉	⋊ ɔ n d ə r d ɛ k t ə ⋉
501	690	ɑ f iː t s ə	ɑ f iː t s t ə	affietsen	affietsten	⋊ ɑ f iː t s ə ⋉	⋊ ɑ f iː t s t ə ⋉
516	708	k l ɛɪ n ɑ x t ə	k l ɛɪ n ɑ x t ə	kleinachten	kleinachtten	⋊ k l ɛ ɪ n ɑ x t ə ⋉	⋊ k l ɛ ɪ n ɑ x t ə ⋉
517	709	x l oː r oː f ɔ r m eː r ə	x l oː r oː f ɔ r m eː r d ə	chloroformeren	chloroformeerden	⋊ x l oː r oː f ɔ r m eː r ə ⋉	⋊ x l oː r oː f ɔ r m eː r d ə ⋉
519	711	ɔ t ə r ə	ɔ t ə r d ə	otteren	otterden	⋊ ɔ t ə r ə ⋉	⋊ ɔ t ə r d ə ⋉
522	716	h ɑ l v eː r ə	h ɑ l v eː r d ə	halveren	halveerden	⋊ h ɑ l v eː r ə ⋉	⋊ h ɑ l v eː r d ə ⋉
531	729	p l oː j ə	p l oː j d ə	plooien	plooiden	⋊ p l oː j ə ⋉	⋊ p l oː j d ə ⋉
534	732	d eː m oː b iː l iː z eː r ə	d eː m oː b iː l iː z eː r d ə	demobiliseren	demobiliseerden	⋊ d eː m oː b iː l iː z eː r ə ⋉	⋊ d eː m oː b iː l iː z eː r d ə ⋉
537	738	t r aː n oː ɣ ə	t r aː n oː ɣ d ə	traanogen	traanoogden	⋊ t r aː n oː ɣ ə ⋉	⋊ t r aː n oː ɣ d ə ⋉
547	749	v ə r v aː r d ə ɣ ə	v ə r v aː r d ə ɣ d ə	vervaardigen	vervaardigden	⋊ v ə r v aː r d ə ɣ ə ⋉	⋊ v ə r v aː r d ə ɣ d ə ⋉
557	765	w ɪ x ə l ə	w ɪ x ə l d ə	wichelen	wichelden	⋊ w ɪ x ə l ə ⋉	⋊ w ɪ x ə l d ə ⋉
559	767	m eː d iː j aː t iː z eː r ə	m eː d iː j aː t iː z eː r d ə	mediatiseren	mediatiseerden	⋊ m eː d iː j aː t iː z eː r ə ⋉	⋊ m eː d iː j aː t iː z eː r d ə ⋉
561	769	s x oː t ə l ə	s x oː t ə l d ə	schotelen	schotelden	⋊ s x oː t ə l ə ⋉	⋊ s x oː t ə l d ə ⋉
571	786	aː s ə m ə	aː s ə m d ə	asemen	asemden	⋊ aː s ə m ə ⋉	⋊ aː s ə m d ə ⋉
583	806	oː v ə r s p ɛ l ə	oː v ə r s p ɛ l d ə	overspellen	overspelden	⋊ oː v ə r s p ɛ l ə ⋉	⋊ oː v ə r s p ɛ l d ə ⋉
584	807	aː m yː z eː r ə	aː m yː z eː r d ə	amuseren	amuseerden	⋊ aː m yː z eː r ə ⋉	⋊ aː m yː z eː r d ə ⋉
591	817	b ɛɪ b ɑʊ w ə	b ɛɪ b ɑʊ w d ə	bijbouwen	bijbouwden	⋊ b ɛ ɪ b ɑ ʊ w ə ⋉	⋊ b ɛ ɪ b ɑ ʊ w d ə ⋉
599	827	k ɔ n s oː l iː d eː r ə	k ɔ n s oː l iː d eː r d ə	consolideren	consolideerden	⋊ k ɔ n s oː l iː d eː r ə ⋉	⋊ k ɔ n s oː l iː d eː r d ə ⋉
607	841	s x iː m ɑ n ə	s x iː m ɑ n d ə	schiemannen	schiemanden	⋊ s x iː m ɑ n ə ⋉	⋊ s x iː m ɑ n d ə ⋉
612	846	d ɛɪ j ə	d ɛɪ d ə	dijen	dijden	⋊ d ɛ ɪ j ə ⋉	⋊ d ɛ ɪ d ə ⋉
613	847	t r ɛ k ə b ɛ k ə	t r ɛ k ə b ɛ k t ə	trekkebekken	trekkebekten	⋊ t r ɛ k ə b ɛ k ə ⋉	⋊ t r ɛ k ə b ɛ k t ə ⋉
615	850	v ə r b l ʊ f ə	v ə r b l ʊ f t ə	verbluffen	verbluften	⋊ v ə r b l ʊ f ə ⋉	⋊ v ə r b l ʊ f t ə ⋉
627	867	ɑ f h ɛ x t ə	ɑ f h ɛ x t ə	afhechten	afhechtten	⋊ ɑ f h ɛ x t ə ⋉	⋊ ɑ f h ɛ x t ə ⋉
636	879	r ɪ ŋ ə l oː r ə	r ɪ ŋ ə l oː r d ə	ringeloren	ringeloorden	⋊ r ɪ ŋ ə l oː r ə ⋉	⋊ r ɪ ŋ ə l oː r d ə ⋉
644	888	ɔ n d ə r s p uː l ə	ɔ n d ə r s p uː l d ə	onderspoelen	onderspoelden	⋊ ɔ n d ə r s p uː l ə ⋉	⋊ ɔ n d ə r s p uː l d ə ⋉
645	891	f ɛɪ n t r ɑ p ə	f ɛɪ n t r ɑ p t ə	fijntrappen	fijntrapten	⋊ f ɛ ɪ n t r ɑ p ə ⋉	⋊ f ɛ ɪ n t r ɑ p t ə ⋉
646	892	x r ɪ l ə	x r ɪ l d ə	grillen	grilden	⋊ x r ɪ l ə ⋉	⋊ x r ɪ l d ə ⋉
651	899	b r ɪ l ə	b r ɪ l d ə	brillen	brilden	⋊ b r ɪ l ə ⋉	⋊ b r ɪ l d ə ⋉
659	910	x ɑ s ə	x ɑ s t ə	gassen	gasten	⋊ x ɑ s ə ⋉	⋊ x ɑ s t ə ⋉
670	929	w ɛ x s l ʊɪ p ə	w ɛ x s l oː p ə	wegsluipen	wegslopen	⋊ w ɛ x s l ʊ ɪ p ə ⋉	⋊ w ɛ x s l oː p ə ⋉
708	978	t uː l aː t ə	t uː l iː t ə	toelaten	toelieten	⋊ t uː l aː t ə ⋉	⋊ t uː l iː t ə ⋉
710	981	m ɔ p ə r ə	m ɔ p ə r d ə	mopperen	mopperden	⋊ m ɔ p ə r ə ⋉	⋊ m ɔ p ə r d ə ⋉
712	984	v oː r ɔ p s t ɛ l ə	v oː r ɔ p s t ɛ l d ə	vooropstellen	vooropstelden	⋊ v oː r ɔ p s t ɛ l ə ⋉	⋊ v oː r ɔ p s t ɛ l d ə ⋉
717	995	m uː l eː r ə	m uː l eː r d ə	mouleren	mouleerden	⋊ m uː l eː r ə ⋉	⋊ m uː l eː r d ə ⋉
718	996	ʊɪ d b aː t ə	ʊɪ d b aː t ə	uitbaten	uitbaatten	⋊ ʊ ɪ d b aː t ə ⋉	⋊ ʊ ɪ d b aː t ə ⋉
721	1000	b ɔ t ə	b ɔ t ə	botten	botten	⋊ b ɔ t ə ⋉	⋊ b ɔ t ə ⋉
724	1003	ɔ n t w aː r ə	ɔ n t w aː r d ə	ontwaren	ontwaarden	⋊ ɔ n t w aː r ə ⋉	⋊ ɔ n t w aː r d ə ⋉
726	1005	ʊɪ t s t aː n	ʊɪ t s t ɔ n d ə	uitstaan	uitstonden	⋊ ʊ ɪ t s t aː n ⋉	⋊ ʊ ɪ t s t ɔ n d ə ⋉
743	1029	w aː t ə r f iː t s ə	w aː t ə r f iː t s t ə	waterfietsen	waterfietsten	⋊ w aː t ə r f iː t s ə ⋉	⋊ w aː t ə r f iː t s t ə ⋉
761	1054	ɔ p k ɔ m ɑ n d eː r ə	ɔ p k ɔ m ɑ n d eː r d ə	opcommanderen	opcommandeerden	⋊ ɔ p k ɔ m ɑ n d eː r ə ⋉	⋊ ɔ p k ɔ m ɑ n d eː r d ə ⋉
770	1066	v oː r t f ə r t ɛ l ə	v oː r t f ə r t ɛ l d ə	voortvertellen	voortvertelden	⋊ v oː r t f ə r t ɛ l ə ⋉	⋊ v oː r t f ə r t ɛ l d ə ⋉
781	1084	ɔ p r ɔ t ə	ɔ p r ɔ t ə	oprotten	oprotten	⋊ ɔ p r ɔ t ə ⋉	⋊ ɔ p r ɔ t ə ⋉
790	1095	f l eː m ə	f l eː m d ə	flemen	fleemden	⋊ f l eː m ə ⋉	⋊ f l eː m d ə ⋉
793	1099	aː n f iː t s ə	aː n f iː t s t ə	aanfietsen	aanfietsten	⋊ aː n f iː t s ə ⋉	⋊ aː n f iː t s t ə ⋉
800	1106	b ə ɣ r aː z ə	b ə ɣ r aː z d ə	begrazen	begraasden	⋊ b ə ɣ r aː z ə ⋉	⋊ b ə ɣ r aː z d ə ⋉
823	1143	s n uː p ə	s n uː p t ə	snoepen	snoepten	⋊ s n uː p ə ⋉	⋊ s n uː p t ə ⋉
828	1149	n aː t yː r ə	n aː t yː r d ə	naturen	natuurden	⋊ n aː t yː r ə ⋉	⋊ n aː t yː r d ə ⋉
839	1164	ɪ ŋ k r ʊɪ p ə	ɪ ŋ k r oː p ə	inkruipen	inkropen	⋊ ɪ ŋ k r ʊ ɪ p ə ⋉	⋊ ɪ ŋ k r oː p ə ⋉
847	1173	l eː x h aː l ə	l eː x h aː l d ə	leeghalen	leeghaalden	⋊ l eː x h aː l ə ⋉	⋊ l eː x h aː l d ə ⋉
849	1176	ɛ k s iː b eː r ə	ɛ k s iː b eː r d ə	exhiberen	exhibeerden	⋊ ɛ k s iː b eː r ə ⋉	⋊ ɛ k s iː b eː r d ə ⋉
850	1177	t uː m ɛ t s ə l ə	t uː m ɛ t s ə l d ə	toemetselen	toemetselden	⋊ t uː m ɛ t s ə l ə ⋉	⋊ t uː m ɛ t s ə l d ə ⋉
851	1178	d eː p uː j eː r ə	d eː p uː j eː r d ə	depouilleren	depouilleerden	⋊ d eː p uː j eː r ə ⋉	⋊ d eː p uː j eː r d ə ⋉
869	1199	s ɔ l iː s iː t eː r ə	s ɔ l iː s iː t eː r d ə	solliciteren	solliciteerden	⋊ s ɔ l iː s iː t eː r ə ⋉	⋊ s ɔ l iː s iː t eː r d ə ⋉
871	1203	h ɛ r b ə ɣ ɪ n ə	h ɛ r b ə ɣ ɔ n ə	herbeginnen	herbegonnen	⋊ h ɛ r b ə ɣ ɪ n ə ⋉	⋊ h ɛ r b ə ɣ ɔ n ə ⋉
879	1211	t r ɑ n s iː ɣ eː r ə	t r ɑ n s iː ɣ eː r d ə	transigeren	transigeerden	⋊ t r ɑ n s iː ɣ eː r ə ⋉	⋊ t r ɑ n s iː ɣ eː r d ə ⋉
880	1212	v ə r ɛ ŋ ə l s ə	v ə r ɛ ŋ ə l s t ə	verengelsen	verengelsten	⋊ v ə r ɛ ŋ ə l s ə ⋉	⋊ v ə r ɛ ŋ ə l s t ə ⋉
884	1217	b ɛɪ h ɑ r k ə	b ɛɪ h ɑ r k t ə	bijharken	bijharkten	⋊ b ɛ ɪ h ɑ r k ə ⋉	⋊ b ɛ ɪ h ɑ r k t ə ⋉
895	1228	f l yː w ɔ r eː r ə	f l yː w ɔ r eː r d ə	fluoreren	fluoreerden	⋊ f l yː w ɔ r eː r ə ⋉	⋊ f l yː w ɔ r eː r d ə ⋉
900	1235	k r aː m ə	k r aː m d ə	kramen	kraamden	⋊ k r aː m ə ⋉	⋊ k r aː m d ə ⋉
913	1254	s m ɛ t ə	s m ɛ t ə	smetten	smetten	⋊ s m ɛ t ə ⋉	⋊ s m ɛ t ə ⋉
923	1267	r ɔ n t x eː v ə	r ɔ n t x aː v ə	rondgeven	rondgaven	⋊ r ɔ n t x eː v ə ⋉	⋊ r ɔ n t x aː v ə ⋉
927	1272	r ɪ ŋ ə	r ɪ ŋ d ə	ringen	ringden	⋊ r ɪ ŋ ə ⋉	⋊ r ɪ ŋ d ə ⋉
934	1281	aː n s x ɑ r ə l ə	aː n s x ɑ r ə l d ə	aanscharrelen	aanscharrelden	⋊ aː n s x ɑ r ə l ə ⋉	⋊ aː n s x ɑ r ə l d ə ⋉
936	1284	n eː r k l ɑ d ə	n eː r k l ɑ d ə	neerkladden	neerkladden	⋊ n eː r k l ɑ d ə ⋉	⋊ n eː r k l ɑ d ə ⋉
941	1292	v ə r s p ɪ l ə	v ə r s p ɪ l d ə	verspillen	verspilden	⋊ v ə r s p ɪ l ə ⋉	⋊ v ə r s p ɪ l d ə ⋉
949	1304	k l ʊ n z ə	k l ʊ n z d ə	klunzen	klunsden	⋊ k l ʊ n z ə ⋉	⋊ k l ʊ n z d ə ⋉
960	1316	n oː t iː f iː s eː r ə	n oː t iː f iː s eː r d ə	notificeren	notificeerden	⋊ n oː t iː f iː s eː r ə ⋉	⋊ n oː t iː f iː s eː r d ə ⋉
963	1319	ɔ b j ɛ k t iː v eː r ə	ɔ b j ɛ k t iː v eː r d ə	objectiveren	objectiveerden	⋊ ɔ b j ɛ k t iː v eː r ə ⋉	⋊ ɔ b j ɛ k t iː v eː r d ə ⋉
966	1324	d eː s ɛ n s iː b iː l iː z eː r ə	d eː s ɛ n s iː b iː l iː z eː r d ə	desensibiliseren	desensibiliseerden	⋊ d eː s ɛ n s iː b iː l iː z eː r ə ⋉	⋊ d eː s ɛ n s iː b iː l iː z eː r d ə ⋉
977	1338	k r uː l ə	k r uː l d ə	kroelen	kroelden	⋊ k r uː l ə ⋉	⋊ k r uː l d ə ⋉
1000	1367	v ə r h ɑ s p ə l ə	v ə r h ɑ s p ə l d ə	verhaspelen	verhaspelden	⋊ v ə r h ɑ s p ə l ə ⋉	⋊ v ə r h ɑ s p ə l d ə ⋉
1010	1378	v ə r d iː t s ə	v ə r d iː t s t ə	verdietsen	verdietsten	⋊ v ə r d iː t s ə ⋉	⋊ v ə r d iː t s t ə ⋉
1015	1387	ʊɪ t s x aː k ə l ə	ʊɪ t s x aː k ə l d ə	uitschakelen	uitschakelden	⋊ ʊ ɪ t s x aː k ə l ə ⋉	⋊ ʊ ɪ t s x aː k ə l d ə ⋉
1018	1390	v ə r b eː t ə r ə	v ə r b eː t ə r d ə	verbeteren	verbeterden	⋊ v ə r b eː t ə r ə ⋉	⋊ v ə r b eː t ə r d ə ⋉
1025	1397	r aː k l ɛ t ə	r aː k l ɛ t ə	racletten	racletten	⋊ r aː k l ɛ t ə ⋉	⋊ r aː k l ɛ t ə ⋉
1043	1418	ɔ p s t ɛɪ v ə	ɔ p s t ɛɪ v d ə	opstijven	opstijfden	⋊ ɔ p s t ɛ ɪ v ə ⋉	⋊ ɔ p s t ɛ ɪ v d ə ⋉
1045	1420	ɔ n d ə r ɪ x t ə	ɔ n d ə r ɪ x t ə	onderrichten	onderrichtten	⋊ ɔ n d ə r ɪ x t ə ⋉	⋊ ɔ n d ə r ɪ x t ə ⋉
1046	1421	b r ʊɪ n ə	b r ʊɪ n d ə	bruinen	bruinden	⋊ b r ʊ ɪ n ə ⋉	⋊ b r ʊ ɪ n d ə ⋉
1048	1423	ʊɪ t f aː r d ə ɣ ə	ʊɪ t f aː r d ə ɣ d ə	uitvaardigen	uitvaardigden	⋊ ʊ ɪ t f aː r d ə ɣ ə ⋉	⋊ ʊ ɪ t f aː r d ə ɣ d ə ⋉
1049	1426	d aː r l aː t ə	d aː r l iː t ə	daarlaten	daarlieten	⋊ d aː r l aː t ə ⋉	⋊ d aː r l iː t ə ⋉
1061	1444	s p ɛɪ k ə r ə	s p ɛɪ k ə r d ə	spijkeren	spijkerden	⋊ s p ɛ ɪ k ə r ə ⋉	⋊ s p ɛ ɪ k ə r d ə ⋉
1062	1445	n uː m ə	n uː m d ə	noemen	noemden	⋊ n uː m ə ⋉	⋊ n uː m d ə ⋉
1071	1455	d r ɑ m ə	d r ɑ m d ə	drammen	dramden	⋊ d r ɑ m ə ⋉	⋊ d r ɑ m d ə ⋉
1072	1456	x ɛ k s x eː r ə	x ɛ k s x eː r d ə	gekscheren	gekscheerden	⋊ x ɛ k s x eː r ə ⋉	⋊ x ɛ k s x eː r d ə ⋉
1078	1463	l ɑ m s l aː n	l ɑ m s l uː ɣ ə	lamslaan	lamsloegen	⋊ l ɑ m s l aː n ⋉	⋊ l ɑ m s l uː ɣ ə ⋉
1080	1467	ɔ n t ʊɪ ɣ ə	ɔ n t ʊɪ ɣ d ə	onttuigen	onttuigden	⋊ ɔ n t ʊ ɪ ɣ ə ⋉	⋊ ɔ n t ʊ ɪ ɣ d ə ⋉
1096	1485	k ɔ n s iː d ə r eː r ə	k ɔ n s iː d ə r eː r d ə	considereren	considereerden	⋊ k ɔ n s iː d ə r eː r ə ⋉	⋊ k ɔ n s iː d ə r eː r d ə ⋉
