wordform1	wordform2	stem	output
f ɪ n ə	f ɔ n ə	⋊ f ɪ n ə ⋉	⋊ f ɔ n ə ⋉
f l ɛɪ p ə	f l ɛɪ p t ə	⋊ f l ɛ ɪ p ə ⋉	⋊ f l ɛ ɪ p t ə ⋉
f l ɛɪ p ə	f l eː p ə	⋊ f l ɛ ɪ p ə ⋉	⋊ f l eː p ə ⋉
f l ɪ m ə	f l ɪ m d ə	⋊ f l ɪ m ə ⋉	⋊ f l ɪ m d ə ⋉
f l ɪ m ə	f l ɔ m ə	⋊ f l ɪ m ə ⋉	⋊ f l ɔ m ə ⋉
ɣ eː z ə	ɣ aː r ə	⋊ ɣ eː z ə ⋉	⋊ ɣ aː r ə ⋉
ɣ eː z ə	ɣ aː z ə	⋊ ɣ eː z ə ⋉	⋊ ɣ aː z ə ⋉
h ɑ l ə	h ɑ l d ə	⋊ h ɑ l ə ⋉	⋊ h ɑ l d ə ⋉
h ɑ l ə	h iː l ə	⋊ h ɑ l ə ⋉	⋊ h iː l ə ⋉
j ɪ n ə	j ɪ n d ə	⋊ j ɪ n ə ⋉	⋊ j ɪ n d ə ⋉
j ɪ n ə	j ɔ n ə	⋊ j ɪ n ə ⋉	⋊ j ɔ n ə ⋉
k ɛɪ ɣ ə	k ɛɪ ɣ d ə	⋊ k ɛ ɪ ɣ ə ⋉	⋊ k ɛ ɪ ɣ d ə ⋉
k ɛɪ ɣ ə	k eː ɣ ə	⋊ k ɛ ɪ ɣ ə ⋉	⋊ k eː ɣ ə ⋉
k ɛ r ɣ ə	k ɛ r ɣ d ə	⋊ k ɛ r ɣ ə ⋉	⋊ k ɛ r ɣ d ə ⋉
k ɛ r ɣ ə	k ɔ r ɣ ə	⋊ k ɛ r ɣ ə ⋉	⋊ k ɔ r ɣ ə ⋉
k ɪ n ə	k ɪ n d ə	⋊ k ɪ n ə ⋉	⋊ k ɪ n d ə ⋉
k ɪ n ə	k ɔ n ə	⋊ k ɪ n ə ⋉	⋊ k ɔ n ə ⋉
k l ɛɪ ɣ ə	k l ɛɪ ɣ d ə	⋊ k l ɛ ɪ ɣ ə ⋉	⋊ k l ɛ ɪ ɣ d ə ⋉
k l ɛɪ ɣ ə	k l eː ɣ ə	⋊ k l ɛ ɪ ɣ ə ⋉	⋊ k l eː ɣ ə ⋉
k l ɛɪ p ə	k l ɛɪ p t ə	⋊ k l ɛ ɪ p ə ⋉	⋊ k l ɛ ɪ p t ə ⋉
k l ɛɪ p ə	k l eː p ə	⋊ k l ɛ ɪ p ə ⋉	⋊ k l eː p ə ⋉
k n eː k ə	k n eː k t ə	⋊ k n eː k ə ⋉	⋊ k n eː k t ə ⋉
k n eː k ə	k n aː k ə	⋊ k n eː k ə ⋉	⋊ k n aː k ə ⋉
k n ɪ m ə	k n ɪ m d ə	⋊ k n ɪ m ə ⋉	⋊ k n ɪ m d ə ⋉
k n ɪ m ə	k n ɔ m ə	⋊ k n ɪ m ə ⋉	⋊ k n ɔ m ə ⋉
k n ɪ ŋ ə	k n ɪ ŋ d ə	⋊ k n ɪ ŋ ə ⋉	⋊ k n ɪ ŋ d ə ⋉
k n ɪ ŋ ə	k n ɔ ŋ ə	⋊ k n ɪ ŋ ə ⋉	⋊ k n ɔ ŋ ə ⋉
k r aː ɣ ə	k r aː ɣ d ə	⋊ k r aː ɣ ə ⋉	⋊ k r aː ɣ d ə ⋉
k r aː ɣ ə	k r uː ɣ ə	⋊ k r aː ɣ ə ⋉	⋊ k r uː ɣ ə ⋉
k r eː k ə	k r eː k t ə	⋊ k r eː k ə ⋉	⋊ k r eː k t ə ⋉
k r eː k ə	k r aː k ə	⋊ k r eː k ə ⋉	⋊ k r aː k ə ⋉
k r ɛɪ n ə	k r ɛɪ n d ə	⋊ k r ɛ ɪ n ə ⋉	⋊ k r ɛ ɪ n d ə ⋉
k r ɛɪ n ə	k r eː n ə	⋊ k r ɛ ɪ n ə ⋉	⋊ k r eː n ə ⋉
k r iː z ə	k r iː z d ə	⋊ k r iː z ə ⋉	⋊ k r iː z d ə ⋉
k r iː z ə	k r oː z ə	⋊ k r iː z ə ⋉	⋊ k r oː z ə ⋉
k r ɪ m ə	k r ɪ m d ə	⋊ k r ɪ m ə ⋉	⋊ k r ɪ m d ə ⋉
k r ɪ m ə	k r ɔ m ə	⋊ k r ɪ m ə ⋉	⋊ k r ɔ m ə ⋉
k r ɪ ŋ ə	k r ɪ ŋ d ə	⋊ k r ɪ ŋ ə ⋉	⋊ k r ɪ ŋ d ə ⋉
k r ɪ ŋ ə	k r ɔ ŋ ə	⋊ k r ɪ ŋ ə ⋉	⋊ k r ɔ ŋ ə ⋉
k w ɑ s ə	k w ɑ s t ə	⋊ k w ɑ s ə ⋉	⋊ k w ɑ s t ə ⋉
k w ɑ s ə	k w iː s ə	⋊ k w ɑ s ə ⋉	⋊ k w iː s ə ⋉
n eː z ə	n aː r ə	⋊ n eː z ə ⋉	⋊ n aː r ə ⋉
n eː z ə	n aː z ə	⋊ n eː z ə ⋉	⋊ n aː z ə ⋉
n ɛɪ v ə	n ɛɪ v d ə	⋊ n ɛ ɪ v ə ⋉	⋊ n ɛ ɪ v d ə ⋉
n ɛɪ v ə	n eː v ə	⋊ n ɛ ɪ v ə ⋉	⋊ n eː v ə ⋉
n ʊɪ k ə	n ʊɪ k t ə	⋊ n ʊ ɪ k ə ⋉	⋊ n ʊ ɪ k t ə ⋉
n ʊɪ k ə	n oː k ə	⋊ n ʊ ɪ k ə ⋉	⋊ n oː k ə ⋉
ɔ n t r aː r ə	ɔ n t r aː r d ə	⋊ ɔ n t r aː r ə ⋉	⋊ ɔ n t r aː r d ə ⋉
ɔ n t r aː r ə	ɔ n t r iː r ə	⋊ ɔ n t r aː r ə ⋉	⋊ ɔ n t r iː r ə ⋉
ɔ n t r ʊɪ k ə	ɔ n t r ʊɪ k t ə	⋊ ɔ n t r ʊ ɪ k ə ⋉	⋊ ɔ n t r ʊ ɪ k t ə ⋉
ɔ n t r ʊɪ k ə	ɔ n t r oː k ə	⋊ ɔ n t r ʊ ɪ k ə ⋉	⋊ ɔ n t r oː k ə ⋉
p l ɛɪ z ə	p l ɛɪ z d ə	⋊ p l ɛ ɪ z ə ⋉	⋊ p l ɛ ɪ z d ə ⋉
p l ɛɪ z ə	p l eː z ə	⋊ p l ɛ ɪ z ə ⋉	⋊ p l eː z ə ⋉
p r ɪ n ə	p r ɪ n d ə	⋊ p r ɪ n ə ⋉	⋊ p r ɪ n d ə ⋉
p r ɪ n ə	p r ɔ n ə	⋊ p r ɪ n ə ⋉	⋊ p r ɔ n ə ⋉
s n ɛɪ k ə	s n ɛɪ k t ə	⋊ s n ɛ ɪ k ə ⋉	⋊ s n ɛ ɪ k t ə ⋉
s n ɛɪ k ə	s n eː k ə	⋊ s n ɛ ɪ k ə ⋉	⋊ s n eː k ə ⋉
s n ʊɪ p ə	s n ʊɪ p t ə	⋊ s n ʊ ɪ p ə ⋉	⋊ s n ʊ ɪ p t ə ⋉
s n ʊɪ p ə	s n oː p ə	⋊ s n ʊ ɪ p ə ⋉	⋊ s n oː p ə ⋉
ʃ ɛɪ ɣ ə	ʃ ɛɪ ɣ d ə	⋊ ʃ ɛ ɪ ɣ ə ⋉	⋊ ʃ ɛ ɪ ɣ d ə ⋉
ʃ ɛɪ ɣ ə	ʃ eː ɣ ə	⋊ ʃ ɛ ɪ ɣ ə ⋉	⋊ ʃ eː ɣ ə ⋉
ʃ ɪ n ə	ʃ ɪ n d ə	⋊ ʃ ɪ n ə ⋉	⋊ ʃ ɪ n d ə ⋉
ʃ ɪ n ə	ʃ ɔ n ə	⋊ ʃ ɪ n ə ⋉	⋊ ʃ ɔ n ə ⋉
ʃ ɪ ŋ k ə	ʃ ɪ ŋ k t ə	⋊ ʃ ɪ ŋ k ə ⋉	⋊ ʃ ɪ ŋ k t ə ⋉
ʃ ɪ ŋ k ə	ʃ ɔ ŋ k ə	⋊ ʃ ɪ ŋ k ə ⋉	⋊ ʃ ɔ ŋ k ə ⋉
t ɛ r v ə	t ɛ r v d ə	⋊ t ɛ r v ə ⋉	⋊ t ɛ r v d ə ⋉
t ɛ r v ə	t iː r v ə	⋊ t ɛ r v ə ⋉	⋊ t iː r v ə ⋉
t r eː m ə	t r eː m d ə	⋊ t r eː m ə ⋉	⋊ t r eː m d ə ⋉
t r eː m ə	t r aː m ə	⋊ t r eː m ə ⋉	⋊ t r aː m ə ⋉
t r eː z ə	t r aː r ə	⋊ t r eː z ə ⋉	⋊ t r aː r ə ⋉
t r eː z ə	t r aː z ə	⋊ t r eː z ə ⋉	⋊ t r aː z ə ⋉
t r iː z ə	t r iː z d ə	⋊ t r iː z ə ⋉	⋊ t r iː z d ə ⋉
t r iː z ə	t r oː z ə	⋊ t r iː z ə ⋉	⋊ t r oː z ə ⋉
t r ɪ ŋ ə	t r ɪ ŋ d ə	⋊ t r ɪ ŋ ə ⋉	⋊ t r ɪ ŋ d ə ⋉
t r ɪ ŋ ə	t r ɔ ŋ ə	⋊ t r ɪ ŋ ə ⋉	⋊ t r ɔ ŋ ə ⋉
t r ʊɪ k ə	t r ʊɪ k t ə	⋊ t r ʊ ɪ k ə ⋉	⋊ t r ʊ ɪ k t ə ⋉
t r ʊɪ k ə	t r oː k ə	⋊ t r ʊ ɪ k ə ⋉	⋊ t r oː k ə ⋉
v eː z ə	v eː z d ə	⋊ v eː z ə ⋉	⋊ v eː z d ə ⋉
v eː z ə	v aː z ə	⋊ v eː z ə ⋉	⋊ v aː z ə ⋉
v ə r aː ɣ ə	v ə r aː ɣ d ə	⋊ v ə r aː ɣ ə ⋉	⋊ v ə r aː ɣ d ə ⋉
v ə r aː ɣ ə	v ə r iː ɣ ə	⋊ v ə r aː ɣ ə ⋉	⋊ v ə r iː ɣ ə ⋉
v ə r aː v ə	v ə r aː v d ə	⋊ v ə r aː v ə ⋉	⋊ v ə r aː v d ə ⋉
v ə r aː v ə	v ə r iː v ə	⋊ v ə r aː v ə ⋉	⋊ v ə r iː v ə ⋉
v ə r d r ɪ k ə	v ə r d r ɪ k t ə	⋊ v ə r d r ɪ k ə ⋉	⋊ v ə r d r ɪ k t ə ⋉
v ə r d r ɪ k ə	v ə r d r ɔ k ə	⋊ v ə r d r ɪ k ə ⋉	⋊ v ə r d r ɔ k ə ⋉
v ə r h ɑ f ə	v ə r h ɑ f t ə	⋊ v ə r h ɑ f ə ⋉	⋊ v ə r h ɑ f t ə ⋉
v ə r h ɑ f ə	v ə r h iː v ə	⋊ v ə r h ɑ f ə ⋉	⋊ v ə r h iː v ə ⋉
v ə r h eː k ə	v ə r h eː k t ə	⋊ v ə r h eː k ə ⋉	⋊ v ə r h eː k t ə ⋉
v ə r h eː k ə	v ə r h aː k ə	⋊ v ə r h eː k ə ⋉	⋊ v ə r h aː k ə ⋉
v ə r z ɛɪ k ə	v ə r z ɛɪ k t ə	⋊ v ə r z ɛ ɪ k ə ⋉	⋊ v ə r z ɛ ɪ k t ə ⋉
v ə r z ɛɪ k ə	v ə r z eː k ə	⋊ v ə r z ɛ ɪ k ə ⋉	⋊ v ə r z eː k ə ⋉
v ɛɪ ɣ ə	v ɛɪ ɣ d ə	⋊ v ɛ ɪ ɣ ə ⋉	⋊ v ɛ ɪ ɣ d ə ⋉
v ɛɪ ɣ ə	v eː ɣ ə	⋊ v ɛ ɪ ɣ ə ⋉	⋊ v eː ɣ ə ⋉
v ɛɪ k ə	v ɛɪ k t ə	⋊ v ɛ ɪ k ə ⋉	⋊ v ɛ ɪ k t ə ⋉
v ɛɪ k ə	v eː k ə	⋊ v ɛ ɪ k ə ⋉	⋊ v eː k ə ⋉
v ɛɪ s ə	v ɛɪ s t ə	⋊ v ɛ ɪ s ə ⋉	⋊ v ɛ ɪ s t ə ⋉
v ɛɪ s ə	v eː s ə	⋊ v ɛ ɪ s ə ⋉	⋊ v eː s ə ⋉
v ɪ n ə	v ɪ n d ə	⋊ v ɪ n ə ⋉	⋊ v ɪ n d ə ⋉
v ɪ n ə	v ɔ n ə	⋊ v ɪ n ə ⋉	⋊ v ɔ n ə ⋉
v l aː z ə	v l aː z d ə	⋊ v l aː z ə ⋉	⋊ v l aː z d ə ⋉
v l aː z ə	v l iː z ə	⋊ v l aː z ə ⋉	⋊ v l iː z ə ⋉
w ɛɪ ɣ ə	w ɛɪ ɣ d ə	⋊ w ɛ ɪ ɣ ə ⋉	⋊ w ɛ ɪ ɣ d ə ⋉
w ɛɪ ɣ ə	w eː ɣ ə	⋊ w ɛ ɪ ɣ ə ⋉	⋊ w eː ɣ ə ⋉
w ɛ r ɣ ə	w ɛ r ɣ d ə	⋊ w ɛ r ɣ ə ⋉	⋊ w ɛ r ɣ d ə ⋉
w ɛ r ɣ ə	w iː r ɣ ə	⋊ w ɛ r ɣ ə ⋉	⋊ w iː r ɣ ə ⋉
w ʊɪ k ə	w ʊɪ k t ə	⋊ w ʊ ɪ k ə ⋉	⋊ w ʊ ɪ k t ə ⋉
w ʊɪ k ə	w oː k ə	⋊ w ʊ ɪ k ə ⋉	⋊ w oː k ə ⋉
x eː m ə	x eː m d ə	⋊ x eː m ə ⋉	⋊ x eː m d ə ⋉
x eː m ə	x aː m ə	⋊ x eː m ə ⋉	⋊ x aː m ə ⋉
x eː z ə	x aː z ə	⋊ x eː z ə ⋉	⋊ x aː z ə ⋉
x eː z ə	x aː r ə	⋊ x eː z ə ⋉	⋊ x aː r ə ⋉
x ɛɪ ɣ ə	x ɛɪ ɣ d ə	⋊ x ɛ ɪ ɣ ə ⋉	⋊ x ɛ ɪ ɣ d ə ⋉
x ɛɪ ɣ ə	x eː ɣ ə	⋊ x ɛ ɪ ɣ ə ⋉	⋊ x eː ɣ ə ⋉
x ɛ l ə	x ɛ l d ə	⋊ x ɛ l ə ⋉	⋊ x ɛ l d ə ⋉
x ɛ l ə	x ɔ l ə	⋊ x ɛ l ə ⋉	⋊ x ɔ l ə ⋉
x ɛ l p ə	x ɛ l p t ə	⋊ x ɛ l p ə ⋉	⋊ x ɛ l p t ə ⋉
x ɛ l p ə	x ɔ l p ə	⋊ x ɛ l p ə ⋉	⋊ x ɔ l p ə ⋉
x r ɛɪ ɣ ə	x r ɛɪ ɣ d ə	⋊ x r ɛ ɪ ɣ ə ⋉	⋊ x r ɛ ɪ ɣ d ə ⋉
x r ɛɪ ɣ ə	x r eː ɣ ə	⋊ x r ɛ ɪ ɣ ə ⋉	⋊ x r eː ɣ ə ⋉
x r ɛɪ k ə	x r ɛɪ k t ə	⋊ x r ɛ ɪ k ə ⋉	⋊ x r ɛ ɪ k t ə ⋉
x r ɛɪ k ə	x r eː k ə	⋊ x r ɛ ɪ k ə ⋉	⋊ x r eː k ə ⋉
z iː z ə	z iː z d ə	⋊ z iː z ə ⋉	⋊ z iː z d ə ⋉
z iː z ə	z iː s t ə	⋊ z iː z ə ⋉	⋊ z iː s t ə ⋉
z ɪ m ə	z ɪ m d ə	⋊ z ɪ m ə ⋉	⋊ z ɪ m d ə ⋉
z ɪ m ə	z ɔ m ə	⋊ z ɪ m ə ⋉	⋊ z ɔ m ə ⋉
z ʊɪ k ə	z ʊɪ k t ə	⋊ z ʊ ɪ k ə ⋉	⋊ z ʊ ɪ k t ə ⋉
z ʊɪ k ə	z oː k ə	⋊ z ʊ ɪ k ə ⋉	⋊ z oː k ə ⋉
z ʊɪ v ə	z ʊɪ v d ə	⋊ z ʊ ɪ v ə ⋉	⋊ z ʊ ɪ v d ə ⋉
z ʊɪ v ə	z oː v ə	⋊ z ʊ ɪ v ə ⋉	⋊ z oː v ə ⋉
z w ɑ ŋ ə	z w ɑ ŋ d ə	⋊ z w ɑ ŋ ə ⋉	⋊ z w ɑ ŋ d ə ⋉
z w ɑ ŋ ə	z w ɪ ŋ d ə	⋊ z w ɑ ŋ ə ⋉	⋊ z w ɪ ŋ d ə ⋉
z w ɑ s ə	z w ɑ s t ə	⋊ z w ɑ s ə ⋉	⋊ z w ɑ s t ə ⋉
z w ɑ s ə	z w iː s ə	⋊ z w ɑ s ə ⋉	⋊ z w iː s ə ⋉
z w ɛ ŋ ə	z w ɛ ŋ d ə	⋊ z w ɛ ŋ ə ⋉	⋊ z w ɛ ŋ d ə ⋉
z w ɛ ŋ ə	z w ɔ ŋ ə	⋊ z w ɛ ŋ ə ⋉	⋊ z w ɔ ŋ ə ⋉
z w ɪ ŋ ə	z w ɪ ŋ d ə	⋊ z w ɪ ŋ ə ⋉	⋊ z w ɪ ŋ d ə ⋉
z w ɪ ŋ ə	z w ɔ ŋ ə	⋊ z w ɪ ŋ ə ⋉	⋊ z w ɔ ŋ ə ⋉
z w ɪ ŋ k ə	z w ɪ ŋ k t ə	⋊ z w ɪ ŋ k ə ⋉	⋊ z w ɪ ŋ k t ə ⋉
z w ɪ ŋ k ə	z w ɔ ŋ k ə	⋊ z w ɪ ŋ k ə ⋉	⋊ z w ɔ ŋ k ə ⋉
