level_0	index	wordform1	wordform2	wordform1_orth	wordform2_orth	stem	output
1210	1672	f ɛ r v ɪ k ə l n	f ɛ r v ɪ k ə l t	verwickeln	verwickelt	⋊ f ɛ r v ɪ k ə l n ⋉	⋊ f ɛ r v ɪ k ə l t ⋉
1234	1707	d aː h ɪ n ʃ t eː ə n	d aː h ɪ n g ə ʃ t a n d ə n	dahinstehen	dahingestanden	⋊ d aː h ɪ n ʃ t eː ə n ⋉	⋊ d aː h ɪ n g ə ʃ t a n d ə n ⋉
1249	1726	f ɪ ʃ ə n	g ə f ɪ ʃ t	fischen	gefischt	⋊ f ɪ ʃ ə n ⋉	⋊ f ɪ ʃ t ⋉
1284	1769	l iː f ə r n	g ə l iː f ə r t	liefern	geliefert	⋊ l iː f ə r n ⋉	⋊ l iː f ə r t ⋉
1341	1853	h ɛ r a n t a s t ə n	h ɛ r a n g ə t a s t ə t	herantasten	herangetastet	⋊ h ɛ r a n t a s t ə n ⋉	⋊ h ɛ r a n g ə t a s t ə t ⋉
1368	1886	ɪ n t ə r n a l iː z iː r ə n	ɪ n t ə r n a l iː z iː r t	internalisieren	internalisiert	⋊ ɪ n t ə r n a l iː z iː r ə n ⋉	⋊ ɪ n t ə r n a l iː z iː r t ⋉
1388	1909	r a ŋ ʒ iː r ə n	r a ŋ ʒ iː r t	rangieren	rangiert	⋊ r a ŋ ʒ iː r ə n ⋉	⋊ r a ŋ ʒ iː r t ⋉
1400	1923	f ɛ r v ɪ ʃ ə n	f ɛ r v ɪ ʃ t	verwischen	verwischt	⋊ f ɛ r v ɪ ʃ ə n ⋉	⋊ f ɛ r v ɪ ʃ t ⋉
1416	1944	a p aː r t ə n	a p g ə aː r t ə t	abarten	abgeartet	⋊ a p aː r t ə n ⋉	⋊ a p g ə aː r t ə t ⋉
1447	1982	v ai̯ t ə r ʃ p iː l ə n	v ai̯ t ə r g ə ʃ p iː l t	weiterspielen	weitergespielt	⋊ v a i t ə r ʃ p iː l ə n ⋉	⋊ v a i t ə r g ə ʃ p iː l t ⋉
1449	1984	z iː d ə l n	g ə z iː d ə l t	siedeln	gesiedelt	⋊ z iː d ə l n ⋉	⋊ z iː d ə l t ⋉
1502	2064	au̯ f h ɛ ts ə n	au̯ f g ə h ɛ ts t	aufhetzen	aufgehetzt	⋊ a u f h ɛ ts ə n ⋉	⋊ a u f g ə h ɛ ts t ⋉
1511	2077	ɛ r t r ɔ ts ə n	ɛ r t r ɔ ts t	ertrotzen	ertrotzt	⋊ ɛ r t r ɔ ts ə n ⋉	⋊ ɛ r t r ɔ ts t ⋉
1522	2096	ʊ n t ə r ʃ ɛ ts ə n	ʊ n t ə r ʃ ɛ ts t	unterschätzen	unterschätzt	⋊ ʊ n t ə r ʃ ɛ ts ə n ⋉	⋊ ʊ n t ə r ʃ ɛ ts t ⋉
1538	2115	ts uː v a k s ə n	ts uː g ə v a k s ə n	zuwachsen	zugewachsen	⋊ ts uː v a k s ə n ⋉	⋊ ts uː g ə v a k s ə n ⋉
1540	2117	ʊ n t ə r ʃ t eː ə n	ʊ n t ə r ʃ t a n d ə n	unterstehen	unterstanden	⋊ ʊ n t ə r ʃ t eː ə n ⋉	⋊ ʊ n t ə r ʃ t a n d ə n ⋉
1599	2192	ts uː ts iː ə n	ts uː g ə ts oː g ə n	zuziehen	zugezogen	⋊ ts uː ts iː ə n ⋉	⋊ ts uː g ə ts oː g ə n ⋉
1640	2244	au̯ s ʃ aː l ə n	au̯ s g ə ʃ aː l t	ausschalen	ausgeschalt	⋊ a u s ʃ aː l ə n ⋉	⋊ a u s g ə ʃ aː l t ⋉
1642	2246	r eː ts iː p iː r ə n	r eː ts iː p iː r t	rezipieren	rezipiert	⋊ r eː ts iː p iː r ə n ⋉	⋊ r eː ts iː p iː r t ⋉
1662	2272	h ɛ r f oː r g eː ə n	h ɛ r f oː r g ə g a ŋ ə n	hervorgehen	hervorgegangen	⋊ h ɛ r f oː r g eː ə n ⋉	⋊ h ɛ r f oː r g ə g a ŋ ə n ⋉
1671	2283	b ə ʃ t r ɪ k ə n	b ə ʃ t r ɪ k t	bestricken	bestrickt	⋊ b ə ʃ t r ɪ k ə n ⋉	⋊ b ə ʃ t r ɪ k t ⋉
1673	2285	f ɛ r ʃ ai̯ d ə n	f ɛ r ʃ iː d ə n	verscheiden	verschieden	⋊ f ɛ r ʃ a i d ə n ⋉	⋊ f ɛ r ʃ iː d ə n ⋉
1677	2290	g ɛː n ə n	g ə g ɛː n t	gaehnen	gegaehnt	⋊ g ɛː n ə n ⋉	⋊ g ɛː n t ⋉
1687	2302	ɛ r v a x ə n	ɛ r v a x t	erwachen	erwacht	⋊ ɛ r v a x ə n ⋉	⋊ ɛ r v a x t ⋉
1693	2316	ɛ n t ʃ ɛː d ɪ g ə n	ɛ n t ʃ ɛː d ɪ ç t	entschädigen	entschädigt	⋊ ɛ n t ʃ ɛː d ɪ g ə n ⋉	⋊ ɛ n t ʃ ɛː d ɪ ç t ⋉
1699	2325	k n a p s ə n	g ə k n a p s t	knapsen	geknapst	⋊ k n a p s ə n ⋉	⋊ k n a p s t ⋉
1732	2369	f ɛ r ʃ r ai̯ ə n	f ɛ r ʃ r iː n	verschreien	verschrien	⋊ f ɛ r ʃ r a i ə n ⋉	⋊ f ɛ r ʃ r iː n ⋉
1746	2392	au̯ s b a l a n s iː r ə n	au̯ s b a l a n s iː r t	ausbalancieren	ausbalanciert	⋊ a u s b a l a n s iː r ə n ⋉	⋊ a u s b a l a n s iː r t ⋉
1774	2434	ai̯ n h ai̯ ts ə n	ai̯ n g ə h ai̯ ts t	einheizen	eingeheizt	⋊ a i n h a i ts ə n ⋉	⋊ a i n g ə h a i ts t ⋉
1792	2455	d ʊ r ç m ʏ s ə n	d ʊ r ç g ə m ʊ s t	durchmüssen	durchgemusst	⋊ d ʊ r ç m ʏ s ə n ⋉	⋊ d ʊ r ç g ə m ʊ s t ⋉
1802	2468	au̯ f b r au̯ x ə n	au̯ f g ə b r au̯ x t	aufbrauchen	aufgebraucht	⋊ a u f b r a u x ə n ⋉	⋊ a u f g ə b r a u x t ⋉
1813	2480	b ə b r yː t ə n	b ə b r yː t ə t	bebrüten	bebrütet	⋊ b ə b r yː t ə n ⋉	⋊ b ə b r yː t ə t ⋉
1831	2498	yː b ə r r ʊ n d ə n	yː b ə r r ʊ n d ə t	überrunden	überrundet	⋊ yː b ə r r ʊ n d ə n ⋉	⋊ yː b ə r r ʊ n d ə t ⋉
1842	2515	a n r ai̯ z ə n	a n g ə r ai̯ s t	anreisen	angereist	⋊ a n r a i z ə n ⋉	⋊ a n g ə r a i s t ⋉
1849	2528	ʃ t ɛ m p ə l n	g ə ʃ t ɛ m p ə l t	stempeln	gestempelt	⋊ ʃ t ɛ m p ə l n ⋉	⋊ ʃ t ɛ m p ə l t ⋉
1869	2556	f ɛ r ʃ øː n ə n	f ɛ r ʃ øː n t	verschönen	verschönt	⋊ f ɛ r ʃ øː n ə n ⋉	⋊ f ɛ r ʃ øː n t ⋉
1873	2560	f ɔ l g ə n	g ə f ɔ l k t	folgen	gefolgt	⋊ f ɔ l g ə n ⋉	⋊ f ɔ l k t ⋉
1877	2565	a s iː m iː l iː r ə n	a s iː m iː l iː r t	assimilieren	assimiliert	⋊ a s iː m iː l iː r ə n ⋉	⋊ a s iː m iː l iː r t ⋉
1878	2566	d oi̯ t ə n	g ə d oi̯ t ə t	deuten	gedeutet	⋊ d o i t ə n ⋉	⋊ d o i t ə t ⋉
1915	2618	f ai̯ k s ə n	g ə f ai̯ k s t	feixen	gefeixt	⋊ f a i k s ə n ⋉	⋊ f a i k s t ⋉
1927	2631	g ə r aː d ə ʃ t eː ə n	g ə r aː d ə g ə ʃ t a n d ə n	geradestehen	geradegestanden	⋊ g ə r aː d ə ʃ t eː ə n ⋉	⋊ r aː d ə g ə ʃ t a n d ə n ⋉
1935	2643	v ɪ r tʃ a f t ə n	g ə v ɪ r tʃ a f t ə t	wirtschaften	gewirtschaftet	⋊ v ɪ r tʃ a f t ə n ⋉	⋊ v ɪ r tʃ a f t ə t ⋉
1980	2702	n aː x k au̯ f ə n	n aː x g ə k au̯ f t	nachkaufen	nachgekauft	⋊ n aː x k a u f ə n ⋉	⋊ n aː x g ə k a u f t ⋉
1988	2711	au̯ s r a s t ə n	au̯ s g ə r a s t ə t	ausrasten	ausgerastet	⋊ a u s r a s t ə n ⋉	⋊ a u s g ə r a s t ə t ⋉
1994	2719	a p l ɔ x ə n	a p g ə l ɔ x t	ablochen	abgelocht	⋊ a p l ɔ x ə n ⋉	⋊ a p g ə l ɔ x t ⋉
2033	2767	k ɔ n d iː ts iː oː n iː r ə n	k ɔ n d iː ts iː oː n iː r t	konditionieren	konditioniert	⋊ k ɔ n d iː ts iː oː n iː r ə n ⋉	⋊ k ɔ n d iː ts iː oː n iː r t ⋉
2047	2789	f ɔ l t a ŋ k ə n	f ɔ l g ə t a ŋ k t	volltanken	vollgetankt	⋊ f ɔ l t a ŋ k ə n ⋉	⋊ f ɔ l g ə t a ŋ k t ⋉
2073	2821	d eː l oː ʒ iː r ə n	d eː l oː ʒ iː r t	delogieren	delogiert	⋊ d eː l oː ʒ iː r ə n ⋉	⋊ d eː l oː ʒ iː r t ⋉
2084	2836	f ɛ r h øː n ə n	f ɛ r h øː n t	verhöhnen	verhöhnt	⋊ f ɛ r h øː n ə n ⋉	⋊ f ɛ r h øː n t ⋉
2105	2869	uː r b aː r iː z iː r ə n	uː r b aː r iː z iː r t	urbarisieren	urbarisiert	⋊ uː r b aː r iː z iː r ə n ⋉	⋊ uː r b aː r iː z iː r t ⋉
2110	2875	v ai̯ t ə r f ɛ r v ɛ n d ə n	v ai̯ t ə r f ɛ r v a n t	weiterverwenden	weiterverwandt	⋊ v a i t ə r f ɛ r v ɛ n d ə n ⋉	⋊ v a i t ə r f ɛ r v a n t ⋉
2127	2899	a n h ɛ r ʃ ə n	a n g ə h ɛ r ʃ t	anherrschen	angeherrscht	⋊ a n h ɛ r ʃ ə n ⋉	⋊ a n g ə h ɛ r ʃ t ⋉
2158	2946	au̯ f f a s ə n	au̯ f g ə f a s t	auffassen	aufgefasst	⋊ a u f f a s ə n ⋉	⋊ a u f g ə f a s t ⋉
2166	2956	ɪ m a t r iː k uː l iː r ə n	ɪ m a t r iː k uː l iː r t	immatrikulieren	immatrikuliert	⋊ ɪ m a t r iː k uː l iː r ə n ⋉	⋊ ɪ m a t r iː k uː l iː r t ⋉
2173	2964	a n r uː d ə r n	a n g ə r uː d ə r t	anrudern	angerudert	⋊ a n r uː d ə r n ⋉	⋊ a n g ə r uː d ə r t ⋉
2237	3042	a p r ʏ k ə n	a p g ə r ʏ k t	abrücken	abgerückt	⋊ a p r ʏ k ə n ⋉	⋊ a p g ə r ʏ k t ⋉
2278	3089	p r oː p a g iː r ə n	p r oː p a g iː r t	propagieren	propagiert	⋊ p r oː p a g iː r ə n ⋉	⋊ p r oː p a g iː r t ⋉
2281	3095	f ɛ r l ai̯ ə n	f ɛ r l iː n	verleihen	verliehn	⋊ f ɛ r l a i ə n ⋉	⋊ f ɛ r l iː n ⋉
2320	3147	ʃ œ pf ə n	g ə ʃ œ pf t	schöpfen	geschöpft	⋊ ʃ œ pf ə n ⋉	⋊ ʃ œ pf t ⋉
2343	3174	ai̯ n øː l ə n	ai̯ n g ə øː l t	einölen	eingeölt	⋊ a i n øː l ə n ⋉	⋊ a i n g ə øː l t ⋉
2351	3187	b l ɛ t ə r n	g ə b l ɛ t ə r t	blättern	geblättert	⋊ b l ɛ t ə r n ⋉	⋊ b l ɛ t ə r t ⋉
2364	3209	r a l iː iː r ə n	r a l iː iː r t	ralliieren	ralliiert	⋊ r a l iː iː r ə n ⋉	⋊ r a l iː iː r t ⋉
2368	3213	eː l ɔ k s iː r ə n	eː l ɔ k s iː r t	eloxieren	eloxiert	⋊ eː l ɔ k s iː r ə n ⋉	⋊ eː l ɔ k s iː r t ⋉
2377	3223	ʃ t ai̯ n ɪ g ə n	g ə ʃ t ai̯ n ɪ ç t	steinigen	gesteinigt	⋊ ʃ t a i n ɪ g ə n ⋉	⋊ ʃ t a i n ɪ ç t ⋉
2385	3236	m aː z ə r n	g ə m aː z ə r t	masern	gemasert	⋊ m aː z ə r n ⋉	⋊ m aː z ə r t ⋉
2413	3270	n aː x z ɪ ts ə n	n aː x g ə z ɛ s ə n	nachsitzen	nachgesessen	⋊ n aː x z ɪ ts ə n ⋉	⋊ n aː x g ə z ɛ s ə n ⋉
2416	3273	f ɛ r f ɛ l ʃ ə n	f ɛ r f ɛ l ʃ t	verfälschen	verfälscht	⋊ f ɛ r f ɛ l ʃ ə n ⋉	⋊ f ɛ r f ɛ l ʃ t ⋉
2425	3284	ɔ f ə n l a s ə n	ɔ f ə n g ə l a s ə n	offenlassen	offengelassen	⋊ ɔ f ə n l a s ə n ⋉	⋊ ɔ f ə n g ə l a s ə n ⋉
2452	3325	f oː r f ɪ n d ə n	f oː r g ə f ʊ n d ə n	vorfinden	vorgefunden	⋊ f oː r f ɪ n d ə n ⋉	⋊ f oː r g ə f ʊ n d ə n ⋉
2463	3339	ai̯ n b l aː z ə n	ai̯ n g ə b l aː z ə n	einblasen	eingeblasen	⋊ a i n b l aː z ə n ⋉	⋊ a i n g ə b l aː z ə n ⋉
2465	3343	h ɛ r au̯ s h a l t ə n	h ɛ r au̯ s g ə h a l t ə n	heraushalten	herausgehalten	⋊ h ɛ r a u s h a l t ə n ⋉	⋊ h ɛ r a u s g ə h a l t ə n ⋉
2492	3378	a n ʃ t ɛ k ə n	a n g ə ʃ t ɛ k t	anstecken	angesteckt	⋊ a n ʃ t ɛ k ə n ⋉	⋊ a n g ə ʃ t ɛ k t ⋉
2497	3388	f ɛ r ʃ n ʊ pf ə n	f ɛ r ʃ n ʊ pf t	verschnupfen	verschnupft	⋊ f ɛ r ʃ n ʊ pf ə n ⋉	⋊ f ɛ r ʃ n ʊ pf t ⋉
2500	3391	b ə d r ʏ k ə n	b ə d r ʏ k t	bedrücken	bedrückt	⋊ b ə d r ʏ k ə n ⋉	⋊ b ə d r ʏ k t ⋉
2501	3392	au̯ f ʃ p r eː ə n	au̯ f g ə ʃ p r eː t	aufsprayen	aufgesprayt	⋊ a u f ʃ p r eː ə n ⋉	⋊ a u f g ə ʃ p r eː t ⋉
